Year,Rank,Title,Author,INTRO,TB
2023,1,알사탕,백희나,"마음을 전하는 마법의 알사탕!동동이가 알사탕을 먹자 이상한 소리가 들려오기 시작했어요. 원래는 들을 수 없던 마음의 소리가 들린 것입니다. 바로 소파였죠! 소파가 말을 해요! 리모컨 위치도 알려주고, 아빠 방귀가 힘들다며 투덜거립니다. 꼴깍. 입안의 사탕이 다 녹아 사라지자, 신기하게 목소리도 더는 들리지 않았어요. 정말 이상한 알사탕이에요. 그렇다면 다른 알사탕은 누구의 목소리를 들려주게 될까요?세상에서 가장 쉽고도 어려운 한 마디를 전할 용기를 주는 마법 알사탕이 여기에 있습니다.『알사탕』은 2020년 아스트리드 린드그렌상을 수상한 백희나표 그림책입니다. 알사탕을 먹으면 다른 존재의 마음을 들을 수 있다는, 기발한 상상력으로 이야기가 펼쳐집니다. 불편한 소파, 고단한 구슬, 아빠와 할머니의 진심 등 각양각색의 마음을 듣게 된 동동이는 비로소 타인을 이해하고 헤아리게 됩니다.펼쳐보기",이 책은 목차가 없습니다.펼쳐보기
2023,2,네 기분은 어떤 색깔이니?,최숙희,"엄마와 아이의 마음을 가장 잘 아는 작가 최숙희 신작!내 기분은 무지개색. 자꾸자꾸 달라져.설레는 노랑, 수줍은 연두,신나는 주황, 일렁이는 빨강……내일은 또 어떤 기분이 꽃처럼 피어날까?우리는 하루에도 수없이 밀려왔다 밀려가는 감정의 파도에 흔들리며 살아간다. 그 감정들을 알아차리고 표현하기란 어른에게도 결코 쉽지 않은 일이다. 경험치도, 어휘력도 부족한 어린이들에게는 더더욱 그럴 것이다. 최숙희 작가의 신작 《네 기분은 어떤 색깔이니?》는 자기표현에 서툰 아이들에게 다정하게 말을 건넨다. “지금 네 기분은 어떤 색깔이니?” 좀처럼 설명하기 힘든 감정을 색깔로 표현해 보라고 제안하는 것이다. 나아가 긍정적인 것이든 부정적인 것이든 너를 스쳐 가는 모든 감정이 네 내면을 채우는 소중한 색깔이라고 말해준다. 내면을 채우는 색이 다양하고 풍부할수록 더 눈부신 내일을 꽃피울 수 있을 것이라고 말이다.펼쳐보기",이 책은 목차가 없습니다.펼쳐보기
2023,3,태양 왕 수바: 수박의 전설,이지은/이지은 그림,"태양 왕 수바의 등장과 팥 할머니의 활약으로 한층 맛깔스러워진 전설의 맛『팥빙수의 전설』, 『친구의 전설』로 전설 신드롬을 일으킨 이지은 작가가 이번에는 ‘수박’의 전설로 돌아왔다. 장에 갔다 늦은 시간에 산길을 걸어오던 팥 할머니 앞에 나타난 태양 왕 수바. 돼지인지, 공인지 데굴데굴 구르기 좋은 모양새로 나타난 수바는 원래 태양을 비추어 생명을 자라게 하는 하늘의 용이었다. 수바의 날개와 태양 빛을 탐내던 둘 머리 용에 의해 날개를 떼어 먹힌 채, 간신히 땅으로 도망치는 신세가 된 것이다. 수바는 할머니에게 간절하게 도움을 청하지만, 왕 대접을 받긴커녕 이름조차 수박, 왕수박 등으로 불리며 더 혼란을 겪는데…….펼쳐보기",이 책은 목차가 없습니다.펼쳐보기
2023,4,장수탕 선녀님,백희나,"《구름빵》의 작가 백희나가 들려주는 목욕탕 속 즐거운 상상!2020년 아스트리드 린드그렌상을 수상한 작가 백희나가 들려주는 목욕탕에 대한 추억과 상상의 이야기 『장수탕 선녀님』. 표지에 요구르트를 세상 누구보다 맛있게 먹고 있는 선녀 할머니의 모습이 시선을 압도하는 이 그림책은 엄마를 따라 목욕탕에 간 덕지가 만난 '장수탕 선녀님'에 대한 이야기다.깊게 파인 주름과 풍만한 알몸이 선녀님이라기 보다 동네 할머니에 가까운 장수탕 선녀님은 덕지에게 오랫동안 연마한 냉탕에서 노는 법을 알려주고, 이에 대한 보답으로 요구르트를 선물 받는다. 오래된 동네 목욕탕을 배경으로 펼쳐지는 점토 인형들의 목욕신들이 연신 웃음을 자아내는 이 책은 아이에게는 상상의 세계를, 어른들에게는 추억의 세계를 선물할 것이다.펼쳐보기",이 책은 목차가 없습니다.펼쳐보기
2023,5,겨울 이불,안녕달,"온 가족을 설레게 하는 작가, 안녕달이 선사하는 사랑스러운 겨울 판타지“겨울에만 문을 여는 이불 속 비밀 세상으로 초대합니다.”어린이부터 어른까지 전 세대의 뜨거운 사랑을 받는 작가 안녕달이 신작 그림책 『겨울 이불』로 찾아왔다. 작가 특유의 사랑스러운 상상이 탁월하게 발휘된 작품으로, 겨울날 아이가 할머니, 할아버지 댁에서 보내는 평화로운 오후 한때를 그리며 가족 간의 사랑을 전한다. 다정한 온기를 품은 특별한 공간에서 펼쳐지는 이야기가 추위에 지친 모두의 몸과 마음을 부드럽게 녹인다. 가족과 이웃, 먼 곳의 동물들까지 누구도 외롭지 않게 겨울을 보내기 바라는 작가의 섬세한 마음이 선물처럼 담겨 있다.겨울날, 아이가 학교에서 돌아올 시간이 되면 할머니, 할아버지 집의 방바닥이 뜨끈하게 데워져요. 덕분에 찬 바람에 꽁꽁 얼었던 아이의 몸은 금세 녹아요. 아이가 두꺼운 옷을 훌훌 벗어 던지고 방바닥에 펼쳐진 솜이불 밑으로 들어가면 깜짝 놀랄 만한 공간이 펼쳐지는데…….특유의 동화적인 상상력을 발휘하여 수박과 소라 속, 외계 행성과 유치원을 아름다운 판타지 세계로 만들어 온 작가가 이번에는 솜이불 아래에 깜짝 놀랄 만한 공간을 마련했다. 특히 이번 작품은 판타지 공간 속 또 다른 판타지 공간을 중첩하며 짜 놓은 구조가 재미를 더한다. 독자를 시골집에서부터 후끈한 사우나로, 여름날 뛰놀던 골목길로, 썰매를 타던 강가로 종횡무진 이끌며 즐거움을 선사한다. 작은 방 이불 속, 평범한 공간에서 시작된 아이의 상상으로 매서운 추위를 단숨에 녹이는 광경이 호방하게 펼쳐진다.펼쳐보기",이 책은 목차가 없습니다.펼쳐보기
2023,6,사과가 쿵!,다다 히로시/정근 역,"어느 날 커다란 사과가 '쿵' 떨어졌어요!일본 태생의 다다 히로시의 『사과가 쿵!』. 1996년에 출간된 밀리언셀러 〈사과가 쿵!〉을 보드북으로 탄생했습니다. 유아가 바라는대로 마음껏 봐도 찢어지거나 구겨지지 않도록 안전하게 만들었습니다.개미, 두더지, 다람쥐, 토끼, 돼지, 여우, 너구리, 악어, 사자, 곰, 기린, 코끼리 등 유아가 좋아하는 동물들이 등장하여 커다란 사과를 갉아먹는 단순한 구조 속에 맛깔스러운 의성어와 의태어를 담아냈습니다. 유아의 호기심을 불러일으키면서 어휘력을 풍부하게 발달시켜줍니다.어느 날 커다란 사과가 떨어졌어요. 가장 먼저 두더지가 사과를 갉아먹었어요. 토끼, 다람쥐, 돼지도 찾아와 사과를 갉아먹었지요. 악어, 사자, 기린, 그리고 코끼리도 와서 사과를 갉아먹었답니다. 그런데 갑자기 비가 내리는데……. 보드북.펼쳐보기",이 책은 목차가 없습니다.펼쳐보기
2023,7,이상한 엄마,백희나,"백희나가 선사하는 위로와 격려의 마법!회사에 있는 엄마에게 호호가 열이 심해 조퇴했다는 전화가 걸려 옵니다. 호호처럼 조퇴도 하기 힘든 엄마는 애가 타서 여기저기 전화를 넣어 봅니다. 하지만 비 때문인지 좀처럼 연결이 되지 않네요. 엄마가 전화기를 붙들고 발을 동동 구른 지 얼마나 지났을까요. 드디어 전화기 너머에서 희미하게 “여보세요?” 하는 소리가 들려옵니다. “여보세요? 엄마?” 엄마의 다급한 목소리에 상대방은 “으……응?” 좀 당황한 기색입니다. 하지만 엄마는 외할머니라고 굳게 믿고 호호를 부탁한 뒤 전화를 끊었는데…. 이 이상한 엄마는 과연 호호를 잘 돌봐 줄 수 있을까요?『이상한 엄마』는 아이를 키우다 보면 도움이 절실한 순간이 수도 없이 많을때, 지친 엄마들과 아이들에게 위로와 격려의 마법을 거는 책입니다. 갑자기 아이가 아픈데 일터에서 빠져나올 수는 없고 아이를 돌봐 줄 사람도 찾기 힘든 최악의 상황이 벌어져도, 적절한 도움을 얻기란 결코 쉬운 일이 아닙니다. 그런 현실 속 어려움을 잘 알기에, 저자는 엄마들이 이 책을 통해 커다란 위안을 얻어갈 수 있도록 구성했습니다.펼쳐보기",이 책은 목차가 없습니다.펼쳐보기
2023,8,구름빵,백희나,"사랑을 담은 구름빵 둥실비 오는 날 아침, 작은 구름 하나가 나뭇가지에 걸려 있어요. 아이들은 하도 신기해서 조심조심 엄마한테 갖다 주지요. 엄마는 작은 구름을 반죽하여 빵을 굽습니다. 잘 구워진 구름빵을 먹은 엄마와 아이들은 구름처럼 두둥실 떠오릅니다.〈구름빵〉은 아이들이 좋아하는 먹을거리에 구름을 합쳐 ‘하늘을 나는’ 상상의 세계로 이끌어 줍니다. 또한 이런 독특하고 재미있는 사건에 ‘따뜻한 식구 사랑’도 표현했습니다. 회사에 늦을세라 아침도 못 먹고 헐레벌떡 나간 아빠한테 빵을 갖다 주는 아이들의 따뜻한 마음을 느낄 수 있으니까요.공간감을 느낄 수 있는 빛그림책〈구름빵〉은 다른 그림책과 뭔가 다르다는 느낌이 듭니다.보통 그림보다 형태감이 분명하고 위아래나 안팎의 거리와 공간감도 더욱 또렷이 느껴집니다. 〈구름빵〉은 그냥 그림이 아니라, 인물과 소품을 손수 만들어 배경이 있는 세트로 놓고 사진으로 찍은 ‘입체 작품’이기 때문입니다. 그러면서도 입체가 아니라 그림으로 그린 것 같은 느낌으로도 다가옵니다.군더더기 없는 글과 그림, ‘빛의 예술’ 빛그림까지 어우러져 만들어진 〈구름빵〉은솜털같이 보드라운 구름 촉감과, 솔솔 고소한 구름빵 냄새와, 훨훨 두둥실 비 오는 촉촉한 하늘을 나는 기분도 느끼게 해 줍니다.펼쳐보기",이 책은 목차가 없습니다.펼쳐보기
2023,9,수박 수영장(어나더커버 특별판),안녕달/안녕달 그림,"안녕달이 그리는 청량한 여름 풍경, 계절을 대표하는 그림책 『수박 수영장』!뜨거운 여름날, 커다란 수박 안에 들어가 수영을 한다는 시원하고 호방한 상상이 돋보이는 그림책. 사람들이 수박 안에서 수영하며 수박씨와 수박 껍질을 이용해 다양하게 노는 모습을 즐겁게 그렸다. 나이와 성별, 직업, 장애 등을 구별하지 않고 이웃 사람들 모두가 한곳에서 자연스럽게 어울려 노는 모습이 인상적이다.한국 그림책계의 독보적 작가, 안녕달이 쓰고 그린 첫 번째 작품으로, 작가만의 상상과 재치가 빛나며 가족에 대한 애정과 이웃을 바라보는 따뜻한 시선이 담겨 있다.줄거리: 한적한 시골 마을. 한여름이 되면 '수박 수영장'이 개장한다. 엄청나게 큰 수박이 반으로 갈라지면서 온 마을 사람들이 함께 들어가 놀 수 있게 되는 것. 마을 사람들은 아이 어른 할 것 없이 모두 수박 수영장에서 놀며 더위를 식히고, 마을 너머로 지는 해를 함께 바라보며 내년 여름을 기약한다.펼쳐보기",이 책은 목차가 없습니다.펼쳐보기
2023,10,슈퍼 히어로의 똥 닦는 법,안영은/최미란 그림,"슈퍼 히어로에서 똥싸개로 망신살 제대로 뻗친 짱짱맨,백 년 동안 똥 닦는 법을 연마한 똥도사를 찾아가다!엄마 아빠도 잘 모르고, 학교에서도 학원에서도 잘 안 가르쳐 주는 똥 닦는 법.똥도사가 제대로 알려 주마!당연히 알고 있으리라 생각하지만, 제대로 알지 못하는 똥 닦는 법. 다들 잘 닦고 있습니까?똥을 잘 누는 법에 관한 책은 많지만, 똥 닦는 법에 관한 책은 매우 드뭅니다. 원활한 배변 활동만큼 청결한 뒤처리도 무척 중요한데, 휴지를 몇 칸이나 써야 하는지, 어떤 자세를 취해야 하는지, 깔끔하게 닦으려면 어떻게 해야 하는지, 정확하게 일러 주는 곳이 거의 없습니다. 엄마 아빠도 속 시원히 말해 주지 않고, 학교에서도 학원에서도 가르쳐 주지 않으니까요. 아이가 사회로 나갈 무렵, 부모님의 최대 고민 중 하나가 혼자서 뒤처리하는 법을 가르치는 것이라고 합니다. 하지만 말로 설명하자니 너무 어렵고, 직접 보여 주자니 영 쑥스럽지요. 어른들도 고민스럽기는 매한가지일 겁니다. 당연히 알고 있으리라 생각하지만, 막상 물어 보면 제대로 닦고 있는 사람이 별로 없습니다. 으레 똥은 지저분한 것이라는 생각 때문에, 알아서 잘 처리하려니 하고 어물쩍 넘어간 탓이지요.《슈퍼 히어로의 똥 닦는 법》은 새삼 누구에게 물어 보기는 부끄럽지만 살아가는 데 꼭 필요한 똥 닦는 법에 대해 친절하고 명쾌하게 알려 주는 책입니다. 이 책의 주인공 짱짱맨은 어린이들이 가장 좋아하는 최고의 영웅입니다. 하지만 겉으로 완벽해 보이는 짱짱맨 역시 한 가지 모자란 점이 있었으니, 바로 똥 닦는 법을 잘 모른다는 것입니다. 괴물들이 도시를 습격한 어느 날, 짱짱맨은 괴물들을 물리치려 투명 인간으로 변신했다가 그만 팬티에 묻은 누런 똥 자국을 들키고 맙니다. 슈퍼 파워 변신술로도 똥 자국은 가릴 수가 없었거든요. 한순간에 슈퍼 히어로에서 똥싸개로 추락한 짱짱맨은 온 도시의 놀림거리가 되고 맙니다.그런 짱짱맨에게 운명처럼 날아 든 것이 바로 똥도사가 낸 광고였지요. 백 년 동안 연마한 똥 잘 닦는 권법을 가르쳐 준다는 말에 눈이 번쩍 뜨인 짱짱맨은 산을 넘고, 계곡을 지나, 깊고 깊은 골짜기 속 똥도사 연구실을 찾아갑니다.펼쳐보기",이 책은 목차가 없습니다.펼쳐보기
