Year,Rank,Title,Author,INTRO,TB
2023,1,불편한 편의점(벚꽃 에디션),김호연,"최고의 재미와 감동을 선사하는 K힐링소설의 원조★★★주요 서점 종합 베스트셀러 1위★★★국립중앙도서관 2022 올해의 책★★★전국 37개 도시 올해의 책★★★해외 18개국 판권 수출★★★연극 〈불편한 편의점〉 절찬 상연 중원 플러스 원의 기쁨, 삼각김밥 모양의 슬픔, 만 원에 네 번의 폭소가 터지는 곳!힘겨운 시대를 살아가는 우리들에게 다가온 조금 특별한 편의점 이야기2013년 세계문학상 우수상 수상작 『망원동 브라더스』로 데뷔한 후 일상적 현실을 위트 있게 그린 경쾌한 작품과 인간의 내밀한 욕망을 기발한 상상력으로 풀어낸 스릴러 장르를 오가며 독자적인 작품 세계를 쌓아올린 작가 김호연. 그의 다섯 번째 장편소설 『불편한 편의점』이 출간되었다. 『불편한 편의점』은 청파동 골목 모퉁이에 자리 잡은 작은 편의점을 무대로 힘겨운 시대를 살아가는 우리 이웃들의 삶의 속내와 희로애락을 따뜻하고 유머러스하게 담아낸 작품이다. 『망원동 브라더스』에서 망원동이라는 공간의 체험적 지리지를 잘 활용해 유쾌한 재미와 공감을 이끌어냈듯 이번에는 서울의 오래된 동네 청파동에 대한 공감각을 생생하게 포착해 또 하나의 흥미진진한 ‘동네 이야기’를 탄생시켰다.서울역에서 노숙인 생활을 하던 독고라는 남자가 어느 날 70대 여성의 지갑을 주워준 인연으로 그녀가 운영하는 편의점에서 야간 알바를 하면서 이야기가 시작된다. 덩치가 곰 같은 이 사내는 알코올성 치매로 과거를 기억하지 못하는 데다 말도 어눌하고 행동도 굼떠 과연 손님을 제대로 상대할 수 있을까 의구심을 갖게 하는데 웬걸, 의외로 그는 일을 꽤 잘해낼 뿐 아니라 주변 사람들을 묘하게 사로잡으면서 편의점의 밤을 지키는 든든한 일꾼이 되어간다.현실감 넘치는 캐릭터와 그들 간의 상호작용을 점입가경으로 형상화하는 데 일가견이 있는 작가의 작품답게 이 소설에서도 독특한 개성과 사연을 지닌 인물들이 차례로 등장해 서로 티격태격하며 별난 관계를 형성해간다. 고등학교에서 역사를 가르치다 정년퇴임하여 매사에 교사 본능이 발동하는 편의점 사장 염 여사를 필두로 20대 취준생 알바 시현, 50대 생계형 알바 오 여사, 매일 밤 야외 테이블에서 참참참(참깨라면, 참치김밥, 참이슬) 세트로 혼술을 하며 하루의 스트레스를 푸는 회사원 경만, 마지막이라는 각오로 청파동에 글을 쓰러 들어온 30대 희곡작가 인경, 호시탐탐 편의점을 팔아치울 기회를 엿보는 염 여사의 아들 민식, 민식의 의뢰를 받아 독고의 뒤를 캐는 사설탐정 곽이 그들이다. 제각기 녹록지 않은 인생의 무게와 현실적 문제를 안고 있는 이들은 각자의 시선으로 독고를 관찰하는데, 그 과정에서 발생하는 오해와 대립, 충돌과 반전, 이해와 공감은 자주 폭소를 자아내고 어느 순간 울컥 눈시울이 붉어지게 한다. 그렇게 골목길의 작은 편의점은 불편하기 짝이 없는 곳이었다가 고단한 삶을 위로하고 웃음을 나누는 특별한 공간이 된다.펼쳐보기",산해진미 도시락제이에스 오브 제이에스삼각김밥의 용도원 플러스 원불편한 편의점네 캔에 만 원폐기 상품이지만 아직 괜찮아ALWAYS감사의 글펼쳐보기
2023,2,메리골드 마음 세탁소(30만 부 기념 한정 플라워 에디션),윤정은,"“마음의 얼룩을 마법처럼 지워드립니다”한국형 힐링 판타지가 쏘아 올린 역대급 입소문 베스트셀러!『메리골드 마음 세탁소』 30만 부 돌파 기념 ‘플라워 에디션’ 출간※플라워 에디션: 매장 구매, 바로드림 구매시에는 해당 매장의 에디션 재고를 먼저 확인해 주십시오.윤정은 작가의 소설 『메리골드 마음 세탁소』가 독자들의 사랑에 힘입어 더욱 화사하고 몽환적인 표지로 돌아왔다. 출간 직후 베스트셀러에 오른 『메리골드 마음 세탁소』는 1년이 채 안 되어 영미권과 프랑스·이탈리아를 비롯한 유럽권, 중국·대만·인도네시아 등지의 아시아권까지 해외 판권이 수출되었다. 한국 소설 최초로 펭귄랜덤하우스 UK에 최고가 수출 계약이 체결되면서 세계적인 러브콜을 입증하기도 했다. 국내는 물론이고 전 세계에서 사랑받는 한국소설의 포문을 열면서, 이 책은 독자들에게 명실상부 가장 공감되고 아름다운 한국형 힐링 소설로 자리매김했다.이번 『메리골드 마음 세탁소』 플라워 에디션에는 그간 독자들에게 받은 사랑에 보답하는 감사의 마음을 담았다. 100만 부 이상 판매된 컬러링북과 세계적 기업과의 컬래버레이션으로 잘 알려진 송지혜 작가가 초판본을 업그레이드한 아름다운 컬러 일러스트로 빛을 밝혀주었고, 표지에 따뜻함이 느껴지는 벨벳 코팅을 입혀 더욱 정성을 담아 독자들에게 다가간다. 연말연시의 새 출발을 응원하는 마음으로 다양한 굿즈를 함께 제작하여 풍성한 선물로도 제격이다.우리는 가끔 시간을 되돌려 과거로 돌아가 후회됐던 일을 되돌리고 싶어 한다. 그런데 과연 그 일을 지워버리는 게 현명한 선택일까? 그리고 그 기억을 지웠을 때 지금의 내가 있을 수 있을까? 만약 그 기억만 없다면 앞으로 행복만 할 수 있을까?『메리골드 마음 세탁소』는 한밤중 언덕 위에 생겨난, 조금 수상하고도 신비로운 세탁소에서 벌어지는 일들을 그린 힐링 판타지 소설이다. 창백하게 하얀 얼굴에 젓가락처럼 마른 몸, 까맣고 구불구불 긴 머리의 미스테리한 여자는 세탁소를 찾아오는 누군가를 위해 매일같이 따뜻한 차를 끓인다. 차를 마신 이들은 어느 누구에게도 말하지 못했던 비밀스러운 이야기들을 자기도 모르게 그녀에게 털어놓는다. 아픈 날의 기억을 얼룩 지우듯 모조리 깨끗이 지워달라고 부탁한 사람들은 과연 세탁소를 나서며 행복해질 수 있을까?『하고 싶은 대로 살아도 괜찮아』를 비롯해 약 50만 독자들에게 큰 사랑을 받아온 에세이스트 윤정은 작가가 문학상 수상 이후 11년 만에 장편소설 『메리골드 마음 세탁소』를 통해 독자와 만난다. 조용한 마을에 마법처럼 등장한 세탁소를 오가는 사람들의 갖가지 사연과, 속 깊은 대화를 통해 세탁소 주인 ‘지은’의 내면에 찾아오는 변화를 따뜻한 시선으로 그려냈다. 가난에 시달려 꿈을 포기한 어린 시절, 사랑했던 연인의 배신, 부와 명예에 홀려 놓쳐버린 삶, 학교 폭력으로 인한 상처와 방황, 자식을 위해 몸 바쳐 보낸 청춘 등 우리 각자의 삶을 닮은 이야기가 마음을 울린다. 상처를 인정하고 마음을 열어 보이는 용기와, 이웃의 아픔에 공감하고 상처를 위로하는 따뜻한 마음이 작품 전반에 진하게 녹아 있다.이 책 『메리골드 마음 세탁소』는 벼랑 끝에 몰린 것 같은 어느 날, 마음 같은 건 없었으면 좋겠다고 생각되는 그런 날에 숨어들어 상처를 털어낼 수 있는 은신처가 되어줄 것이다.펼쳐보기",메리골드 마음 세탁소 009에필로그 267펼쳐보기
2023,3,아버지의 해방일지,정지아(鄭智我),"새삼스럽게 경탄스럽다!압도적인 몰입감, 가슴 먹먹한 감동정지아의 손끝에서 펼쳐지는 시대의 온기미스터리 같은 한 남자가 헤쳐온 역사의 격랑그 안에서 발견하는 끝끝내 강인한 우리의 인생김유정문학상 심훈문학대상 이효석문학상 등을 수상하며 문학성을 두루 입증받은 ‘리얼리스트’ 정지아가 무려 32년 만에 장편소설을 발표했다. 써내는 작품마다 삶의 현존을 정확하게 묘사하며 독자와 평단의 찬사를 받아온 작가는 이번에 역사의 상흔과 가족의 사랑을 엮어낸 대작을 선보임으로써 선 굵은 서사에 목마른 독자들에게 한모금 청량음료 같은 해갈을 선사한다. 탁월한 언어적 세공으로 “한국소설의 새로운 화법을 제시”(문학평론가 정홍수)하기를 거듭해온 정지아는 한 시대를 풍미한 『빨치산의 딸』(1990) 이래로 다시 초심으로 돌아가 아버지 이야기를 다룬다.소설은 ‘전직 빨치산’ 아버지의 죽음 이후 3일간의 시간만을 현재적 배경으로 다루지만, 장례식장에서 얽히고설킨 이야기를 따라가다보면 해방 이후 70년 현대사의 질곡이 생생하게 드러난다. 이러한 웅장한 스케일과 함께 손을 놓을 수 없는 몰입감을 동시에 안겨주는 것은 정지아만이 가능한 서사적 역량이다. 그러나 이 소설의 진정한 묘미는 어쩌면 ‘가벼움’에 있다. “아버지가 죽었다. (…) 이런 젠장”으로 시작하는 첫 챕터에서 독자들은 감을 잡겠지만 이 책은 진중한 주제의식에도 불구하고 ‘각 잡고’ 진지한 소설이 아니다. 남도의 구수한 입말로 풀어낸 일화들은 저마다 서글프지만 피식피식 웃기고, “울분이 솟다 말고 ‘긍게 사람이제’ 한마디로 가슴이 따뜻”(추천사, 김미월)해진다.펼쳐보기",아버지의 해방일지작가의 말펼쳐보기
2023,4,불편한 편의점 2(단풍 에디션),김호연,"70만 독자를 사로잡은 재미와 감동 『불편한 편의점』이 다시 열렸다!한층 진득해진 이야기와 궁금증 가득한 캐릭터고난의 시간을 통과하는 사람들이 다시 편의점에 모여든다!출간 후 1년이 넘도록 독자의 사랑을 받으며 베스트셀러 상위권을 지키고 있는 소설, 김호연 작가의 『불편한 편의점』이 그 두 번째 이야기로 다시 찾아왔다. 서울역 노숙인 독고 씨가 편의점의 야간 알바로 일하면서 시작되는 1편의 이야기는 예측불허의 웃음과 따스한 온기로 잔잔한 감동을 선사했다. 『불편한 편의점 2』는 전편의 위트와 속 깊은 시선을 이어가며 더욱 진득한 이야기로 독자를 끌어당긴다.소설은 1편의 시간으로부터 1년 반이 흐른 여름날의 편의점을 스케치하며 시작된다. 그동안 세상도 달라지고 청파동의 ALWAYS편의점도 이모저모 바뀌었다. 숨이 턱턱 막히는 더위에도 마스크를 써야 하는 도입부의 묘사는 소설 속 현실에도 코로나가 있음을 짐작게 한다. 아들과의 불화로 답답해하던 선숙은 점장이 되었고, 편의점을 팔자고 조르던 염 여사의 말썽꾼 아들 민식은 사장이 되어 있다. 말이 사장이지, 민식은 경영에는 관심이 없고 수익 운운하며 주휴수당 같은 비용 줄이기에만 열을 올리니, 여러모로 ‘진짜로 불편해진’ 편의점이 아닐 수 없는데……. 그러던 중 독고의 후임으로 밤 시간을 책임지던 곽 씨가 그만두고 새 야간 알바가 들어오면서 편의점은 다시 한 번 변화를 맞이한다.새로 온 알바는 커다란 덩치와 부담스러운 행동이 누군가를 연상시키는 40대 사내. 그는 인간 알바몬이라도 되는 양 화려한 알바 경력을 자랑하지만 정작 편의점 일은 어수룩하기만 하다. 게다가 수다쟁이에 오지랖은 못 말릴 지경이어서 점장 선숙에게 핀잔을 뜯기 일쑤다. 그러거나 말거나 그는 황근배라는 이름 대신 홍금보라는 별명이 적힌 명찰을 가슴에 달고 마냥 느긋하게 손님들을 맞으며 편의점의 밤을 지켜 나간다.펼쳐보기",점장 오선숙소울 스낵꼰대 오브 꼰대투 플러스 원밤의 편의점오너 알바ALWAYS불편한 편의점감사의 글펼쳐보기
2023,5,세상의 마지막 기차역(리커버 에디션),무라세 다케시(村? 健)/김지연 역,"※리커버 에디션: 매장 구매, 바로드림 구매시에는 일반판으로 제공될 수 있습니다.2022년 전 서점 종합 베스트셀러 / 외국 소설 분야 1위우리를 뜨겁게 울린 화제의 소설 ‘세상의 마지막 기차역’20만 부 기념 리커버 에디션 전격 출간!2022년 출간 후 단숨에 외국 소설 분야 1위, 종합 베스트셀러에 오르며 수많은 독자의 마음을 울린 《세상의 마지막 기차역》. “읽는 내내 눈물이 펑펑 쏟아졌다”, “주인공에 이입되어 그리운 사람이 떠올라 가슴이 먹먹해졌다”, “지금 내 곁에 있는 사랑하는 사람의 소중함을 일깨워주는 고마운 책” 등 독자들 사이에서 크게 입소문이 난 이 책은 2022년 20만 부 이상 팔렸으며, 현재도 그 인기를 이어나가고 있다.이번에 새롭게 출간된 《세상의 마지막 기차역》 리커버 에디션은 20만 부 판매 돌파를 기념한 것으로, 믿고 보는 일러스트레이터 반지수 작가와의 콜라보레이션을 통해 화사한 봄날을 배경으로 재탄생했다. 기차 사고가 일어날 줄을 꿈에도 모른 채 여느 때와 다름없는 평화로운 어느 날을 그려내고 있어 소설의 내용을 알게 되면 안타까움과 슬픔이 더 크게 다가온다. 동시에 사랑하는 사람을 한순간에 잃고 후회와 절망 속에서 잿빛 같은 하루하루를 살던 사람들이 ‘유령 기차’의 존재를 알게 되고 사고로 숨진 가족, 연인을 마지막으로 딱 한 번 다시 만날 수 있는 기회를 얻으면서 비로소 다시 살아갈 희망을 되찾는 과정이 표지의 분위기에 그대로 묻어나 보는 사람으로 하여금 가슴을 뭉클하게 한다.“평범한 아침 인사가 마지막이 될 줄 알았다면 그렇게 보내진 않았을 텐데….” 남겨진 사람과 떠나간 사람 모두가 ‘세상의 마지막 기차역’에서 만나 진정으로 슬픔을 치유하게 되는 가슴 따뜻한 휴먼 판타지 소설.펼쳐보기",제1화 연인에게제2화 아버지에게제3화 당신에게제4화 남편에게펼쳐보기
2023,6,바다가 들리는 편의점,마치다 소노코/황국영 역,"“언제든 찾아오세요. 항상 여기에 있을 테니까요”오늘도 변함없이 불을 밝히고 손님을 맞는 이곳에서서로 다른 각자가 함께 행복해지는 이야기가 펼쳐진다.★서점대상 수상 작가의 최고 인기 시리즈★영상화 요청 쇄도★일본 판매 20만 부 돌파기타큐슈 모지항이라는 조용한 항구에 자리한 텐더니스 편의점은 오늘도 시끌벅적하다. 꽃미남 점장의 사소한 몸짓, 말 한마디, 표정 하나에 그의 팬을 자처하는 여성들이 연달아 터트리는 환호성 때문. 그럴 때마다 고개를 절레절레 흔드는 아르바이트생 옆에서 파트타임 직원 미쓰리는 눈을 반짝이며 남모르게 미소 짓는다. 곧이어 수염을 덥수룩하게 기른 남자가 들어와 편의점을 제집처럼 활보하고, 빨간색 멜빵바지를 입은 할아버지는 시끄럽다며 모두 나가라고 고함을 질러 댄다. 여느 편의점에서는 볼 수 없는 수상쩍은 광경. 대체 이곳에서 무슨 일이 벌어지고 있는 걸까?현재 왕성한 집필 활동으로 주목받는 마치다 소노코 작가의 연작 소설 《바다가 들리는 편의점》은 24시간 불이 꺼지지 않는 친근하고 일상적인 장소인 편의점을 무대로 나이, 성별, 취향, 사연, 그리고 편의점을 찾는 목적까지 제각각인 손님들과 어딘지 모르게 미스터리한 직원들이 펼치는 유쾌하고 따뜻한 이야기를 담고 있다. 일본 현지 출간 당시 “이 가상의 편의점에서 빠져나올 수가 없다”, “당장 영화나 드라마로 보고 싶다”라는 독자들의 호평이 쏟아진 작품으로 그 인기에 힘입어 2권이 출간되었고 곧 3권도 출간 예정이다.개성 넘치는 등장인물과 잔잔하면서도 감동적인 에피소드로 작가가 전하고자 하는 바는 이웃끼리의 깊고 따뜻한 정서적 유대감과 타인의 고민을 함께 해결해주기 위해 노력한다는 상냥한 연대감이다. 읽고 나면 반드시 행복한 기분에 빠지게 될 《바다가 들리는 편의점》이 오늘도 환하게 불을 밝히고 당신의 방문을 기다린다.펼쳐보기","프롤로그제1화 당신의, 그리고 나의 편의점제2화 희망의 편의점 커피제3화 멜랑콜리 딸기 파르페제4화 꼰대 할아버지와 부드러운 달걀죽제5화 사랑과 연애, 그리고 어드벤트 캘린더 쿠키제6화 크리스마스 광상곡에필로그펼쳐보기"
2023,7,안젤리크,기욤 뮈소/양영란 역,"전직 에투알 무용수의 죽음 뒤에 가려진 진실은 무엇인가?- 복잡한 퍼즐이 맞춰지는 순간 광기에 휩싸인 욕망의 실체가 드러난다.- 서스펜스 마스터 기욤 뮈소의 2022년 신작!- 프랑스 베스트셀러 1위!《안젤리크》는 한국에서 19번째로 출간하는 기욤 뮈소의 장편소설이다. 2004년에 발표한 《그 후에》 이후 기욤 뮈소의 소설 모두가 프랑스 베스트셀러 1위에 오르는 기염을 토하고 있다. 세 번째 소설 《구해줘》는 아마존 프랑스 85주 연속 베스트셀러 1위를 기록했고, 국내 주요 서점 200주 이상 베스트셀러에 등재되었다. 매년 《르 피가로》지와 〈프랑스서점연합회〉에서 조사하는 베스트셀러 작가 순위에서 8년 연속 1위를 기록했다. 2016년에는 《당신, 거기 있어줄래요?》가 한국 영화로 만들어져 대단한 화제를 불러 모았다. 2018년 작 《아가씨와 밤》이 2022년 《FR2》 방송에서 6부작 드라마로 제작되어 인기리에 방영되었고, 그 외 다수의 소설이 영화와 드라마로 제작되었다. 그의 소설은 현재 세계 45개국에서 출간돼 독자들로부터 폭넓은 공감과 지지를 이끌어내고 있다. 프랑스 언론은 ‘기욤 뮈소는 하나의 현상’, ‘페이지터너라는 말이 가장 잘 어울리는 작가’, ‘언제나 상상의 한계를 뛰어넘는 반전으로 독자들을 놀라게 하는 작가’라는 수식어를 붙여주며 찬사를 보내고 있다. 《뉴욕 타임스》는 기욤 뮈소에게 ‘서스펜스 마스터’라는 수식어를 붙여주었고, 스페인의 《엘 문도》는 ‘기욤 뮈소 현상은 여전히 계속된다.’라는 말로 10년 전 프랑스 언론의 수식어를 오마주했다.기욤 뮈소는 20년 가까이 작가로 활동하는 동안 매년 한 권씩 소설을 내고 있고, 프랑스뿐만 아니라 세계 각국에서 베스트셀러가 되고 있다. 초기에는 로맨스와 판타지가 결합된 작품들이 주를 이루었다면 근래 들어 스릴러의 비중이 큰 편이다. 기욤 뮈소가 무려 20년 가까이 변함없는 인기를 누리고 있는 비결이 있다면 언제나 변신을 위한 노력을 게을리 하지 않기 때문이다. 최근 3년 동안 기욤 뮈소는 《아가씨와 밤》, 《작가들의 비밀스러운 삶》, 《인생은 소설이다》를 통해 작가와 등장인물들의 관계를 주제로 매우 깊이 있고 내밀한 이야기를 선보였다. 작가를 주인공으로 내세워 현실과 픽션 사이의 팽팽한 긴장 관계를 집중 조명한 이 세 편의 소설을 일컬어 기욤 뮈소 자신은 ‘작가 3부작’이라고 부른다. 프랑스에서는 실제로 이 세 편의 소설을 따로 묶어 출판하기도 했다.《안젤리크》는 기욤 뮈소가 작가에 주목했던 소설에서 반전과 서스펜스를 능수능란하게 구사하는 이야기꾼으로 되돌아왔음을 알리는 작품이다. 언제나 자신이 치열하게 살아왔지만 세상이 공정한 대우를 해주지 않아 늘 같은 자리를 맴돌 수밖에 없다는 생각을 가진 간호사 안젤리크 샤르베, 지하철에서 불량배가 휘두르는 칼을 온몸으로 막아내며 여성 승객의 안전을 지켜주기 위해 최선을 다하지만 추격 과정에서 총을 발사해 범인이 반신불수가 되는 바람에 여론의 비난에 직면하고 감찰까지 받게 된 강력반 반장 마티아스 타유페르, 태어나자마자 생모에게 버림받고 새엄마를 유일한 엄마로 알고 자라지만 그 엄마마저도 석연치 않은 죽음을 맞게 되자 직접 진실 규명을 위해 뛰어든 의대생 루이즈 콜랑주, 각고의 노력 끝에 영광스러운 파리 오페라 발레단의 에투알 무용수 자리에 올랐으나 화려한 스포트라이트를 받으며 명성을 누린 시간은 잠시뿐 다시 무대 뒤로 쓸쓸히 사라지는 아픔을 겪는 스텔라 페트렌코의 이야기가 펼쳐진다.《안젤리크》에 등장하는 인물들은 어느 누구 하나 예외 없이 우리가 저마다 비밀 하나쯤은 감추고 살아가는 것과 마찬가지로 치유하기 쉽지 않은 상처를 안고 있다. 그 상처를 누군가는 제대로 봉합하고, 덧나지 않게 약을 바르고, 말끔히 아물게 해 성장의 밑거름으로 삼지만 또 다른 누군가에게는 건강하고 순탄한 성장을 방해하는 장애 요소가 되기도 한다. 가령 안젤리크의 경우 후자에 해당한다고 볼 수 있다. 안젤리크는 스스로 생각하기에 열심히 살았으므로 세상에서 합당한 자리가 주어져야 마땅하고, 그 자리를 타인이 차지하고 있기에 수단과 방법을 가리지 않고 빼앗을 수 있다는 식의 비뚤어진 가치관을 갖고 있는 인물이다.기욤 뮈소는 《안젤리크》에서 다양한 인물들을 등장시키지만 어떤 특정한 잣대로 그들을 평가하거나 규정하려고 들지 않는다. 그저 그들이 뚜벅뚜벅 길을 걸어갈 때 슬며시 뒤따라가 보고 그 결과를 기록으로 남겨두는 목격자 역할에 충실하고 있다. 여러 인물들을 입체적으로 관찰하면서 그들이 성장기에 겪었을 상처를 그려보고, 그 상처들이 다른 상처들을 만났을 때 어떤 물리적 혹은 화학적 반응이 일어나는지 지켜볼 뿐 적극적으로 나서서 이렇게 또는 저렇게 하는 게 좋겠다는 식의 훈수를 두지 않는다. 어찌 보면 기욤 뮈소는 우리가 사는 세상의 이곳저곳에 돋보기를 들이대 가면서 부분적이나마 한 시대의 자화상을 그리고자 애쓰고 있는지도 모른다. 《안젤리크》는 저마다 독특한 개성을 가진 인물들이 파리와 베네치아를 오가며 펼치는 반전 소설로 처음부터 끝까지 긴장의 끈을 늦출 수 없다.펼쳐보기",I 루이즈 콜랑주1. 첼로를 켜는 소녀2. 스텔라 페트렌코의 추락3. 불가능한 수사4. 비상식적인 시간II 안젤리크 샤르베5. 바리케이드의 이쪽 저쪽6. 약간 정신이 나간 여자7. 자기 자리 차지하기8. 선을 넘다9. 집안의 딸III 마티아스 타유페르10. 흔적 남기지 않기11. 은둔형 외톨리12. 에투알 광장13. 질서와 무질서14. 찢어진 마음 증후군15. 빨간 외투의 사나이16. 암흑 속에 잠긴 영혼17. 레나 칼릴18. 집 안에 숨어든 두 명의 살인자IV 단상베네치아를 강타한 역대급 밀물폭풍이 나지고 난뒤명예 법정기자의 죽음목신의 피리알리스 베커레바논의 봄몽파르나스 묘지옮긴이의 말펼쳐보기
2023,8,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 미사키/권영주 역,"제26회 전격소설대상 ‘미디어워크스문고상’ 수상작총 4,607편의 응모 작품 중 최고로 손꼽힌 걸작,모든 심사위원이 눈물을 쏟은 압도적 작품!밤에 자고 일어나면 기억이 리셋되는 ‘선행성 기억상실증’을 앓는 소녀 히노 마오리와 무미건조한 인생을 살고 있는 평범한 고등학생 가미야 도루의 풋풋하고 애틋한 사랑 이야기『오늘 밤, 세계에서 이 사랑이 사라진다 해도』. 선행성 기억상실증이라는 익숙한 소재를 매우 수준 높은 청춘 소설로 탄생시켰다는 극찬을 받으며 제26회 전격소설대상 ‘미디어워크스문고상’을 수상한 이 작품은 간질간질한 청춘의 로맨스를 전혀 예측할 수 없는 국면으로 끌고 가, 깐깐하고 엄격한 심사위원 모두를 눈물 흘리게 만들었다는 흥미로운 뒷이야기를 남긴 소설이기도 하다.무미건조한 인생을 살고 있는 고등학교 2학년생 가미야 도루. 괴롭힘당하는 친구를 돕기 위해 나섰다가 의도치 않은 일에 휘말린다. “1반의 히노 마오리에게 고백하면 더 이상 괴롭히지 않을게.” 어쩔 수 없이 하게 된 거짓 고백. 당연히 거절당할 줄 알았지만, 히노는 세 가지 조건을 내걸고 고백을 받아들인다. “첫째, 학교 끝날 때까지 서로 말 걸지 말 것. 둘째, 연락은 되도록 짧게 할 것. 셋째, 날 정말로 좋아하지 말 것.” 그렇게 시작한 가짜 연애. 함께 보내는 시간이 쌓여갈수록 히노를 향한 마음은 점점 커져가고, 도루는 세 번째 조건을 깨고 고백을 하고 만다. 그리고 충격적인 사실을 알게 되는데…. “나는 병이 있어. 선행성 기억상실증이라고 하는데, 밤에 자고 일어나면 잊어버려. 그날 있었던 일을 전부.” 날마다 기억을 잃는 히노와 매일 새로운 사랑을 쌓아가는 날들. 도루는 히노의 내일을 언제까지고 지켜줄 수 있을까? 이들의 관계를 뒤흔들 어두운 그늘의 정체는 무엇일까?펼쳐보기","모르는 남자애의, 모르는 여자애걸음을 뗀 두 사람이 여름은 언제나 한 번하얀 공백모르는 여자애의, 모르는 남자애마음은 너를 그리니까펼쳐보기"
2023,9,스즈메의 문단속,신카이 마코토/민경욱 역,《너의 이름은。》《날씨의 아이》신카이 마코토 감독의 신작 원작소설규슈의 조용한 마을에서 이모와 함께 살아가는 17살 소녀 스즈메. 어느 날 등굣길에 아름다운 청년과 스쳐간 스즈메는 “문을 찾고 있다”는 그의 뒤를 쫓아 산속 폐허에 들어선다. 그곳에서 스즈메가 발견한 것은 붕괴에서 빗겨난 듯 덩그러니 남겨진 낡고 하얀 문. 무언가에 이끌리듯 스즈메는 문을 향해 손을 뻗는데….과거와 현재와 미래를 잇는 스즈메의 ‘문단속’ 이야기가 시작된다. 2023년 3월 8일 개봉 예정인 극장판 애니메이션 《스즈메의 문단속》의 원작소설이다. 신카이 마코토 감독이 직접 집필하여 영화에서 소개되지 않은 캐릭터의 감정과 더 정밀한 세계관의 묘사를 담았다.  『너의 이름은。』 이후의 작품을 관람하고 읽은 팬이라면 어느 정도 짐작하고 있었을 신카이 마코토 감독의 마음이 활자로 온전히 적혀 있는 셈. 길지 않은 작가 후기이지만 신카이 마코토 감독의 팬이라면 그의 창작이 어디서 비롯되고 있는지 확인하는 계기가 될 것이다. 또한 앞으로 신카이 마코토 감독이 어떤 작품을 선보일지 기대하게 될 것이다.펼쳐보기,"1일째꿈에서, 언제든 갈 수 있는 곳그런 풍경처럼, 아름다운 사람우리에게만 보이는 것자, 시작이야! 모두가 이렇게 속삭여2일째에히메에서의 고양이 찾기그러므로 지금, 내가 달려가야 할 방향은당신 때문에 마법사로3일째해협을 건너다추억은 넷이서들어갈 수 없는 문, 가면 안 되는 곳밤의 파티와 고독한 꿈4일째보이지만 관여할 수 없는 풍경들정원 같은 방하늘의 마개가 빠지면다시 한 번5일째당신이 들어갈 유일한 문은출발찾는 게 뭐죠?사다이진의 등장하고 싶은 일고향저세상여전히 불타고 있는 마을모든 것의 시간6일째와 후일담그날의 이야기를작가후기펼쳐보기"
2023,10,참을 수 없는 존재의 가벼움,밀란 쿤데라/이재룡 역,"특별한 동시에 잊을 수 없는 어떤 사랑 이야기!살아 있는 신화가 된 작가 밀란 쿤데라의 대표작 『참을 수 없는 존재의 가벼움』을 밀란 쿤데라가 직접 그린 일러스트를 바탕으로 디자인한 신선한 표지와 장정으로 새롭게 만나볼 수 있다. 역사에서 태어났으되, 역사를 뛰어넘는 인간의 실존 그 자체를 다루고 있는 작품으로, 1960년대 체코와 1970년대 유럽을 뒤흔들어 놓은 무거운 역사의 상처와 개인적 트라우마를 어깨에 짊어진 네 남녀의 생과 사랑의 모습을 그리고 있다.고향의 작은 술집에서 일하며 근근이 살던 젊은 테레자는 출장으로 그 도시에 들른 외과의사 토마시와 우연히 만난다. 전처와의 이혼 이후 진지한 사랑을 부담스러워하던 토마시는 강물에 떠내려 온 아기 같은 테레자의 연약한 매력을 놓지 못하고 고아를 떠맡듯 그녀와 함께 살기 시작한다. 하지만 스스로가 에로틱한 우정이라고 이름 붙인 그 가벼운 삶을 토마시는 버리지 못하고 이 여자 저 여자를 전전한다. 그런 토마시를 지켜보는 테레자는 질투와 체념으로 인한 괴로움에 몸부림친다.소련의 침공으로 체코가 자유를 잃은 후, 두 사람은 함께 스위스로 넘어간다. 체코를 벗어나면 토마시의 연인들로부터도 벗어날 수 있을 거라 믿었던 테레자는 토마시의 끊임없는 외도에 믿음을 잃은 후 홀로 국경을 넘어 프라하로 돌아간다. 질투와 미움이 뒤섞인 두 사람의 삶은 그렇게 점차 무게를 더해 간다. 한편 토마시의 또 다른 연인이자 화가인 사비나는 끈질기게 자신을 따라다니는 조국과 역사의 무게에서 벗어나 자유롭게 살고 싶어 한다. 사비나는 체코에서 멀리, 할 수 있는 한 가장 멀리 떠나고, 사비나를 사랑하는 학자이자 한 가정의 가장으로서 안정된 일상을 누리던 프란츠는 그런 사비나의 가벼움에 매료되는데…….펼쳐보기",1부 가벼움과 무거움 72부 영혼과 육체 673부 이해받지 못한 말들 1394부 영혼과 육체 2135부 가벼움과 무거움 2876부 대장정 3937부 카레닌의 미소 463펼쳐보기
