Year,Rank,Title,Author,INTRO,TB
2023,1,DO IT 두잇,데이비드 차,"“2023년, 한 번도 경험하지 못한 경제위기"", 생존을 넘어 부르심으로 가는 12가지 방법.2023 금융위기, 미중 패권전쟁, 마지막 때를 준비하는 가장 구체적인 12가지 방법과 이기는 자가 되는 DO IT! 『DO IT 두잇』 은 2022년 12월 1일 부터 12월 16일 까지 진행된 라이트하우스 10차 특별기도회의 메세지를 바탕으로 만들어진 책이다. 총 12편의 DO IT 메세지는 생방송 동시 시청자수 4800명, 누적 조회수 200만 회의 놀라운 참여로 전 세계의 많은 성도들을 변화시킨 메세지이다.모두가 생존하기 위해 몸부림치고 있는 시대 속에서 하나님의 부르심을 향해 나아가기 위한 실제적인 신앙성장의 길이 없을까 고민하며 DO IT 이라는 12편의 메세지를 정리하게 되었다. 20대 때 누가 나에게 이런 이야기를 해주었다면 나 또한 훨씬 더 빨리 이 바벨론의 트랙을 탈출할 수 있었을 것이다. 그러나 아무도 이것을 나에게 알려주지 않았고, 스스로 맨 몸으로 부딪히며 체득한 모든 이야기를 이 책에서 설명하고자 한다.코로나 3년의 기간이 전 세계의 첫 번째 진동기였다면, 앞으로 있을 3년은 금융 위기와 지정학적 위기를 통해 잠들어있던 하나님나라 성도들이 깨어나는 두 번째 진동기가 될 것이다. 이 책을 통해 DO IT 하는 자들은 복음통일과 선교한국 시대에 중앙아시아 선교를 감당하는 G2 코리아의 마지막 선교 주자들이 될 것이며, 예수 그리스도의 다시 오심을 준비하는 신부의 세대들로 단장될 것이다.펼쳐보기","004 추천사014 INTRO024 1장 버리고 선택하고 집중하라024 트랙을 달리는 사람들028 바벨론 시스템과 노예들030 우리는 너무 바쁘다031 가장 소중한 것(One Thing)037 탁월함의 길 : 버리고 선택하고 집중하라042 마지막 때를 이기는 첫 번째 도미노048 2장 몰입.. 하나님 앞에 서다048 광야로 이끄시는 이유053 몰입의 단계059 간증070 3장 정체성071 떨기나무 앞에 선 모세076 믿음의 조상 아브라함082 히브리서, 믿음의 선진들090 세 번째 도미노 : 정체성096 4장 구원의 투구100 구원에 대한 두 가지 생각102 성경이 말하는 기본 전제104 조건이 아닌 증거110 믿음과 순종의 관계113 왜곡된 은혜, 참된 은혜117 자녀됨의 권세121 지혜와 계시122 참된 자유와 기쁨128 5장 용서의 능력133 용서의 능력141 용서하지 못하는 이유144 먹는 대로, 생각하는 대로, 말하는 대로146 나를 불편하게 하는 것들148 서로 용서하라156 6장 기도의 능력158 기도의 시대160 비행기 이륙의 원리162 활주로164 대류권166 성층권168 성층권의 위기172 모든 일을 행한 후에174 사랑하는 법을 배웠니180 7장 실행력183 이 많은 사람들 중에187 정체성의 변화195 한계를 부수시는 하나님204 7번째 도미노 : 실행력210 8장 탁월함212 산업혁명의 시대215 다가오는 경기침체217 3년이 지나고 찾아오는 새로운 시대222 어떻게 하면 탁월해지는가 : 1. 집중력224 독서의 기적229 어떻게 하면 탁월해지는가 : 2. 문제해결 능력230 어떻게 하면 탁월해지는가 : 3. 창의력 4. 글쓰기232 어떻게 하면 탁월해지는가 : 5. 말하기234 씨를 뿌리는 자238 9장 하나님의 세계경영241 대한민국을 흔드시는 하나님242 G1의 세계경영249 세계경영 패러다임의 변화252 에너지 수송라인253 G1의 패권에 도전한 나라들255 일본에 떨어진 금융 핵폭탄257 새로운 세계질서 리쇼어링260 대만의 군사적 긴장262 희토류264 미국의 중국해체 전략268 하나님의 세계경영276 10장 시세276 금리인상과 경제붕괴, G1의 대추수283 세계화에서 재세계화로284 자산가치의 폭락287 고조되는 시스템 위기 1 : 회사채288 고조되는 시스템 위기 2 : 저축은행291 정보통제사회의 도래295 하나님의 생각300 11장 하나님의 비밀병기302 하나님의 화살들304 인간은 선한가 악한가307 생명력의 근원309 신약은 땅끝 선교, 구약은 자녀 선교311 유대인의 쉐마 교육314 햇빛과 물의 원리317 진짜 경쟁력은 예절교육이다318 수평문화의 위험성321 가정의 회복이 다음세대의 회복이다326 12장 HOLY ARRAY327 새로운 도미노330 가정의 정렬332 교회의 정렬333 일터의 정렬334 지역과 국가의 정렬335 마귀 군대의 정렬338 다가오는 전쟁340 마지막 때 선교의 행렬343 이제 매듭지어야 할 때350 참고문헌 & 자료펼쳐보기"
2023,2,하나님의 열심,박영선,"설교자 박영선의 단초를 엿보다!박영선 목사의 대표작으로 잘 알려진 설교집 『하나님의 열심』. 1985년 출간된 이래, 많은 신자들의 ‘인생 책’으로 손꼽히는 이 설교집을 한 세대가 지난 지금 다시 가다듬어 내놓다. 한 세대동안 충분히 변화한 우리의 고민, 하지만 그 고민 깊은 곳에 자리잡은 질문과 답은 '하나님'이라는 키워드 속에서 다시 만날 수 있다. 한 세대를 넘어 다음 세대에 이 책을 건네는 의미는 바로 거기에 있다.수많은 신자들의 절망과 좌절에 공감하면서 ‘하나님께 열심’이 아닌 ‘하나님의 열심’으로 답을 얻은 이 책이 지금껏 많은 이들의 신앙에 새로운 전기를 마련해 주었듯, 우리와 우리 자손에게도 하나님의 일하심의 신비를 새롭게 발견하게 해 줄 계기가 될 것이다. ‘믿음’이라는 주제를 놓고 집요한 질문과 고민으로 끈질기게 매달렸고 성경을 파헤치는 거침없는 추적 끝에 ‘믿음은 하나님의 열심이 빚어낸 결과’라는 답을 우리에게 보여준다.펼쳐보기",서문아브라함01 너는 너의 고향과 친척과 아버지의 집을 떠나 ── 1202 그가 거기서 여호와의 이름을 불렀더라 ── 4003 아브라함이 여호와를 믿으니 ── 6604 내가 너를 여러 민족의 아버지가 되게 함이니라 ── 9105 네 씨로 말미암아 만민이 복을 받으리니 ── 116야곱06 형의 장자의 명분을 내게 팔라 ── 14407 너를 이끌어 이 땅으로 돌아오게 할지라 ── 16808 네가 하나님과 겨루어 이겼음이니라 ── 19009 야곱의 전능자의 손을 힘입음이라 ── 212요셉/모세/욥/다윗/엘리야10 그의 말씀이 그를 단련하였도다 ── 23411 너희를 위하여 행하시는 구원을 보라 ── 26812 그가 나를 단련하신 후에는 ── 28913 내 죄가 항상 내 앞에 있나이다 ── 31114 세미한 소리가 있는지라 ── 335베드로/바울15 내가 주님을 사랑하는 줄 주님께서 아시나이다 ── 36016 그러나 내가 긍휼을 입은 까닭은 ── 389펼쳐보기
2023,3,산골 노승의 화려한 점심,향봉,"그래, 이 맛이다!돌아가신 어머니가 끓여주던 된장찌개 같은 맛,우리가 그토록 기다려온 스님의 글맛!1980년대 법정 스님, 오현 스님과 함께 『사랑하며 용서하며』로 필명을 드날렸던 향봉 스님이 우리 앞에 다시금 ‘산골 노승의 글쓰기’를 내놓았다.향봉 스님은 잊혀진 스님이다. 젊은 시절 한때, 세상 무서울 게 없던 시절도 있었다. 불교계 권력의 실세 역할도 해보고, 베스트셀러 작가로 유명세를 떨치기도 했다. 그의 표현을 빌자면 ‘뒤늦게 철이 들어’, 마흔 무렵 홀연히 자취를 감췄다. 15년간 인도와 네팔, 티베트, 중국을 떠돌며 구도행을 이어갔다. 이후 돌아와 20년째 익산 미륵산 사자암에 머무르며, 홀로 밥 지어 먹고, 글 쓰고, 산책하며 산다. 그렇게 70대 중반의 노승이 되었다.향봉 스님의 글을 처음 접하는 사람도 많을 것이다. 담백하지만 맛깔스럽다. 유려하지는 않지만 깊은 울림이 있다. 그런데 순간순간 울컥해진다. 유쾌하게 이어지는 문장을 따라가며 입가에 미소가 번지다가도, 어느새 가슴이 먹먹하고 절절해진다. ‘눈물방울 두어 방울’ 적시지 않고는 책장이 넘어가지 않는다.지금은 찾아보기 힘든, 흔하지 않은 글맛이다. 오랜만에 눈이 맑아지고 가슴이 따뜻해진다. 스님이 겪어온 삶의 역정과 치열한 구도기 속에서, 진리와 한몸이 되어 살아가는 ‘자유인의 삶’이 드러난다.펼쳐보기","1장 | 반쪽짜리 자화상뻐드렁니와 똥배꼽어른불알과 땅개반쪽짜리 자화상옹골찬 싸움꾼도 노승이 되어어떤 스님의 러브스토리육군하사 이용주창건주 할머니와 군법사 대행〈섬집아기〉와 〈고향땅〉‘똥물 사건’과 ‘곡괭이 사건’의 주동자법거량과 선문답베스트 셀러, 『사랑하며 용서하며』그때 그 시절의 해제비승려시인회사람다운 사람돌이켜보면 눈물뿐인 바람타는 목마름의 원초적 본능누나의 웃음과 형님의 울음간절하게 철이 드는 때돈과의 인연투사와 보살어머니의 태몽 이야기책은 길이요 빛이다야단법석절반의 남자뒤끝이 좀팽이인 사자암 주지2장 | 더러는 눈송이 되어더러는 빗방울 되어동화 속의 암자산골 늙은이의 화려한 점심바느질을 하며여름궁전 겨울궁전동전 열한 개어느 퇴임 교장 이야기황소불알스님과 양주두 할배의 겨울나기어느 중년 여인의 가르침정훈희의 〈스잔나〉“이 아이가 몇 살까지 살 수 있을까요?”총각거사사자암 주차장의 1인용 텐트“그렇다면 사자를 보여주시지요?”성직자가 필요 없는 세상그렇고 그렇다네나의 생활 염불도반 모임이 있는 날지리산 순례새벽녘 뜰을 거닐며참 세상 간단하다천사와 보살적막강산의 외톨이스님, 저 왔어요좋은 도반 도법 스님에게3장 | 아픔 속에서 나날이 철이 들고,철이 들면서 서서히 사라져가는 것세상은 길이고 인생은 여행이다세상의 주인공은 나1996년 12월 1일, 티베트에서의 기록새끼염소와의 이별의문투성이의 수상한 여행자덫과 올가미처연하고 슬프디 슬픈고산증세로 쓰러지며안간힘을 다해 쓴 글어젯밤의 누군가또 하나의 탈출예배당에서 사탕 받아먹던 아이는온몸이 박살 나는 아픔 속에서장거리 여행길의 화엄세계7대 건강 진단법화 삭히는 방법먹이를 찾는 두 노인순간의 실수와 순간의 선택사모님과 아줌마네 명의 남편과 한 명의 아내인디아 갤러리의 음모흰 가루의 비밀위기의 순례길칼춤의 현장뚱보 미인과의 짧은 만남바람을 닮은 적멸의 자유인인도의 어느메쯤에서4장 | 무아를 사무치게 깨닫는다면변두리와 모서리를 키우지 않는다우리네 인생사람이 사는 이유삶의 가벼움과 무거움이 또한 지나가리라도인의 삶깨달은 사람에 대하여챙김과 멈춤영혼은 없다무아를 사무치게 깨닫는다면영혼의 덫중도의 가르침오늘의 세계를 누리라사람이 부처 될 때모든 것은 변한다생활의 지혜큰 바다는 또랑물을 마다하지 않는다미운 사람경쟁과 전쟁놀이설법의 다섯 가지 원칙곁에 있어도 그리운 친구떠난 사랑은 떠나게 하라부채질하는 여인움직이는 선원스님은 무엇으로 살아갑니까?사라지면 그뿐인데글을 쓰게 된 이유펼쳐보기"
2023,4,언제 행복할 예정인가요?,자목,"참된 나를 돌아보는 시간≪언제 행복할 예정인가요?≫ 출간우리들은 자신이 누구인지도 모른 채 ‘나’를 내세우고, ‘내 것’에 집착하고, ‘내 생각’을 고집하며 살아갑니다. 또 행복은 언젠가 이루어야 할 것으로 미루며 살아갑니다. 《언제 행복할 예정인가요?》는 동국대학교 학생들이 학교의 교훈인 지혜, 자비, 정진을 겸비할 수 있도록 개발된 교재입니다. 자아와 명상 수업 시간을 통해 이를 생활 속에서 훈습하여 자신의 삶에 더 집중할 수 있도록 돕고, 이를 기반으로 공동체 속에서 타인과 행복한 관계를 맺는 법을 배우도록 하는 것입니다.≪언제 행복할 예정인가요?≫는 강의식 수업이 아닌 실기 위주의 체험 과정으로 이루어진 프로그램을 위한 교재입니다. 이러한 체험 과정은 스트레스나 갈등 상황 등의 어려움에 처했을 때 스스로 이겨나갈 수 있는 내적 역량을 키울 수 있게 돕습니다.펼쳐보기",자기 만남나를 돌아보는 질문들 - 16별명으로 나를 알려보세요 - 18첫인상으로 말하는 나 - 20지금 나의 상태는 - 22내 인생의 아리랑 곡선 - 24자신과 타인 이해하기 - 26참 괜찮은 나에게 쓰는 편지 - 28내 인생의 화두는 - 30자기 채움더 중요하게 생각하는 것 - 34내가 닮고 싶은 사람은 - 36가장 좋아하는 것과 잘하는 것은 - 38나의 장점과 단점은 - 40고민 바라보기 - 42나의 어머니 이야기 - 44나의 아버지 이야기 - 46나의 경험 이력서 - 48미래 명함 만들기 - 50자기 비움봄 풍경 카메라에 담기 - 54세 번의 호흡 - 562분 호흡 명상 - 58먹기 명상 - 60걷기 명상 - 62바디스캔 명상 - 64자기 존중 명상 - 66호흡 명상 - 68음악 명상 - 70낙서 명상 - 72자기 나눔내가 나눈 가장 큰 자비심 - 76진정한 자기 사랑이란 - 78자신을 위한 자비 명상 - 80타인을 위한 자비 명상 - 82공감 연습 - 84우리가 꿈꾸는 따뜻함 - 86서원 만들기 - 88한 학기를 마치며 - 90펼쳐보기
2023,5,티벳사자의 서,파드마삼바바(빠드마쌈바와)/류시화 역,"의식 저편의 마음을 깨닫게 하는 불서이 책의 가르침은 한마디로 ""살아 있는 어떤 것도 개별화된 실체를 갖지 않으며, 오직 마음만이 실재한다'는 것이다. 마음과 세계는 분리되어 있지 않으며, 이 세계는 마음의 결과이며 마음 없이는 세계도 없다. 그러므로, 소우주적인 마음에 근거한 온갖 환영과 유혹에서 벗어나 '벌거벗은' 상태의 자기 마음을 앎으로써 자기 너머의 자기에 도달할 수 있다는 것이다.무엇보다도 이 책의 탁월한 점은, 깨달음의 상태인 한마음에 이르게 되면 우리가 보고 듣고 경험하는 이 모든 상태들이 환영이며 윤회계의 신기루에 지나지 않는다는 불교의 세계관을 알기 쉽게 설명한다는 점이다. 독자들은 이제까지 우리가 스스로 정확하다고 생각했던 지식들이, 실재에 관한 지식이 아니라 변화무쌍하고 덧없는 환영에 관한 지식임을 알게 될 것이다.그것들은 실체를 가진 것이 아니라 우리의 무의식 세계가 필쳐 보이는 환상의 그림자에 지나지 않는다. 나아가 삶과 죽음도 우리의 환영이고, 모습도 색깔도, 우리의 마음까지도 실체 없는 환영의 세계이다. 이 책이 우리에게 일깨우는 진리는 바로 그 환영의 세계를 속히 깨달으라는 것이다.펼쳐보기",001. 제4판 서문 - 눈고장의 현자들이 건네 준 책/에반스 웬츠002. 제3판 서문 - 비밀에 부쳐진 책/에반스 웬츠003. 제2판 서문 - 삶의 예술과 죽음의 예술/에반스 웬츠004. 초판 서문 - 티벳 현자들의 가르침/에반스 웬츠005. 〈1〉 비밀의 이해006. 〈2〉티벳 死者의 書007.  - 치카이 바르도[죽음의 순간의 사후세계]008.  - 초에니 바르도[존재의 근원을 체험하는 사후세계]009.  - 시드파 바르도펼쳐보기
2023,6,스크루테이프의 편지,C. S. 루이스/김선형 역,"《스크루테이프의 편지》는 경험 많고 노회한 고참 악마 스크루테이프가 자신의 조카이자 풋내기 악마인 웜우드에게 인간을 유혹하는 방법에 대해 충고하는 서른한 통의 편지이다. 사소한 일들로 유발되는 가족 간의 갈등, 기도에 관한 오해, 영적 침체, 영적 요소와 동물적 요소를 공유하는 인간의 이중성, 변화와 영속성의 관계, 남녀 차이, 사랑, 웃음, 쾌락, 욕망 등 삶의 본질을 이루는 다양한 영역을 아우른다.펼쳐보기",서문스크루테이프가 보내는 31통의 편지부록 1961년판 서문펼쳐보기
2023,7,나의 사주명리,현묘,"“사주명리는 액막이용 부적이 아니라 나를 알아 가는 길!”내 손으로 직접 풀어 보는 ‘나의 사주명리’아침이 오지 않는 밤이 없듯이 고통만 계속되는 삶은 없다. 좋았다 나빴다 하는 것이 인생이란 사실은 누구나 안다. 그럼에도 일이 잘 풀리지 않거나 안 좋은 일이 계속될 때면 팔자 운운하지 않기가 쉽지 않다. 그래서 한번쯤은 자신과 자신의 인생이 왜 이런지 사주명리가 궁금해진다.직접 풀어 보는‘나의 사주명리’《나의 사주명리》는 자신의 사주명리를 직접 풀이할 수 있는 길을 찬찬히 안내하는 사주명리 입문서다. 사주명리의 출발점인 만세력에서 사주명리의 모든 것이라고 해도 과언이 아닌 십신까지 차근차근 단계를 밟아 나간다. 사주명리 입문서는 꽤 나와 있고, 그 책들의 목적은 대부분 ‘혼자’ 사주명리를 풀이하게 하는 데 있다. 하지만 그 목적지까지 이끄는 입문서가 얼마나 될까. 적어도 《나의 사주명리》는 그 목적지에 근접한다.펼쳐보기","프롤로그1장. 만세력숫자 달력과 의미 달력4개의 기둥: 연, 월, 일, 시천간과 지지의 조합 ‘간지’2장. 음양오행유동하는 음과 양음양의 상징, 태극오행, 우주를 움직이는 5가지 기운생, 상대를 살게 해 주는 것극, 상대를 제어하는 것사주명리의 핵심은 생극의 조화3장. 천간, 순수한 하늘의 뜻간지, 사주명리의 알파벳갑목甲을목乙병화丙정화丁무토戊기토己경금庚신금辛임수壬계수癸4장. 지지, 땅에서 이루는 조화시간과 관련 깊은 지지자수子축토丑인목寅묘목卯진토辰사화巳오화午미토未신금申유금酉술토戌해수亥5장. 사주명리의 모든 것, 십신사주의 기준은 ‘일간’십신, 사주명리의 모든 것비겁(비견+겁재)식상(식신+상관)재성(편재+정재)관성(편관+정관)인성(편인+정인)갑목의 힘이 강한 사주 ㆍ 을목의 힘이 강한 사주 ㆍ 병화의 힘이 강한 사주정화의 힘이 강한 사주 ㆍ 무토의 힘이 강한 사주 ㆍ 기토의 힘이 강한 사주경금의 힘이 강한 사주 ㆍ 신금의 힘이 강한 사주 ㆍ 임수의 힘이 강한 사주계수의 힘이 강한 사주 ㆍ 사주를 해석하는 3 가지 방법 ㆍ 비겁이 많은 사주식상이 많은 사주 ㆍ 재성이 많은 사주 ㆍ 관성이 많은 사주 ㆍ 인성이 많은 사주에에필로그펼쳐보기"
2023,8,법륜 스님의 행복(특별 에디션),법륜(法輪),"30만 독자가 사랑한 법륜 스님의 행복 안내서“어떤 삶을 살고 있더라도 당신은 행복해질 권리가 있습니다.”2016년에 출간되어 30만 독자의 사랑을 받으며 분야 베스트셀러 1위를 차지,여전히 많은 사랑을 받고 있는 『법륜 스님의 행복』의 양장본 특별 에디션오늘의 행복을 읽고, 듣고, 쓰는 힐링 패키지로 새롭게 출간!삶에 지치고, 관계에 상처받고, 부조리한 세상에 고통받는 이들에게 인생의 길잡이가 되어준 『법륜 스님의 행복』이 30만 독자들의 큰 사랑에 보답하는 마음을 담아 양장본 특별 에디션으로 출간되었다.특별 에디션은 화가 김정숙의 「봄의 향연-3」으로 화사하게 표지를 바꾼 양장본과, 100일 필사 노트를 함께 구성해 책 속 구절을 하루 한 문장씩 100일 동안 따라 적으며 필사의 즐거움을 경험할 수 있게 했다. 또한 책 전체 분량을 오디오북(7시간 분량)으로 제작한 QR코드를 넣어 행복의 지혜를 귀로 듣는 새로운 경험을 선물한다. 많은 이들이 일상적으로 찾아 듣는 법륜 스님의 강연이나 즉문즉설 동영상처럼 『법륜 스님의 행복』 양장본 특별 에디션에 포함된 QR코드로 언제 어디서나 30만 독자가 공감한 법륜 스님의 행복 메시지를 들을 수 있게 됐다.펼쳐보기","1장 왜 내 삶은 원하는 대로 되지 않을까선택과 자기모순이상과 현실 사이에서 방황하고 있다면허위의식의 감옥에서 걸어나와라행복의 비결욕심은 내려놓고 원은 세운다인연과보에도 시차가 있다2장 감정은 만들어진 습관좋고 싫음의 감정에서 자유롭기화, 상대와는 무관한 내 안의 도화선참지도 성내지도 않는 제3의 길상대의 말에 되받아치지 못해 억울하다면과거의 상처를 인생의 자산으로 만드는 법후회는 지나간 실수에 매달리는 것불안은 미래에 대한 집착에서 온다열등감과 우월감은 뿌리가 같다마음은 생주이멸生住異滅만들어진 습관은 고칠 수 있다3장 나와 생각이 다른 사람과 함께 사는 법모든 갈등은 관계 맺기에서 시작된다좋은 사람 vs 나쁜 사람세상에 다 갖춘 사람은 없다행복한 결혼의 조건남 보기 좋은 인생 말고중도의 길을 알려주는 직장 상사대부분의 관계는 이기심에서 시작된다‘기브 앤 테이크’는 거래지, 관계가 아니다책임감으로 살면 인생이 공허해진다의지하는 마음은 원망하는 마음의 씨앗남의 인생에 간섭하지 마라나무는 서로 어울려 숲을 이룬다4장 남의 불행 위에 내 행복을 쌓지 마라진정한 성공이란남의 불행 위에 내 행복을 쌓지 마라욕망은 장작불과 같다욕구의 3단계: 욕구와 욕망 그리고 탐욕개인은 씨앗, 사회는 밭사냥꾼 두 사람이 토끼 세 마리를 잡았다면남을 비난하기 전에 나부터나도 행복하고 남도 이롭게 하는 길5장 어제보다 오늘 더 행복해지는 연습시비분별의 마음을 내려놓고통찰력, 고통에서 벗어나 사물의 전모를 보는 지혜갈등을 키울 것인가, 아니면 이익을 얻을 것인가타인을 위로할 때 얻는 공덕사랑에도 차원이 있다행복은 재미와 보람 속에 있다인생의 시간을 행복하게 나누어 쓰는 법어떤 순간이라도 우리는 행복을 선택할 수 있다펼쳐보기"
2023,9,이제서야 이해되는 불교,원영,"“인생이 덧없고 허무하게 느껴진다면불교 공부하기 더할 나위 없이 좋은 때!”우리 삶에는 즐겁고 행복한 일만 있는 것은 아니다. 살아가다 보면 누구나 슬픈 상황이나 나 혼자의 힘으로는 이겨내기 어려운 힘든 상황을 맞닥뜨리기 마련이다. 이런 상황을 순조롭게, 혹은 평안하게 극복하기 위해서 우리는 마음의 의지처를 찾는데, 그때 가장 많이 찾는 것이 종교다. 그중에서도 신이라는 존재에게 의지하기보다는 ‘열반’이라고 하는 평안한 상태에 이르는 방법을 알려주는 불교는 특히나 힘든 일을 겪은 사람들에게 위로와 위안이 되어 준다. 갑자기 사랑하는 가족이나 친구의 죽음을 겪었을 때,  회복하기 어려운 큰 병에 걸렸을 때 등, 혼자서는 어찌 할 수 없는 순간이 갑자기 찾아온다. 무엇 때문에 이렇게 열심히 살아왔나, 하는 생각이 드는 사람이라면 누구나 공감하고, 쉽게 이해할 수 있는 가르침이 불교에 담겨 있다.이 책은 불교 공부를 이제 막 시작한 사람들, 그리고 그동안 불교 공부를 어려워했던 사람들을 위한 불교 입문서이다. BBS불교방송의 최고 인기 프로그램 〈원영 스님의 불교대백과〉를 통해 불교의 모든 것에 대해 알려주었던 원영 스님이 불교의 핵심 가르침만을 가려뽑았다. 어려운 용어 대신 일상의 언어로 친근하게 풀었기 때문에 술술 읽히면서도 단박에 이해할 수 있도록 하였다.펼쳐보기","ㆍ 책을 펴내며1부 삼법인1. 지금의 내 모습인생은 비극인가, 희극인가세 가지 불법의 특징, 삼법인2. 고 -  아, 너무 괴롭다인생은 괴로움이야괴로움에도 종류가 있다 : 사고팔고(四苦八苦)나를 이루는 것들, 오온3. 무상 - 모든 게 부질없어허망한 꿈, 무상한 인생ㆍ 이야기 하나 더!_아소까 왕의 참회허망한 세상의 이치시간과 죽음속도와 무상의 인식아들의 죽음을 받아들이지 못한 어머니지ㆍ수ㆍ화ㆍ풍으로 돌아가는 인간의 몸무상하니까 정진해라제행무상 시생멸법ㆍ 이야기 하나 더!_부처님도 늙는다4. 무아 - 내가 뭐라고허깨비가 어리석은 나를 속인다‘아트만’이 뭔지부터!어머니가 첫사랑을 이뤘다면모든 생명은 오온의 결합일 뿐사과와 사과 씨앗의 관계ㆍ 지식 쪽지_열반2부 사성제1. 고 - 인생은 고(苦), 그래도 고(GO)네 가지 성스러운 진리, 사성제괴로움의 성스러운 진리괴로움이 쌓여가는 원리탐ㆍ진ㆍ치가 뭘까2. 집 - 좋은 게 정말 좋은 것일까괴로움의 원인을 알아야지ㆍ 지식 쪽지_율장잘못된 선택이 낳은 과보ㆍ 이야기 하나 더!_석가족에게 품은 원한3. 멸 - 머물고 싶은 세계를 향해모든 번뇌를 ‘훅’ 하고 불어 꺼버리면뭣이 중헌디?부처님께서 멸성제를 설하신 이유4. 도 - 어떻게 살 것인가?사성제의 핵심은 도성제괴로움의 소멸에 이르는 길ㆍ 이 정도는 알아야죠!_간단하게 보는 부처님 생애3부 연기1. 연기 - 좋고 싫음의 관계세상의 이치를 꿰뚫어 알면십이연기에 대한 이해ㆍ 깨달은 분이 설명하는 십이연기2. 중도 - 옳고 그름을 넘어한쪽으로 치우치지 마라중도와 팔정도중도의 가운데는 넓다내가 틀릴 수도 있다ㆍ 성철 스님의 중도법문4부 육바라밀1. 바라밀 - 함께 행복해지는 길불교의 완성은 실천2. 보시 - 웃으면서 줄게가엾게 여기는 마음으로 조건 없이 베풀라행복의 씨앗을 심는 보시나의 공덕은 얼마나 되나3. 지계 - 나의 보호막하면 안 되는 것을 하지 않는 것계와 율이 다른가세 가지 깨끗한 계율, 삼취정계4. 인욕 - 참아보자. 한 번만 더!분노도, 원망도, 교만도 없이인내에도 품격이 있다5. 정진 - 한 걸음씩 앞으로‘꾸준히’가 가장 중요하다그렇더라도 정진해야지6. 선정 - 고요한 나를 찾아서흔들리는 마음을 다잡으려면고요히 앉아 마음을 모아요7. 반야 - 마침내 마주하는 지혜바라밀의 완성, 반야바라밀ㆍ 지식 쪽지_사무량심？？ 책을 마치며_나를 찾는 길의 시작펼쳐보기"
2023,10,기도는 사라지지 않는다,최상훈,“내가 너의 기도를 통장처럼 찾아 쓸 것이다!”기도는 하면 할수록 하늘나라 통장에 차곡차곡 쌓여간다하나님은 금처럼 귀한 성도의 기도를 하나도 잊지 않으신다쌓인 기도의 능력과 응답으로 풀어진 화양교회 최상훈 목사의 기도행전김용의ㆍ유기성ㆍ천정은 추천펼쳐보기,"추천사프롤로그PART 1 쓰기 편한 그릇입양될 뻔한 아이 / 쓰기 편한 그릇 / 신문 배달과 찹쌀떡 장사 / 나만의 피아노 선생님 / 절벽에서 추락해도 살아남은 이유 / 녹슨 못과 붉은 천 / 앞서 예비하신 하나님 / 내가 너의 기도를 찾아 쓸 것이다PART 2 부르심에 순종, 아프리카로？젊음을 깨트린 선교사 / 인내의 근육이 차오르는 시간 / 주님밖에 없습니다 / 예기치 않은 방법으로 응답하시는 하나님 / 너를 고아같이 버려두지 않아 / 염소 치던 소년에게 일어난 기적 / 지구 반대편에서 쏘아 올린 중보기도의 위력 / 순종할 수 없는 상황에서 순종할 때 / 감사의 타이밍 / 안식년을 포기하고 알래스카로？PART 3 가장 추운 곳으로, 순종맡은 일에 충성하다보면 / 창고에서 시작된 교회 개척 / 끝까지 순종하면 열매는 맺어진다 / 청년 부흥의 비전을 주시다 / 빈대떡 권사님과 예수님 / 전적인 순종 뒤에 반드시 예비하심이 있다 / 지금의 청년 담당 목사 / 순종했는데 왜 이런 일이 일어나는 건가요? / 성전 건축도 기도의 무릎으로부터 / 하나님의 손으로 세우신 알래스카교회 / 새로운 약속, 순종의 발걸음？PART 4 한 번 더 순종, 벤추라로목양실을 기도실로 바꾸다 / 담배 대신 고무장갑을 끼고 / 보이스톡으로 받은 제자반 수업 / 그래미상 후보와의 찬양 인도 / 기도보다 앞서지 말자 / 기쁨을 선포하고 쟁취하라 / 미국 보안법을 바꾼 청년의 기도 / 19년 만에 다시 한국으로？PART 5 추수할 때가 이르러일 년 전 꿈이 놀라운 현실이 되다 / 루틴을 넘어 체질이 될 때까지 / 부흥의 조짐은 기도의 현장에서부터 / 15명으로 시작된 청년교회 / 베트남에서 드린 10시간 기도의 역사 / 믿고 그대로 선포할 때 치유가 일어나다 / 20여 년 만에 다시 밟은 나의 아프리카 땅 / 예수님과의 친밀한 동행과 제자훈련 / 9번의 주일예배와 24시간 기도회로 돌파한 코로나 / 코로나 시국에도 단기선교 / 선포기도로 여는 부흥의 시대에필로그펼쳐보기"
