,Year,Title,Rank,Keywords
0,2023,유현준의 인문 건축 기행,1,"['건축물', '세상', '사회', '생각', '인간']"
1,2023,방구석 미술관,2,"['미술', '화가', '방구석', '이유', '영혼']"
2,2023,심판,3,"['아나톨', '천국', '검사', '주인공', '판사']"
3,2023,방구석 미술관 2: 한국,4,"['미술', '한국', '방구석', '거장', '원조']"
4,2023,그림 그리기가 이토록 쉬울 줄이야,5,"['그림', '완성', '시작', '자신', '스케치']"
5,2023,조선 미술관,6,"['조선', '그림', '기록', '풍속화', '화가']"
6,2023,우리는 왜 임영웅을 사랑하는가,7,"['임영웅', '노래', '가수', '음악', '사랑']"
7,2023,"하루 한 장, 인생 그림",8,"['인생', '화가', '그림', '작품', '하루']"
8,2023,서양미술사,9,"['미술', '서양', '브리', '미술사', '작품']"
9,2023,합스부르크 600년 매혹의 걸작들 100배 즐기기,10,"['합스부르크', '걸작', '매혹', '오스트리아', '전시']"
10,2023,김락희의 인체 드로잉,11,"['드로잉', '인체', '해부학', '강의', '도형']"
11,2023,스즈키 바이올린 교본 1,12,"['바이올린', '스즈키', '모두', '교본', '메소드']"
12,2023,스즈키 바이올린 교본 2,13,"['스즈키', '메소드', '지도', '교본', '세계']"
13,2023,미술관을 빌려드립니다: 프랑스,14,"['저자', '미술', '박물관', '프랑스', '작품']"
14,2023,위로의 미술관,15,"['작품', '그림', '위로', '화가', '미술관']"
15,2023,헤어질 결심 각본,16,"['결심', '각본', '즐거움', '편집', '대사']"
16,2023,자연스러운 인체 드로잉,17,"['인체', '드로잉', '그릴', '구조', '안내']"
17,2023,공간이 만든 공간,18,"['문화', '공간', '건축', '환경', '중심']"
18,2023,어디서 무엇이 되어 다시 만나랴,19,"['일기', '드로잉', '독창', '40년대', '김환기']"
19,2023,호퍼 A-Z,20,"['호퍼', '에드워드', '생애', '작품', '알파벳']"
20,2023,스즈키 바이올린 교본 3,21,"['스즈키', '바이올린', '메소드', '협력', '지속']"
21,2023,나의 아저씨 세트,22,"['드라마', '대본', '영상', '인생', '아저씨']"
22,2023,연필 스케치,23,"['풍경', '연필', '스케치', '표현', '소개']"
23,2023,이토록 클래식이 끌리는 순간,24,"['클래식', '음악', '사랑', '마음', '사람']"
24,2023,음악으로 자유로워지다,25,"['자신', '모토', '이치', '세계', '사카']"
25,2023,난처한 미술 이야기 7,26,"['르네상스', '고전', '로마', '미술사', '탄생']"
26,2023,지은쌤의 30일 피아노 코드 반주 1,27,"['반주', '코드', '피아노', '연습', '오늘']"
27,2023,카콜의 어반 스케치 기초,28,"['스케치', '순간', '작품', '사람', '추억']"
28,2023,그림이 나에게 말을 걸다,29,"['그림', '마음', '사랑', '치료', '위로']"
29,2023,미드나잇 뮤지엄: 파리,30,"['위로', '슬픔', '지금', '그림', '인생']"
30,2023,1일 1클래식 1기쁨,31,"['클래식', '음악', '사람', '이자', '작곡가']"
31,2023,배우수업,32,"['배우', '나라', '원리', '수업', '심혈']"
32,2023,타오르는 어둠 속에서/어느 계단의 이야기,33,"['작품', '희곡', '거장', '계단', '안토니오']"
33,2023,명화로 읽는 합스부르크 역사,34,"['역사', '명화', '합스부르크', '유럽', '시리즈']"
34,2023,서양미술사,9,"['미술', '서양', '미술사', '역사', '사람']"
35,2023,버들 손글씨,36,"['글씨', '그림', '버들', '충전', '마음']"
36,2023,그림의 힘 2,37,"['그림', '사실', '최고', '예술', '증명']"
37,2023,화가가 사랑한 나무들,38,"['나무', '화가', '그림', '자연', '감동']"
38,2023,난처한 미술 이야기 1,39,"['미술', '역사', '작품', '독자', '사진']"
39,2023,세광뉴바이엘 2,40,"['바이엘', '피아노', '교본', '어린이', '이탈리아']"
40,2023,시와찬미 11,41,"['시와', '찬미', '코드', '찬양', '11']"
41,2023,안목,42,"['안목', '순례', '이야기', '소개', '유홍준']"
42,2023,내가 사랑한 화가들,43,"['화가', '미술', '그림', '해설', '도스']"
43,2023,1일 1클래식 1포옹,44,"['음악', '클래식', '기쁨', '이야기', '전작']"
44,2023,"거기, 그곳에: 세상 끝에 다녀오다",45,"['사진', '프리', '솔로', '모험', '모습']"
45,2023,기묘한 미술관,46,"['그림', '명화', '프랑스', '소설', '병과']"
46,2023,클릭 서양미술사,47,"['미술사', '서양', '작품', '미술', '이해']"
47,2023,미술관 읽는 시간,48,"['미술관', '도스', '화가', '작품', '한국']"
48,2023,쉽고 재미있게 그리는 색연필 풍경화 컬러링북: 북유럽 편,49,"['색연필', '북유럽', '여행', '풍경화', '여행지']"
49,2023,영화의 이해,50,"['영화', '이해', '사진', '이론', '예술']"
50,2023,간추린 체르니 100 (포인트),51,"['포인트', '연습', '연습곡', '악보', '고민']"
51,2023,난처한 미술 이야기 2,52,"['미술', '역사', '흐름', '미래', '작품']"
52,2023,연필로 그리는 풍경,53,"['연필', '풍경화', '예시', '풍경', '항구']"
53,2023,포인트 캐릭터 드로잉 세트,54,"['인체', '드로잉', '가이드', '그림', '캐릭터']"
54,2023,꽃그림 작품으로 배우는 보타니컬 아트,55,"['그림', '관심', '아트', '과정', '사람']"
55,2023,상관없는 거 아닌가?,56,"['장기하', '뮤지', '마음', '이야기', '가사']"
56,2023,연기하지 않는 연기,57,"['연기', '배우', '코치', '글렌', '클로스']"
57,2023,난처한 미술 이야기 5,58,"['미술', '이야기', '저자', '이탈리아', '흐름']"
58,2023,일산오빠의 실용음악 기초이론 1,59,"['문제', '이론', '실용음악', '입시', '기초']"
59,2023,"거기, 그곳에: 세상 끝에 다녀오다",45,"['사진', '프리', '솔로', '모험', '모습']"
60,2023,기묘한 미술관,46,"['그림', '명화', '프랑스', '소설', '병과']"
61,2023,클릭 서양미술사,47,"['미술사', '서양', '작품', '미술', '이해']"
62,2023,미술관 읽는 시간,48,"['미술관', '도스', '화가', '작품', '한국']"
63,2023,쉽고 재미있게 그리는 색연필 풍경화 컬러링북: 북유럽 편,49,"['색연필', '북유럽', '여행', '풍경화', '여행지']"
64,2023,영화의 이해,50,"['영화', '이해', '사진', '이론', '예술']"
65,2023,간추린 체르니 100 (포인트),51,"['포인트', '연습', '연습곡', '악보', '고민']"
66,2023,난처한 미술 이야기 2,52,"['미술', '역사', '흐름', '미래', '작품']"
67,2023,연필로 그리는 풍경,53,"['연필', '풍경화', '예시', '풍경', '항구']"
68,2023,포인트 캐릭터 드로잉 세트,54,"['인체', '드로잉', '가이드', '그림', '캐릭터']"
69,2023,꽃그림 작품으로 배우는 보타니컬 아트,55,"['그림', '관심', '아트', '과정', '사람']"
70,2023,상관없는 거 아닌가?,56,"['장기하', '뮤지', '마음', '이야기', '가사']"
71,2023,연기하지 않는 연기,57,"['연기', '배우', '코치', '글렌', '클로스']"
72,2023,난처한 미술 이야기 5,58,"['미술', '이야기', '저자', '이탈리아', '흐름']"
73,2023,일산오빠의 실용음악 기초이론 1,59,"['문제', '이론', '실용음악', '입시', '기초']"
74,2023,해피엠 기초 일렉기타 레슨,75,"['연주', '연습곡', '구성', '강의', '기타']"
75,2023,화성학,76,"['화음', '성학', '교재', '수록', '기초']"
76,2023,세광뉴바이엘 3,77,"['바이엘', '피아노', '교본', '어린이', '이탈리아']"
77,2023,나의 꽃그림 색연필 컬러링북,78,"['그림', '컬러', '아트', '색연필', '작가']"
78,2023,이루마 더 베스트 오리지널,79,"['악보집', '이루마', '오피셜', '수록', '감성']"
79,2023,혼자 해도 프로 작가처럼 잘 그리는 아이패드 드로잉 with 프로크리에이트,80,"['드로잉', '고래', '그림', '아이패드', '시작']"
80,2023,꼬마빌딩 건축 실전 교과서,81,"['건축', '건물', '사람', '과정', '마련']"
81,2023,난처한 미술 이야기 6,82,"['미술', '르네상스', '이야기', '출간', '저자']"
82,2023,똑같은 빨강은 없다,83,"['미술', '교사', '빨강', '저자', '기획']"
83,2023,미치도록 쉬운 드럼: 성인가요(7080) 편,84,"['드럼', '어른', '중장', '교본', '교재']"
84,2023,스즈키 바이올린 교본 5,85,"['스즈키', '바이올린', '메소드', '협력', '지속']"
85,2023,디자인의 디자인,86,"['디자인', '일상', '저자', '일반', '시대']"
86,2023,시노자키 바이올린 교본 1,87,"['연습', '주보', '나장조', '라단조', '다장조']"
87,2023,예썰의 전당: 서양미술 편,88,"['예술', '작품', '미술', '시대', '청자']"
88,2023,사연 있는 그림,89,"['사연', '걸작', '그림', '이야기', '고난']"
89,2023,세광 소나티네 앨범,90,"['소나티네', '교본', '피아노', '사람', '기본']"
90,2023,시창과 청음연습 1,91,"['연습', '청음', '기본', '소리', '창의']"
91,2023,최신 기법의 아나토미 @ 조형 회화 애니메이션 창작을 위한 인체 해부도감,92,"['전반', '도감', '조형', '학습', '내용']"
92,2023,배우의 힘,93,"['연극학', '배우', '전반', '기초', '이론서']"
93,2023,기초부터 연주곡까지 한 권으로 완성하는 올바른 통기타 교본,94,"['교육', '이론', '학생', '음악', '마음']"
94,2023,그라우트의 서양음악사(상),95,"['그림', '음악', '페이지', '내용', '101']"
95,2023,피아노 명곡집 1,96,"['피아노', '연주', '사람', '장소', '교재']"
96,2023,마음까지 물들이는 어반 수채화 컬러링 북,97,"['그림', '작가', '채색', '수채화', '컬러']"
97,2023,전무진의 말랑기타 1: 통기타 기초 이론과 주법,98,"['기타', '코드', '유튜브', '말랑', '운영']"
98,2023,시크릿 캐릭터 드로잉,99,"['연재', '직후', '기본기', '직관', '레진코믹스']"
99,2023,그림값의 비밀,100,"['미술', '투자', '그림', '과정', '작품']"
100,2023,스토리 클래식,101,"['클래식', '음악', '스토리', '사랑', '세계']"
101,2023,"반 고흐, 영혼의 편지",102,"['고흐', '작품', '편지', '고독', '미술']"
102,2023,재즈 피아노 독학 가이드북 1: 기초 주법,103,"['재즈', '피아노', '연주', '독학', '이론']"
103,2023,난처한 미술 이야기 3,104,"['미술', '역사', '흐름', '기독교', '작품']"
104,2023,세광 소나티네 앨범,90,"['소나티네', '교본', '피아노', '사람', '기본']"
105,2023,시창과 청음연습 1,91,"['연습', '청음', '기본', '소리', '창의']"
106,2023,최신 기법의 아나토미 @ 조형 회화 애니메이션 창작을 위한 인체 해부도감,92,"['전반', '도감', '조형', '학습', '내용']"
107,2023,배우의 힘,93,"['연극학', '배우', '전반', '기초', '이론서']"
108,2023,기초부터 연주곡까지 한 권으로 완성하는 올바른 통기타 교본,94,"['교육', '이론', '학생', '음악', '마음']"
109,2023,그라우트의 서양음악사(상),95,"['그림', '음악', '페이지', '내용', '101']"
110,2023,피아노 명곡집 1,96,"['피아노', '연주', '사람', '장소', '교재']"
111,2023,마음까지 물들이는 어반 수채화 컬러링 북,97,"['그림', '작가', '채색', '수채화', '컬러']"
112,2023,전무진의 말랑기타 1: 통기타 기초 이론과 주법,98,"['기타', '코드', '유튜브', '말랑', '운영']"
113,2023,시크릿 캐릭터 드로잉,99,"['연재', '직후', '기본기', '직관', '레진코믹스']"
114,2023,그림값의 비밀,100,"['미술', '투자', '그림', '과정', '작품']"
115,2023,스토리 클래식,101,"['클래식', '음악', '스토리', '사랑', '세계']"
116,2023,"반 고흐, 영혼의 편지",102,"['고흐', '작품', '편지', '고독', '미술']"
117,2023,재즈 피아노 독학 가이드북 1: 기초 주법,103,"['재즈', '피아노', '연주', '독학', '이론']"
118,2023,난처한 미술 이야기 3,104,"['미술', '역사', '흐름', '기독교', '작품']"
119,2023,도슨트 정우철의 미술 극장 2,120,"['전시', '순간', '미술관', '미술', '오늘']"
120,2023,클래식이 알고 싶다: 고전의 전당 편,121,"['클래식', '음악', '고전', '출간', '이야기']"
121,2023,멜로가 체질 대본집 2,122,"['작가', '대본집', '드라마', '김영', '체질']"
122,2023,원데이클래스 진짜 하루만에 끝내는 퍼스널 컬러,123,"['컬러', '퍼스널', '타입', '메이킹', '경험']"
123,2023,도슨트 정우철의 미술 극장,124,"['화가', '그림', '우철', '미술', '도스']"
124,2023,엄지 피아노 칼림바 기초곡집,125,"['연주', '코드', '악보', '연습', '반주']"
125,2023,가문비나무의 노래(리커버 에디션)(표지 2종 랜덤 발송),126,"['바이올린', '레스', '마틴', '과정', '사진']"
126,2023,입시문제 유형의 화성실습,127,"['입시', '문제', '마지막', '성학', '편집']"
127,2023,스즈키 첼로 교본 3,128,"['스즈키', '첼로', '포함', '첨부', '반주']"
128,2023,하농 60 피아노 교본,129,"['시작', '피아노', '손가락', '훈련', '연습곡']"
129,2023,세광뉴바이엘 1,130,"['바이엘', '피아노', '교본', '어린이', '이탈리아']"
130,2023,흐리말리 바이올린 음계교본,131,"['음계', '구성', '연습', '교재', '가지']"
131,2023,미술관을 좋아하게 될 당신에게,132,"['예술', '전시', '미술관', '미술', '그림']"
132,2023,이루마 더 베스트 이지,133,"['악보집', '이루마', '오피셜', '수록', '감성']"
133,2023,들으면서 익히는 클래식 명곡,134,"['클래식', '명곡', '음악', '형식', '작품']"
134,2023,헤어질 결심 각본,16,"['결심', '각본', '즐거움', '편집', '대사']"
135,2023,위로의 미술관,15,"['작품', '그림', '위로', '화가', '미술관']"
136,2023,방구석 미술관,2,"['미술', '화가', '방구석', '이유', '영혼']"
137,2023,나의 아저씨 세트,22,"['드라마', '대본', '영상', '인생', '아저씨']"
138,2023,김락희의 인체 드로잉,11,"['드로잉', '인체', '해부학', '강의', '도형']"
139,2023,방구석 미술관 2: 한국,4,"['미술', '한국', '방구석', '거장', '원조']"
140,2022,그 해 우리는 1,7,"['드라마', '시청자', '마음', '유발', '세계']"
141,2023,스즈키 바이올린 교본 1,12,"['바이올린', '스즈키', '모두', '교본', '메소드']"
142,2022,그 해 우리는 2,9,"['드라마', '시청자', '마음', '유발', '세계']"
143,2023,그림 그리기가 이토록 쉬울 줄이야,5,"['그림', '완성', '시작', '자신', '스케치']"
144,2023,스즈키 바이올린 교본 2,13,"['스즈키', '메소드', '지도', '교본', '세계']"
145,2022,"옷소매 붉은 끝동 1, 2 대본집 세트",12,"['드라마', '대본집', '끝동', '이야기', '옷소매']"
146,2023,합스부르크 600년 매혹의 걸작들 100배 즐기기,10,"['합스부르크', '걸작', '매혹', '오스트리아', '전시']"
147,2022,이상한 변호사 우영우 1,14,"['우영', '변호사', '드라마', '대본집', '작가']"
148,2023,기묘한 미술관,46,"['그림', '명화', '프랑스', '소설', '병과']"
149,2023,스즈키 바이올린 교본 3,21,"['스즈키', '바이올린', '메소드', '협력', '지속']"
150,2022,이상한 변호사 우영우 2,17,"['우영', '변호사', '드라마', '대본집', '작가']"
151,2022,"우연히, 웨스 앤더슨",18,"['웨스', '앤더슨', '여행', '세계', '사진']"
