,Year,Title,Rank,Keywords
0,2023,흔한남매 13,1,"['남매', '웃음', '일상', '어린이', '유튜브']"
1,2023,설민석의 한국사 대모험 24,2,"['한국사', '모험', '평강', '이야기', '시작']"
2,2023,긴긴밤,3,"['마지막', '코뿔소', '노드', '남은', '오른쪽']"
3,2023,고양이 해결사 깜냥 5: 편의점을 환하게 밝혀라!,4,"['편의점', '고양이', '하품', '손님', '독자']"
4,2023,흔한남매 과학 탐험대 7: 생물 1,5,"['과학', '남매', '내용', '정보', '젤리']"
5,2023,흔한남매 12,6,"['남매', '웃음', '으뜸', '일상', '공감']"
6,2023,설민석의 한국사 대모험 23,7,"['한국사', '모험', '인조', '만화', '어린이']"
7,2023,흔한남매의 흔한 호기심 8,8,"['호기심', '남매', '과학', '화석', '일상']"
8,2023,이상한 과자 가게 전천당 17,9,"['천당', '손님', '남자', '베니', '불행']"
9,2023,마법천자문 56: 보통과 아주 다르다! 특별,10,"['오공', '리더', '아람', '이온', '등록']"
10,2023,마법천자문 57: 내 뜻을 알려라! 신호,11,"['리더', '오공', '능력', '시엔', '공격']"
11,2023,상처 주는 말 하는 친구에게 똑똑하게 말하는 법,12,"['친구', '상황', '마음', '관계', '작가']"
12,2023,흔한남매 과학 탐험대 6: 물리 2,13,"['과학', '남매', '게임', '현실', '가상']"
13,2023,에그박사 9,14,"['생물', '박사', '에그', '자연', '관찰']"
14,2023,설민석의 세계사 대모험 16,15,"['세계사', '세계', '역사', '늑대', '푸른']"
15,2023,Go Go 카카오프렌즈 역사문화 27: 스위스,16,"['역사', '카카오프렌즈', '스위스', '세계', '퍼즐']"
16,2023,설민석의 세계사 대모험 15,17,"['세계사', '정복', '몽골', '여행', '역사']"
17,2023,백앤아 1: 미스터리 100층 감옥,18,"['점프', '크리에이터', '아름', '몬스터', '유튜브']"
18,2023,마법천자문 58: 온 정성과 힘을 다한다! 최선,19,"['노인', '오공', '해리', '부하', '하가라']"
19,2023,156층 나무 집,20,"['나무', '크리스마스', '테리', '산타', '선물']"
20,2023,하하 자매 떡집,21,"['떡집', '구리', '자매', '소원', '시리즈']"
21,2023,5번 레인,22,"['수영', '나루', '아이들', '레인', '초등학교']"
22,2023,흔한남매 11,23,"['남매', '웃음', '유튜브', '일상', '에이미']"
23,2023,흔한남매 이상한 나라의 고전 읽기 3,24,"['고전', '남매', '읽기', '여름', '도서관']"
24,2023,고양이 해결사 깜냥 1: 아파트의 평화를 지켜라!,25,"['고양이', '사랑', '경비원', '아파트', '사람']"
25,2023,아홉 살에 시작하는 똑똑한 초등신문,26,"['기사', '신문', '아이', '사회', '내용']"
26,2023,설민석의 한국사 대모험 22,27,"['한국사', '모험', '만화', '초등', '대동여지도']"
27,2023,그리스 로마 신화 32: 운명을 바꾼 야누스의 문,28,"['신화', '아이', '아스', '라티누스', '로마']"
28,2023,나는 3학년 2반 7번 애벌레,29,"['벌레', '학년', '캐릭터', '관찰', '상자']"
29,2023,흔한남매 수수께끼 어드벤처 2,30,"['남매', '수수께끼', '크리에이터', '호러', '유튜브']"
30,2023,Go Go 카카오프렌즈 역사문화 27: 스위스,16,"['역사', '카카오프렌즈', '스위스', '세계', '퍼즐']"
31,2023,설민석의 세계사 대모험 15,17,"['세계사', '정복', '몽골', '여행', '역사']"
32,2023,백앤아 1: 미스터리 100층 감옥,18,"['점프', '크리에이터', '아름', '몬스터', '유튜브']"
33,2023,마법천자문 58: 온 정성과 힘을 다한다! 최선,19,"['노인', '오공', '해리', '부하', '하가라']"
34,2023,156층 나무 집,20,"['나무', '크리스마스', '테리', '산타', '선물']"
35,2023,하하 자매 떡집,21,"['떡집', '구리', '자매', '소원', '시리즈']"
36,2023,5번 레인,22,"['수영', '나루', '아이들', '레인', '초등학교']"
37,2023,흔한남매 11,23,"['남매', '웃음', '유튜브', '일상', '에이미']"
38,2023,흔한남매 이상한 나라의 고전 읽기 3,24,"['고전', '남매', '읽기', '여름', '도서관']"
39,2023,고양이 해결사 깜냥 1: 아파트의 평화를 지켜라!,25,"['고양이', '사랑', '경비원', '아파트', '사람']"
40,2023,아홉 살에 시작하는 똑똑한 초등신문,26,"['기사', '신문', '아이', '사회', '내용']"
41,2023,설민석의 한국사 대모험 22,27,"['한국사', '모험', '만화', '초등', '대동여지도']"
42,2023,그리스 로마 신화 32: 운명을 바꾼 야누스의 문,28,"['신화', '아이', '아스', '라티누스', '로마']"
43,2023,나는 3학년 2반 7번 애벌레,29,"['벌레', '학년', '캐릭터', '관찰', '상자']"
44,2023,흔한남매 수수께끼 어드벤처 2,30,"['남매', '수수께끼', '크리에이터', '호러', '유튜브']"
45,2023,슈뻘맨의 숨은 과학 찾기 1,46,"['과학', '페이지', '대결', '도전', '영상']"
46,2023,랑랑 형제 떡집,47,"['떡집', '복이', '소원', '이야기', '시리즈']"
