,Year,Title,Rank,Keywords
0,2023,진짜 쓰는 실무 엑셀,2,"['엑셀', '실무', '기능', '자료', '개선']"
1,2023,회사는 엑셀을 가르쳐주지 않아요,3,"['엑셀', '필요', '종이', '실무', '인턴십']"
2,2023,혼자 공부하는 파이썬,4,"['입문자', '혼자', '학습', '파이썬', '내용']"
3,2023,Do it! 점프 투 파이썬,5,"['파이썬', '프로그래밍', '직장인', '중고등학생', '개정판']"
4,2023,혼자 공부하는 머신러닝+딥러닝,6,"['입문자', '학습', '머신', '러닝', '개념']"
5,2023,비전공자를 위한 이해할 수 있는 IT 지식,7,"['이야기', '이해', '시대', '지식', '계속']"
6,2023,맛있는 디자인 포토샵&일러스트레이터 CC 2023,8,"['학습', '기능', '레이', '실습', '러스트']"
7,2023,회사에서 바로 통하는 실무 엑셀 파워포인트 워드한글,9,"['실무', '엑셀', '문서', '포인트', '워드']"
8,2023,직장인을 위한 실무 엑셀,10,"['엑셀', '분석', '버전', '사용', '해결']"
9,2023,혼자 공부하는 컴퓨터 구조+운영체제,11,"['컴퓨터', '체제', '운영', '입문자', '구조']"
10,2023,2023 유선배 SQL개발자(SQLD) 과외노트,12,"['문제', '이론', '해설', '시험', '강의']"
11,2023,Clean Code(클린 코드),13,"['코드', '소프트웨어', '클린', '장인', '가치']"
12,2023,면접을 위한 CS 전공지식 노트,14,"['면접', '지식', '패턴', '개발자', '디자인']"
13,2023,퇴근 후 스마트스토어로 투잡하기,15,"['시간', '사람', '스마트', '저자', '상품']"
14,2023,명품 JAVA Programming,16,"['자바', '모듈', '문제', '개념', '부분']"
15,2023,실무에 바로 쓰는 일잘러의 보고서 작성법,17,"['문서', '보고서', '방법', '파악', '커뮤니케이션']"
16,2023,된다! 실무 엑셀 파워포인트 워드&한글,18,"['강의', '실무', '동영상', '오피스', '엑셀']"
17,2023,네이버쇼핑 스마트스토어로 상위노출 하라,19,"['노출', '상위', '네이버', '쇼핑', '스토어']"
18,2023,왕초보 판매자도 파워셀러가 되는 네이버 스마트스토어 시작하기,20,"['스토어', '스마트', '운영', '판매자', '온라인']"
19,2023,두근두근 파이썬,21,"['사용', '예제', '분야', '언어', '라이브러리']"
20,2023,진짜 하루만에 끝내는 이모티콘,22,"['이모티콘', '작가', '방법', '승인', '제작']"
21,2023,C언어로 쉽게 풀어 쓴 자료구조,23,"['구조', '자료', '포인터', '입문자', '예제']"
22,2023,개발자를 위한 SQL 튜닝 입문서 친절한 SQL 튜닝,24,"['성능', '개발자', '친절', '오라클', '설명']"
23,2023,명품 C++ Programming,25,"['소프트웨어', '언어', '필요', '프로그램', '응용']"
24,2023,윤성우의 열혈 C 프로그래밍,26,"['내용', '언어', '기본', '중간', '구성']"
25,2023,진짜 챗GPT 활용법,27,"['방법', '활용', '업무', '작성', '활용법']"
26,2023,코딩 자율학습 나도코딩의 파이썬 입문,28,"['파이썬', '나도', '프로그래밍', '자율학습', '설명']"
27,2023,2023 이기적 SQL 개발자 이론서+기출문제,29,"['문제', '도서', '운영', '학습', '핵심']"
28,2023,챗GPT와 업무자동화,30,"['업무', '엑셀', '코드', '자동화', '구글']"
29,2023,난생처음 파이썬 프로그래밍,31,"['파이썬', '문법', '프로그래밍', '실생활', '예제']"
30,2023,코딩 자율학습 나도코딩의 C 언어 입문,32,"['언어', '강의', '포인터', '예제', '좌절']"
31,2023,혼자 공부하는 SQL,33,"['입문자', '학습', '혼자', '개발자', '반영']"
32,2023,이것이 취업을 위한 코딩 테스트다 with 파이썬,34,"['문제', '알고리즘', '테스트', '설명', '라인']"
33,2023,직장인을 위한 실무 파워포인트,35,"['포인트', '파워', '콘텐츠', '디자인', '버전']"
34,2023,나는 해외구매대행으로 한 달에 월급을 두 번 받는다,36,"['방법', '대행', '구매', '해외', '상품']"
35,2023,밑바닥부터 시작하는 딥러닝,37,"['설명', '코드', '실험', '소스', '생각']"
