,Year,Title,Rank,Keywords
0,2023,총 균 쇠,1,"['세계', '에디션', '문명', '기념', '서문']"
1,2023,사피엔스,2,"['사피엔스', '인류', '출간', '인간', '서문']"
2,2023,거꾸로 읽는 세계사,3,"['유시민', '역사', '출간', '독자', '이후']"
3,2023,요즘 어른을 위한 최소한의 세계사,4,"['세계사', '정리', '강대국', '역사', '영화']"
4,2023,총 균 쇠,1,"['인류', '일본인', '문명', '세계', '인간']"
5,2023,지리의 힘,6,"['지리', '한국', '세계', '분쟁', '미국']"
6,2023,역사의 쓸모,7,"['역사', '해결', '문제', '인물', '자신']"
7,2023,효기심의 권력으로 읽는 세계사: 유럽 편,8,"['역사', '권력자', '정치', '사람', '국민']"
8,2023,황현필의 한국사 평생 일력,9,"['한국사', '일력', '황현', '역사', '오늘']"
9,2023,헤리티지: 대한민국의 유산,10,"['세대', '경험', '기적을', '사람', '나라']"
10,2023,전태일평전,11,"['전태일', '개정판', '사회', '오늘', '인간']"
11,2023,벌거벗은 세계사: 경제편,12,"['역사', '경제', '욕망', '세계사', '세계']"
12,2023,그들은 왜 최후의 승자가 되지 못했나,13,"['역사', '게임', '이론', '선택', '인물']"
13,2023,죽음의 역사,14,"['죽음', '전염병', '사망', '과거', '이유']"
14,2023,2023 황현필의 한국사 일력,15,"['한국사', '역사', '저자', '오늘', '하루하루']"
15,2023,나의 문화유산답사기 11: 서울편(3),16,"['서울', '완간', '오늘', '사랑', '이야기']"
16,2023,벌거벗은 세계사: 전쟁편,17,"['전쟁', '세계사', '역사', '그동안', '순간']"
17,2023,역사는 반복된다,18,"['역사', '한국사', '강의', '저자', '제주']"
18,2023,총 균 쇠,1,"['인류', '문명', '민족', '세계', '대륙']"
19,2023,식탁 위의 세계사,20,"['세계사', '이야기', '소금', '요리', '음식']"
20,2023,벌거벗은 한국사: 사건편,21,"['한국사', '역사', '사건', '이야기', '화제']"
21,2023,서양미술사,22,"['미술', '서양', '미술사', '시대', '브리']"
22,2023,벌거벗은 한국사: 인물편,23,"['한국사', '역사', '인물', '이야기', '교양']"
23,2023,곰브리치 세계사(예일대 특별판),24,"['역사', '세계사', '브리', '사건', '예일대']"
24,2023,5천 년 역사가 단숨에 이해되는 최소한의 한국사,25,"['한국사', '역사', '이해', '핵심', '최소한']"
25,2023,나의 문화유산답사기 12: 서울편(4),26,"['서울', '완간', '오늘', '사랑', '이야기']"
26,2023,벌거벗은 세계사: 잔혹사편,27,"['역사', '세계사', '비극', '세상', '사건']"
