,Year,Title,Rank,Keywords
0,2023,축구를 하며 생각한 것들,1,"['손흥민', '축구', '생각', '이야기', '에피소드']"
1,2023,내 타로는 내가 본다,2,"['타로', '카드', '운명', '해석', '자신']"
2,2023,보디빌더 경험에 해부학을 접목한 김명섭의 헬스 교실,3,"['운동', '부상', '방법', '소개', '제공']"
3,2023,벤 호건 골프의 기본,4,"['골프', '호건', '기본', '골퍼', '연습']"
4,2023,당신은 사건 현장에 있습니다,5,"['사건', '현장', '진실', '추리', '유럽']"
5,2023,김대리의 데일리 뜨개,6,"['대리', '뜨개', '도안', '가지', '수록']"
6,2023,손뜨개꽃길의 사계절 코바늘 플라워,7,"['뜨개', '작품', '바늘', '수록', '설명']"
7,2023,미꽃체 손글씨 노트(누드 사철 제본),8,"['글씨', '악필', '인쇄', '교정', '작가']"
8,2023,옷뜨는 김뜨개의 쉬운 니트 레시피,9,"['뜨개', '니트', '무늬', '레시', '가지']"
9,2023,스프링북 스도쿠 1(초급 중급),10,"['스도쿠', '스프링', '때문', '문제', '초급']"
10,2023,2023 프로야구 가이드북,11,"['야구', '프로', '선수', '가이드북', '야구장']"
11,2023,"오늘부터, 처음 텃밭 가꾸기",12,"['텃밭', '작물', '채소', '수확', '농약']"
12,2023,프로야구 스카우팅 리포트 2023,13,"['야구', '리포트', '출간', '프로', '야구팬']"
13,2023,오타니 쇼헤이,14,"['선수', '야구', '오타', '메이저', '리그']"
14,2023,소워니놀이터의 말랑띠부 모음집,15,"['놀이', '도안', '종이', '말랑', '모음집']"
15,2023,어른을 위한 고급 어휘력 가로세로 낱말퍼즐,16,"['어휘', '사자성', '부록', '품격', '표현']"
16,2023,김대리의 쉽게 뜨는 요즘 니트,17,"['니트', '뜨개', '대리', '다운', '도안']"
17,2023,파크골프 표준교재,18,"['구성', '파크', '골프', '확인', '전반']"
18,2023,내 강아지 마음 상담소,19,"['반려', '강아지', '행동', '마음', '질문']"
19,2023,손글씨 레시피,20,"['글씨', '교정', '레시', '이후', '이주호']"
