,Year,Title,Rank,Keywords
0,2023,건강과 다이어트를 동시에 잡는 7대 3의 법칙 채소·과일식,1,"['과일', '채소', '다이어트', '단식', '동화']"
1,2023,삐뽀삐뽀 119 이유식(2023 최신개정판),2,"['이유식', '과학', '의학', '초보', '지식']"
2,2023,이은경쌤의 초등어휘일력 365,3,"['어휘', '아이', '초등', '아이들', '일력']"
3,2023,한 끼 뚝딱! 맘 편한 토핑 이유식,4,"['이유식', '엄마', '아이', '영양', '레시']"
4,2023,똑게육아,5,"['육아', '저자', '수면', '교육', '이미지']"
5,2023,삐뽀삐뽀 119 소아과,6,"['아이', '소아과', '건강', '육아', '필독서']"
6,2023,김대석 셰프의 집밥 레시피,7,"['요리', '레시', '한식', '음식', '메뉴']"
7,2023,세상에서 가장 쉬운 본질육아,8,"['육아', '아이', '부모', '본질', '교수']"
8,2023,김수연의 아기 발달 백과,9,"['발달', '아기', '평가', '부모', '성장']"
9,2023,스카이 버스,10,"['공부', '초등', '학부모', '대학', '자녀']"
10,2023,어떻게 말해줘야 할까,11,"['아이', '육아', '오은영', '박사', '부모']"
11,2023,베싸육아,12,"['육아', '부모', '아이', '지식', '베싸']"
12,2023,임신 출산 육아 대백과(2022~2023),13,"['육아', '부분', '임신', '사진', '기초']"
13,2023,66일 인문학 대화법,14,"['부모', '아이', '인문학', '대화', '습관']"
14,2023,조선미의 현실 육아 상담소,15,"['훈육', '부모', '아이', '행동', '효과']"
15,2023,세상 쉽고 맛있는 튼이 이유식,16,"['이유식', '밥솥', '엄마', '칸막이', '레시']"
16,2023,사춘기 아들의 마음을 잡아주는 부모의 말 공부,17,"['아들', '사춘기', '부모', '대화', '진심']"
17,2023,자발적 방관육아,18,"['육아', '아이', '부모', '공부', '교사']"
18,2023,0~5세 말걸기 육아의 힘,19,"['언어', '발달', '육아', '출간', '평가']"
19,2023,최성애 존 가트맨 박사의 내 아이를 위한 감정코칭,20,"['코칭', '감정', '박사', '최성', '출간']"
20,2023,엄마 나는 자라고 있어요,21,"['아이', '부모', '시기', '개정판', '도약']"
21,2023,백종원이 추천하는 집밥 메뉴(애장판),22,"['백종원', '메뉴', '추천', '만능', '레시']"
22,2023,최민준의 아들코칭 백과,23,"['아들', '아이', '행동', '교육', '필독서']"
23,2023,기적의 집밥책,24,"['식비', '밥상', '일주일', '가족', '장보기']"
24,2023,아이주도 이유식 유아식 매뉴얼 세트,25,"['아이', '이유식', '주도', '레시', '기존']"
25,2023,시니맘의 오늘도 완밥 유아식,26,"['레시', '유아', '시니', '시간', '요리']"
26,2023,이은경쌤의 사자성어 속담 일력 365,27,"['사자성', '일력', '속담', '초등', '한자']"
27,2023,오은영 박사가 전하는 금쪽이들의 진짜 마음속,28,"['아이', '마음', '부모', '오은영', '박사']"
28,2023,자녀교육 절대공식,29,"['교육', '걱정', '부모', '아이', '자녀']"
29,2023,세상에서 제일 재밌는 종이접기,30,"['종이접기', '작품', '아저씨', '세상', '수록']"
30,2023,이꼬이에 놀러 오세요,31,"['요리', '메뉴', '가정', '단골', '레시']"
31,2023,엄마의 말 연습,32,"['엄마', '아이', '사랑', '자존', '작가']"
32,2023,66일 밥상머리 대화법,33,"['대화', '식탁', '밥상머리', '인생', '아이']"
33,2023,ADHD 우리 아이 어떻게 키워야 할까,34,"['아이', '부모', '발달', '자녀', '진단']"
34,2023,공부머리 독서법,35,"['독서', '교육', '아이들', '공부', '아이']"
35,2023,아들의 뇌,36,"['아들', '이해', '엄마', '부모', '교수']"
36,2023,오늘은 좀 매울지도 몰라,37,"['요리', '음식', '마음', '아내', '자신']"
37,2023,사춘기 딸에게 힘이 되어주는 부모의 말 공부,38,"['대화', '사춘기', '관계', '아이', '예전']"
38,2023,화성에서 온 남자 금성에서 온 여자,39,"['남녀', '남자', '여자', '서로', '때문']"
39,2023,기분대로 아이를 키우지 않겠습니다,40,"['아이', '부모', '양육', '사랑', '발달']"
40,2023,바리스타 2급 자격시험 예상문제집(2020),41,"['커피', '바리스타', '평가', '자격증', '특성']"
41,2023,세상 쉽고 맛있는 튼이 이유식,16,"['이유식', '엄마', '밥솥', '아이', '칸막이']"
42,2023,엄마의 말하기 연습(20만부 기념 스페셜 에디션),43,"['아이', '대화', '마음', '부모', '아이와']"
43,2023,부모의 말,44,"['아이', '부모', '필요', '교육', '순간']"
44,2023,내 아이를 위한 주의력 수업,45,"['주의력', '아이', '부모', '문제', '발달']"
45,2023,이꼬이에 놀러 오세요,31,"['요리', '메뉴', '가정', '단골', '레시']"
46,2023,엄마의 말 연습,32,"['엄마', '아이', '사랑', '자존', '작가']"
47,2023,66일 밥상머리 대화법,33,"['대화', '식탁', '밥상머리', '인생', '아이']"
48,2023,ADHD 우리 아이 어떻게 키워야 할까,34,"['아이', '부모', '발달', '자녀', '진단']"
49,2023,공부머리 독서법,35,"['독서', '교육', '아이들', '공부', '아이']"
50,2023,아들의 뇌,36,"['아들', '이해', '엄마', '부모', '교수']"
51,2023,오늘은 좀 매울지도 몰라,37,"['요리', '음식', '마음', '아내', '자신']"
52,2023,사춘기 딸에게 힘이 되어주는 부모의 말 공부,38,"['대화', '사춘기', '관계', '아이', '예전']"
53,2023,화성에서 온 남자 금성에서 온 여자,39,"['남녀', '남자', '여자', '서로', '때문']"
54,2023,기분대로 아이를 키우지 않겠습니다,40,"['아이', '부모', '양육', '사랑', '발달']"
55,2023,바리스타 2급 자격시험 예상문제집(2020),41,"['커피', '바리스타', '평가', '자격증', '특성']"
56,2023,세상 쉽고 맛있는 튼이 이유식,16,"['이유식', '엄마', '밥솥', '아이', '칸막이']"
57,2023,엄마의 말하기 연습(20만부 기념 스페셜 에디션),43,"['아이', '대화', '마음', '부모', '아이와']"
58,2023,부모의 말,44,"['아이', '부모', '필요', '교육', '순간']"
59,2023,내 아이를 위한 주의력 수업,45,"['주의력', '아이', '부모', '문제', '발달']"
60,2023,못 참는 아이 욱하는 부모(50만 부 발매 기념 리커버 에디션),61,"['감정', '아이', '부모', '조절', '자녀']"
61,2023,매3력: 어휘력+독서력+국어력,62,"['어휘력', '국어', '시험', '독서력', '실생활']"
62,2023,에브리데이 베이글,63,"['베이글', '빵집', '성형', '오후', '제품']"
63,2023,4~7세보다 중요한 시기는 없습니다,64,"['아이', '시기', '부모', '공부', '발달']"
64,2023,아이에게 주는 감정 유산,65,"['아이', '부모', '성장', '가족', '아이와']"
65,2023,슬로우 미러클 영어 그림책 느리게 100권 읽기의 힘,66,"['영어', '읽기', '그림책', '아이', '저자']"
66,2023,올리버쌤의 미국식 아이 영어 습관 365,67,"['영어', '아이', '사랑', '구독자', '미국']"
67,2023,이은경쌤의 초등영어회화 일력 365,68,"['영어', '아이', '초등', '회화', '일력']"
68,2023,365일 반찬 걱정 없는 책,69,"['재료', '반찬', '고민', '냉장고', '완성']"
69,2023,와인 바이블(2022 Edition),70,"['와인', '정보', '최고', '에디션', '수록']"
70,2023,EBS 문해력 유치원,71,"['문해', '가지', '학습', '생각', '활동']"
71,2023,10대 놀라운 뇌 불안한 뇌 아픈 뇌,72,"['10대', '발달', '부모', '변화', '아이']"
72,2023,민주쌤의 매일 놀이 일력 365,73,"['놀이', '일력', '아이', '육아', '발달']"
73,2023,유아식 레시피북,74,"['요리', '아이', '부모', '레시', '조리법']"
74,2023,42가지 마음의 색깔,75,"['감정', '미움', '자신', '표현', '가지']"
75,2023,못 참는 아이 욱하는 부모(50만 부 발매 기념 리커버 에디션),61,"['감정', '아이', '부모', '조절', '자녀']"
76,2023,매3력: 어휘력+독서력+국어력,62,"['어휘력', '국어', '시험', '독서력', '실생활']"
77,2023,에브리데이 베이글,63,"['베이글', '빵집', '성형', '오후', '제품']"
78,2023,4~7세보다 중요한 시기는 없습니다,64,"['아이', '시기', '부모', '공부', '발달']"
79,2023,아이에게 주는 감정 유산,65,"['아이', '부모', '성장', '가족', '아이와']"
80,2023,슬로우 미러클 영어 그림책 느리게 100권 읽기의 힘,66,"['영어', '읽기', '그림책', '아이', '저자']"
81,2023,올리버쌤의 미국식 아이 영어 습관 365,67,"['영어', '아이', '사랑', '구독자', '미국']"
82,2023,이은경쌤의 초등영어회화 일력 365,68,"['영어', '아이', '초등', '회화', '일력']"
83,2023,365일 반찬 걱정 없는 책,69,"['재료', '반찬', '고민', '냉장고', '완성']"
84,2023,와인 바이블(2022 Edition),70,"['와인', '정보', '최고', '에디션', '수록']"
85,2023,EBS 문해력 유치원,71,"['문해', '가지', '학습', '생각', '활동']"
86,2023,10대 놀라운 뇌 불안한 뇌 아픈 뇌,72,"['10대', '발달', '부모', '변화', '아이']"
87,2023,민주쌤의 매일 놀이 일력 365,73,"['놀이', '일력', '아이', '육아', '발달']"
88,2023,유아식 레시피북,74,"['요리', '아이', '부모', '레시', '조리법']"
89,2023,42가지 마음의 색깔,75,"['감정', '미움', '자신', '표현', '가지']"
90,2023,이정현의 집밥레스토랑,91,"['요리', '만능', '기쁨', '달걀', '간장']"
91,2023,매일 만들어 먹고 싶은 식사샐러드,92,"['샐러드', '건강', '식사', '생각', '다이어트']"
92,2023,버번 위스키의 모든 것,93,"['버번', '컴퍼니', '도서관', '메이', '부회장']"
93,2023,단밍이네 어린 정원,94,"['정원', '식물', '아치', '오른편', '왼편']"
94,2023,베이비 위스퍼 골드,95,"['육아', '아기', '베이비', '부모', '신생아']"
95,2023,슈가레인 카페 디저트 클래스,96,"['디저트', '레시', '베이킹', '슈가', '스튜디오']"
96,2023,매일 만들어 먹고 싶은 식빵 샌드위치 & 토핑 핫도그,97,"['샌드위치', '카페', '핫도그', '메뉴', '아리']"
97,2023,진짜 기본 요리책,98,"['요리', '기본', '진짜', '초보', '레시']"
98,2023,깨어있는 부모,99,"['부모', '아이', '베스트셀러', '저자', '뉴욕']"
99,2023,엄마의 말 공부 일력 365,100,"['엄마', '아이', '육아', '일력', '공부']"
100,2023,와인은 어렵지 않아(증보 개정판),101,"['와인', '내용', '정보', '파트', '추가']"
101,2023,66일 자존감 대화법,102,"['자존', '대화', '아이', '부모', '가치']"
102,2023,EBS 당신의 문해력,103,"['문해', '프로그램', '당신', '부모', '실질']"
103,2023,더 홈: 멋진 집은 모두 주인을 닮았다,104,"['공간', '행복', '예술', '소장', '스타일']"
104,2023,반짝이는 임신기를 위한 슬기로운 남편생활,105,"['아내', '공감', '바퀴', '엄마', '남편']"
105,2023,"초등 5, 6학년 공부의 정석",106,"['아이', '학부모', '초등', '시기', '정보']"
106,2023,영혼이 강한 아이로 키워라,107,"['아이', '자녀', '부모', '성장', '고통']"
107,2023,내 아이의 말 습관,108,"['아이', '전문가', '마음', '부모', '언어']"
108,2023,수학 잘하는 아이를 만드는 초등수학 심화 공부법,109,"['수학', '공부', '심화', '아이들', '아이']"
109,2023,올 뉴(All New) 커피 인사이드,110,"['커피', '영역', '현장', '이드', '인사']"
110,2023,부모 역할 훈련,111,"['부모', '아이', '방법', '세계', '효과']"
111,2023,김밀란 파스타,112,"['파스타', '밀라', '정통', '레시', '이탈리아']"
112,2023,하루 5분 아빠 목소리,113,"['아빠', '아이', '목소리', '이야기', '정서']"
113,2023,신의진의 아이심리백과(30만 부 기념 최신 증보판),114,"['아이', '부모', '발달', '핵심', '증보판']"
114,2023,엄마 심리 수업,115,"['엄마', '아이', '성향', '자녀', '심리']"
115,2023,베이킹 하다 앳 홈,116,"['베이킹', '레시', '영상', '성공', '보장']"
116,2023,어린이를 위한 초등 매일 글쓰기의 힘: 책읽고쓰기 저학년용,117,"['독서', '기록', '아이', '준비', '감상문']"
117,2023,하루 한 장 365 인문학 달력(리커버),118,"['아이', '부모', '문장', '인문학', '달력']"
118,2023,세계 요리가 집밥으로 빛나는 순간,119,"['요리', '레시', '선생님', '아나운서', '윤지영']"
119,2023,교과서는 사교육보다 강하다,120,"['공부', '교과서', '아이', '선생님', '입시']"
120,2023,"초등 5, 6학년 공부의 정석",106,"['아이', '학부모', '초등', '시기', '정보']"
121,2023,영혼이 강한 아이로 키워라,107,"['아이', '자녀', '부모', '성장', '고통']"
122,2023,내 아이의 말 습관,108,"['아이', '전문가', '마음', '부모', '언어']"
123,2023,수학 잘하는 아이를 만드는 초등수학 심화 공부법,109,"['수학', '공부', '심화', '아이들', '아이']"
124,2023,올 뉴(All New) 커피 인사이드,110,"['커피', '영역', '현장', '이드', '인사']"
125,2023,부모 역할 훈련,111,"['부모', '아이', '방법', '세계', '효과']"
126,2023,김밀란 파스타,112,"['파스타', '밀라', '정통', '레시', '이탈리아']"
127,2023,하루 5분 아빠 목소리,113,"['아빠', '아이', '목소리', '이야기', '정서']"
128,2023,신의진의 아이심리백과(30만 부 기념 최신 증보판),114,"['아이', '부모', '발달', '핵심', '증보판']"
129,2023,엄마 심리 수업,115,"['엄마', '아이', '성향', '자녀', '심리']"
130,2023,베이킹 하다 앳 홈,116,"['베이킹', '레시', '영상', '성공', '보장']"
131,2023,어린이를 위한 초등 매일 글쓰기의 힘: 책읽고쓰기 저학년용,117,"['독서', '기록', '아이', '준비', '감상문']"
132,2023,하루 한 장 365 인문학 달력(리커버),118,"['아이', '부모', '문장', '인문학', '달력']"
133,2023,세계 요리가 집밥으로 빛나는 순간,119,"['요리', '레시', '선생님', '아나운서', '윤지영']"
134,2023,교과서는 사교육보다 강하다,120,"['공부', '교과서', '아이', '선생님', '입시']"
135,2023,어떻게 말해줘야 할까,11,"['아이', '육아', '오은영', '박사', '부모']"
136,2022,삐뽀삐뽀 119 이유식,2,"['이유식', '과학', '의학', '초보', '지식']"
137,2023,아들의 뇌,36,"['아들', '이해', '엄마', '부모', '교수']"
138,2023,세상 쉽고 맛있는 튼이 이유식,16,"['이유식', '밥솥', '엄마', '칸막이', '레시']"
139,2022,세상에서 가장 쉬운 본질육아(러브드 에디션),5,"['육아', '아이', '부모', '본질', '교수']"
140,2023,4~7세보다 중요한 시기는 없습니다,64,"['아이', '시기', '부모', '공부', '발달']"
141,2023,오은영 박사가 전하는 금쪽이들의 진짜 마음속,28,"['아이', '마음', '부모', '오은영', '박사']"
142,2022,임신 출산 육아 대백과(2021~2022),8,"['육아', '임신', '초보', '부분', '출산']"
143,2023,이은경쌤의 초등어휘일력 365,3,"['어휘', '아이', '초등', '아이들', '일력']"
144,2023,똑게육아,5,"['육아', '저자', '수면', '교육', '이미지']"
145,2022,놓아주는 엄마 주도하는 아이,11,"['아이', '필요', '부모', '세상', '역할']"
146,2023,아이주도 이유식 유아식 매뉴얼 세트,25,"['아이', '이유식', '주도', '레시', '기존']"
