,Year,Title,Rank,Keywords
0,2023,알사탕,1,"['사탕', '소파', '마음', '아빠', '소리']"
1,2023,네 기분은 어떤 색깔이니?,2,"['색깔', '기분', '감정', '최숙희', '내일']"
2,2023,태양 왕 수바: 수박의 전설,3,"['수바', '전설', '태양', '할머니', '수박']"
3,2023,장수탕 선녀님,4,"['선녀', '목욕탕', '상상', '장수', '추억']"
4,2023,겨울 이불,5,"['공간', '아이', '겨울', '이불', '작가']"
5,2023,사과가 쿵!,6,"['사과', '유아', '기린', '다람쥐', '코끼리']"
6,2023,이상한 엄마,7,"['엄마', '전화', '아이', '격려', '위로']"
7,2023,구름빵,8,"['구름', '그림', '아이들', '엄마', '그림책']"
8,2023,수박 수영장(어나더커버 특별판),9,"['수박', '마을', '사람', '수영장', '그림책']"
9,2023,슈퍼 히어로의 똥 닦는 법,10,"['도사', '슈퍼', '생각', '히어로', '괴물']"
10,2023,우리는 언제나 다시 만나,11,"['아이', '엄마', '부모', '사랑', '불안']"
11,2023,달 샤베트,12,"['반장', '할머니', '더위', '그림', '아파트']"
12,2023,사랑해 사랑해 사랑해(출간 15주년 기념판),13,"['사랑해', '출간', '보드', '아이들', '사랑']"
13,2023,매일매일 행복해,14,"['행복', '친절', '그림책', '그림', '사람']"
14,2023,어디 있을까? 숨은그림찾기 1000,15,"['시리즈', '퍼즐', '두뇌', '하루', '종일']"
15,2023,알사탕,1,"['사탕', '소파', '마음', '아빠', '소리']"
16,2023,네 기분은 어떤 색깔이니?,2,"['색깔', '기분', '감정', '최숙희', '내일']"
17,2023,태양 왕 수바: 수박의 전설,3,"['수바', '전설', '태양', '할머니', '수박']"
18,2023,장수탕 선녀님,4,"['선녀', '목욕탕', '상상', '장수', '추억']"
19,2023,겨울 이불,5,"['공간', '아이', '겨울', '이불', '작가']"
20,2023,사과가 쿵!,6,"['사과', '유아', '기린', '다람쥐', '코끼리']"
21,2023,이상한 엄마,7,"['엄마', '전화', '아이', '격려', '위로']"
22,2023,구름빵,8,"['구름', '그림', '아이들', '엄마', '그림책']"
23,2023,수박 수영장(어나더커버 특별판),9,"['수박', '마을', '사람', '수영장', '그림책']"
24,2023,슈퍼 히어로의 똥 닦는 법,10,"['도사', '슈퍼', '생각', '히어로', '괴물']"
25,2023,우리는 언제나 다시 만나,11,"['아이', '엄마', '부모', '사랑', '불안']"
26,2023,달 샤베트,12,"['반장', '할머니', '더위', '그림', '아파트']"
27,2023,사랑해 사랑해 사랑해(출간 15주년 기념판),13,"['사랑해', '출간', '보드', '아이들', '사랑']"
28,2023,매일매일 행복해,14,"['행복', '친절', '그림책', '그림', '사람']"
29,2023,어디 있을까? 숨은그림찾기 1000,15,"['시리즈', '퍼즐', '두뇌', '하루', '종일']"
30,2023,틀려도 괜찮아,31,"['어린이', '학교', '아이들', '교실', '자신감']"
31,2023,건전지 엄마,32,"['건전지', '엄마', '작품', '애니메이션', '그림책']"
32,2023,팥빙수의 전설,33,"['할머니', '호랑이', '팥빙수', '그림책', '딸기']"
33,2023,100 인생 그림책,34,"['인생', '모습', '순간', '매일', '감각']"
34,2023,20일 만에 완성하는 1학년 시계 달력,35,"['시계', '초등학교', '선생님', '달력', '학년']"
35,2023,건전지 아빠,36,"['애니메이션', '아빠', '영화제', '그림책', '건전지']"
36,2023,"나와 스크러피, 그리고 바다",37,"['대니', '바다', '사람', '산책', '기적']"
37,2023,연이와 버들 도령,38,"['버들', '도령', '옛이야기', '작가', '자아']"
