,Year,Title,Rank,Keywords
0,2023,물고기는 존재하지 않는다,1,"['혼돈', '사랑', '룰루', '밀러', '충격']"
1,2023,하늘과 바람과 별과 인간,2,"['세상', '물리학자', '우주', '김상욱', '존재']"
2,2023,이기적 유전자,3,"['유전자', '실험', '이기적', '저자', '주장']"
3,2023,코스모스,4,"['과학', '생명', '코스모스', '과정', '저자']"
4,2023,인스타 브레인,5,"['스마트폰', '시간', '결과', '세계', '욕구']"
5,2023,정리하는 뇌,6,"['정리', '정보', '시대', '부하', '인지']"
6,2023,나를 나답게 만드는 것들,7,"['행동', '자신', '과학', '문제', '교수']"
7,2023,다정한 것이 살아남는다,8,"['한국', '독자', '인사', '작가', '메시지']"
8,2023,클루지,9,"['생각', '마음', '함정', '세계', '진화']"
9,2023,천문학자는 별을 보지 않는다,10,"['우주', '천문학자', '사람', '천문학', '동경']"
10,2023,아주 위험한 과학책,11,"['과학', '질문', '위험', '랜들', '먼로']"
11,2023,박문호 박사의 빅히스토리 공부,12,"['인간', '패턴', '우주', '지구', '과학']"
12,2023,침묵의 봄,13,"['환경', '살충제', '문제', '개정판', '생물']"
13,2023,2023 산업안전기사 실기(필답형+작업형)+무료동영상,14,"['문제', '공부', '안전', '내용', '점수']"
14,2023,노화의 종말,15,"['노화', '장수', '최신', '세계', '질병']"
15,2023,종의 기원,16,"['다윈', '진화', '생물학', '종의', '자연']"
16,2023,결국 해내는 사람들의 원칙,17,"['생각', '성공', '실패', '대로', '과학']"
17,2023,사이코패스 뇌과학자,18,"['사이코패스', '사진', '과학자', '가족', '세계']"
18,2023,우리는 각자의 세계가 된다,19,"['뇌과학', '세계', '데이비드', '이야기', '이글']"
19,2023,비전공자도 이해할 수 있는 AI 지식(챗GPT 수록 개정판),20,"['이해', '기술', '사람', '대체', '원리']"
20,2023,침팬지 폴리틱스,21,"['정치', '인간', '기원', '침팬지', '베스트셀러']"
21,2023,정재승의 과학 콘서트,22,"['과학', '정재승', '출간', '콘서트', '교양']"
22,2023,떨림과 울림,23,"['세계', '존재', '생각', '언어', '안내']"
23,2023,우울할 땐 뇌 과학,24,"['우울증', '과학', '연구', '마음', '발병']"
24,2023,신경 청소 혁명,25,"['신경', '청소', '건강', '노화', '전달']"
25,2023,시간은 흐르지 않는다,26,"['시간', '세상', '과거', '미래', '양자중력']"
26,2023,의사와 치료사를 위한 체외충격파의 새로운 길,27,"['충격파', '구성', '기초', '도서', '전반']"
27,2023,호흡의 기술,28,"['호흡', '호모', '호흡기', '천식', '질환']"
28,2023,그림으로 보는 근골격 해부학,29,"['골격', '근육', '해부학', '해부', '인체']"
29,2023,위험한 과학책,30,"['과학', '랜들', '먼로', '질문', '위험']"
30,2023,종의 기원,16,"['다윈', '진화', '생물학', '종의', '자연']"
31,2023,결국 해내는 사람들의 원칙,17,"['생각', '성공', '실패', '대로', '과학']"
32,2023,사이코패스 뇌과학자,18,"['사이코패스', '사진', '과학자', '가족', '세계']"
33,2023,우리는 각자의 세계가 된다,19,"['뇌과학', '세계', '데이비드', '이야기', '이글']"
34,2023,비전공자도 이해할 수 있는 AI 지식(챗GPT 수록 개정판),20,"['이해', '기술', '사람', '대체', '원리']"
35,2023,침팬지 폴리틱스,21,"['정치', '인간', '기원', '침팬지', '베스트셀러']"
36,2023,정재승의 과학 콘서트,22,"['과학', '정재승', '출간', '콘서트', '교양']"
37,2023,떨림과 울림,23,"['세계', '존재', '생각', '언어', '안내']"
38,2023,우울할 땐 뇌 과학,24,"['우울증', '과학', '연구', '마음', '발병']"
39,2023,신경 청소 혁명,25,"['신경', '청소', '건강', '노화', '전달']"
40,2023,시간은 흐르지 않는다,26,"['시간', '세상', '과거', '미래', '양자중력']"
41,2023,의사와 치료사를 위한 체외충격파의 새로운 길,27,"['충격파', '구성', '기초', '도서', '전반']"
42,2023,호흡의 기술,28,"['호흡', '호모', '호흡기', '천식', '질환']"
43,2023,그림으로 보는 근골격 해부학,29,"['골격', '근육', '해부학', '해부', '인체']"
44,2023,위험한 과학책,30,"['과학', '랜들', '먼로', '질문', '위험']"
45,2023,미적분의 쓸모,46,"['수학', '미적분', '적분', '시리즈', '컴퓨터']"
46,2023,와일드후드,47,"['시기', '동물', '경험', '경이', '유발']"
47,2023,이토록 굉장한 세계,48,"['인간', '동물', '세계', '감각', '완전']"
48,2023,면역,49,"['면역계', '면역', '면역력', '생명', '그림']"
49,2023,생각한다는 착각,50,"['내면', '생각', '행동', '자신', '인간']"
50,2023,엔트로피,51,"['엔트로피', '에너지', '질서', '이름', '인류']"
51,2023,놓아버림,52,"['의식', '항복', '세계', '깨달음', '경험']"
52,2023,왜 아플까,53,"['인슐린', '저항성', '건강', '질환', '질병']"
53,2023,환경과 생태 쫌 아는 10대,54,"['환경', '소비', '10대', '과학', '문제']"
54,2023,자신의 존재에 대해 사과하지 말 것,55,"['과학', '장애', '이해', '기반', '생각']"
55,2023,이과형의 만만한 과학책,56,"['과학', '이과', '원리', '채널', '이야기']"
56,2023,수학이 필요한 순간,57,"['수학', '강의', '세계', '세상', '순간']"
57,2023,다윈의 사도들,58,"['다윈', '세계', '교수', '지능', '진화']"
58,2023,더 위험한 과학책,59,"['과학', '방법', '먼로', '랜들', '기상천외']"
59,2023,건강의 뇌과학,60,"['건강', '상태', '정리', '행복', '검증']"
60,2023,우리는 왜 잠을 자야 할까,61,"['수면', '수명', '이해', '증진', '학습']"
61,2023,박문호 박사의 뇌과학 공부,62,"['공부', '기능', '뇌과학', '구조', '문호']"
62,2023,초공간,63,"['카쿠', '과학', '미치오', '우주', '초공간']"
63,2023,어디서 살 것인가,64,"['공간', '생각', '도시', '저자', '브랜드']"
64,2023,수목생리학,65,"['생리', '수목의', '생리학', '목이', '설명']"
65,2023,일반물리학 1,66,"['문제', '학생', '능력', '부분', '출판']"
66,2023,나는 왜 생각이 많을까?,67,"['생각', '이유', '방법', '연구', '사람']"
67,2023,아인슈타인과 오펜하이머,68,"['핵무기', '천재', '원자', '폭탄', '오펜하이머']"
68,2023,최종 경고: 6도의 멸종,69,"['상승', '기후', '멸종', '현실', '도의']"
69,2023,과학이 필요한 시간,70,"['과학', '인공지능', '설명', '저자', '양자역학']"
70,2023,문상호 박사와 함께 하는 근골격계 초음파로의 여행,71,"['초음파', '골격', '내용', '기초', '교재']"
71,2023,원더풀 사이언스,72,"['과학', '작가', '퓰리처상', '나탈리', '세계']"
72,2023,그림으로 이해하는 닥터 배의 술술 보건의학통계,73,"['통계', '그림', '분석', '이해', '사용']"
73,2023,거의 모든 것의 역사(개역판),74,"['과학', '역사', '브라이슨', '개역', '우주']"
74,2023,모든 순간의 물리학,75,"['물리학', '이론', '우주', '변화', '이해']"
75,2023,우리는 왜 잠을 자야 할까,61,"['수면', '수명', '이해', '증진', '학습']"
76,2023,박문호 박사의 뇌과학 공부,62,"['공부', '기능', '뇌과학', '구조', '문호']"
77,2023,초공간,63,"['카쿠', '과학', '미치오', '우주', '초공간']"
78,2023,어디서 살 것인가,64,"['공간', '생각', '도시', '저자', '브랜드']"
79,2023,수목생리학,65,"['생리', '수목의', '생리학', '목이', '설명']"
80,2023,일반물리학 1,66,"['문제', '학생', '능력', '부분', '출판']"
81,2023,나는 왜 생각이 많을까?,67,"['생각', '이유', '방법', '연구', '사람']"
82,2023,아인슈타인과 오펜하이머,68,"['핵무기', '천재', '원자', '폭탄', '오펜하이머']"
83,2023,최종 경고: 6도의 멸종,69,"['상승', '기후', '멸종', '현실', '도의']"
84,2023,과학이 필요한 시간,70,"['과학', '인공지능', '설명', '저자', '양자역학']"
85,2023,문상호 박사와 함께 하는 근골격계 초음파로의 여행,71,"['초음파', '골격', '내용', '기초', '교재']"
86,2023,원더풀 사이언스,72,"['과학', '작가', '퓰리처상', '나탈리', '세계']"
87,2023,그림으로 이해하는 닥터 배의 술술 보건의학통계,73,"['통계', '그림', '분석', '이해', '사용']"
88,2023,거의 모든 것의 역사(개역판),74,"['과학', '역사', '브라이슨', '개역', '우주']"
89,2023,모든 순간의 물리학,75,"['물리학', '이론', '우주', '변화', '이해']"
90,2023,2023 산업위생관리기사 실기+무료동영상+핸드북,91,"['문제', '계산', '암기', '실기', '강의']"
91,2023,건설공사 표준품셈(2023),92,"['건축공학', '표준', '기술', '기초', '건설']"
92,2023,차이에 관한 생각,93,"['생물학', '행동', '연구', '저자', '남녀']"
93,2023,프셉마음: 정형외과편,94,"['정형외과', '간호사', '병동', '간호', '신규']"
94,2023,파인만의 여섯가지 물리 이야기,95,"['물리학', '강의', '최고', '물리', '소문']"
95,2023,내가 된다는 것,96,"['의식', '과학', '강연', '주제', '테드']"
96,2023,10대 놀라운 뇌 불안한 뇌 아픈 뇌,97,"['10대', '발달', '부모', '아이', '변화']"
97,2023,프셉마음 인공신장실편 패키지,98,"['신장', '인공', '실무', '간호사', '투석']"
