,Year,Title,Rank,Keywords
0,2023,불편한 편의점(벚꽃 에디션),1,"['편의점', '작품', '불편', '이야기', '알바']"
1,2023,메리골드 마음 세탁소(30만 부 기념 한정 플라워 에디션),2,"['마음', '세탁소', '골드', '메리', '독자']"
2,2023,아버지의 해방일지,3,"['소설', '정지아', '문학', '독자', '아버지']"
3,2023,불편한 편의점 2(단풍 에디션),4,"['편의점', '이야기', '불편', '독자', '소설']"
4,2023,세상의 마지막 기차역(리커버 에디션),5,"['사람', '마지막', '소설', '기차역', '세상']"
5,2023,바다가 들리는 편의점,6,"['편의점', '출간', '오늘', '작가', '이야기']"
6,2023,안젤리크,7,"['뮈소', '기욤', '소설', '작가', '프랑스']"
7,2023,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",8,"['히노', '소설', '고백', '도루', '작품']"
8,2023,스즈메의 문단속,9,"['신카이', '감독', '마코토', '소설', '원작']"
9,2023,참을 수 없는 존재의 가벼움,10,"['토마', '사랑', '역사', '사비', '체코']"
10,2023,하얼빈,11,"['안중근', '하얼빈', '김훈', '인간', '작가']"
11,2023,파친코 1,12,"['이야기', '한국', '작가', '파친코', '한국인']"
12,2023,파친코 2,13,"['이야기', '한국', '작가', '파친코', '한국인']"
13,2023,작별인사,14,"['인사', '작별', '작가', '원고', '인간']"
14,2023,작별하지 않는다,15,"['인간', '한강', '작별', '문학', '사랑']"
15,2023,고래,17,"['소설', '천명관', '세계', '오랜만', '이야기']"
16,2023,풍수전쟁,18,"['은하수', '메시지', '저주', '대통령', '대한민국']"
17,2023,모순,19,"['어머니', '진진', '인생', '모순', '이모']"
18,2023,세계를 건너 너에게 갈게,20,"['감동', '사람', '편지', '독자', '문장']"
19,2023,도시와 그 불확실한 벽,21,"['작품', '하루키', '도시', '완성', '발표']"
20,2023,데미안,22,"['세계', '헤세', '헤르만', '작품', '내면']"
21,2023,"어서 오세요, 휴남동 서점입니다",23,"['서점', '사람', '남동', '공간', '독자']"
22,2023,죽이고 싶은 아이,24,"['주연', '이야기', '작가', '독자', '아이']"
23,2023,아침 그리고 저녁,25,"['문학상', '노르웨이', '작품', '수상', '포세']"
24,2023,체리새우: 비밀글입니다,26,"['청소년', '관계', '문학동네', '수상작', '문학상']"
25,2023,이토록 평범한 미래,27,"['이야기', '시간', '소설집', '김연수', '미래']"
26,2023,달러구트 꿈 백화점,28,"['사람', '백화점', '달러', '입장', '소설']"
27,2023,황금종이 1,29,"['인간', '문제', '질문', '생존', '작가']"
28,2023,인간 실격,30,"['인간', '일본', '사회', '문학', '순수']"
29,2023,2023 제14회 젊은작가상 수상작품집,31,"['작가', '올해', '이야기', '소개', '수상자']"
30,2023,사랑의 이해,32,"['사랑', '수영', '은행', '배경', '사실']"
31,2023,블랙 쇼맨과 환상의 여자,33,"['블랙', '여자', '트랩', '핸드', '한국']"
32,2023,황금종이 2,34,"['인간', '문제', '질문', '생존', '작가']"
33,2023,"오늘 밤, 세계에서 이 눈물이 사라진다 해도",35,"['사랑', '한국', '일본', '오늘', '세계']"
34,2023,달러구트 꿈 백화점 2,36,"['페니', '달러', '백화점', '민원', '단골손님']"
35,2023,가재가 노래하는 곳,37,"['카야', '습지', '마을', '체이스', '이야기']"
36,2023,구의 증명,38,"['사랑', '감성', '죽음', '의미', '소설']"
37,2023,싯다르타,39,"['시작', '사람', '기쁨', '소설', '일종']"
38,2023,밝은 밤,40,"['작가', '이야기', '소설', '시간', '은영']"
39,2023,난장이가 쏘아올린 작은 공,41,"['상징', '난장', '시대', '판화', '사람']"
40,2023,홈 스위트 홈(제46회 이상문학상 작품집 2023년),42,"['기억', '어진', '미래', '생각', '선택']"
41,2023,1984,43,"['지배', '전체주의', '사회', '소설', '오웰']"
