,Year,Title,Rank,Keywords
0,2023,만일 내가 인생을 다시 산다면,1,"['인생', '사람', '이유', '이상', '후회']"
1,2023,생에 감사해,2,"['배우', '김혜자', '연기', '작품', '감사']"
2,2023,기분이 태도가 되지 말자,3,"['하루', '미래', '기분', '감정', '인생']"
3,2023,우리는 모두 죽는다는 것을 기억하라,4,"['자신', '저자', '기억', '영성', '방식']"
4,2023,당신은 결국 무엇이든 해내는 사람(10만 부 기념 특별 리커버 에디션),5,"['사람', '문장', '작가', '위로', '김상현']"
5,2023,내가 틀릴 수도 있습니다,6,"['스웨덴', '성공', '불안', '17년', '수행']"
6,2023,그대 늙어가는 것이 아니라 익어가는 것이다,7,"['인생', '문장', '행복', '시간', '사랑']"
7,2023,전지적 푸바오 시점,8,"['바오', '사랑', '판다', '사진', '패밀리']"
8,2023,생각이 너무 많은 어른들을 위한 심리학(10만 부 기념 스페셜 에디션),9,"['생각', '인생', '부정', '고민', '때문']"
9,2023,모든 것은 기본에서 시작한다,10,"['축구', '선수', '철학', '자신', '손흥민']"
10,2023,한 번뿐인 인생은 어떻게 살아야 하는가,11,"['인생', '독자', '울림', '마음', '여정']"
11,2023,빅터 프랭클의 죽음의 수용소에서,12,"['실존', '무의식', '분석', '박사', '프랭크']"
12,2023,미움받을 용기(200만 부 기념 스페셜 에디션),13,"['용기', '행복', '아들러', '미움', '문제']"
13,2023,이지성의 1만 킬로미터,14,"['북한', '중국', '북인', '동안', '구출']"
14,2023,김경일의 지혜로운 인간생활,15,"['관계', '인간관계', '김경일', '생각', '강연']"
15,2023,고맙소,16,"['인생', '순간', '사람', '회고록', '회고']"
16,2023,꽃을 보듯 너를 본다,17,"['풀꽃', '국민', '나태주', '시인', '사랑']"
17,2023,프레임,18,"['프레임', '개념', '과정', '세상', '오해']"
18,2023,아기 판다 푸바오,19,"['판다', '아기', '행복', '이름', '사랑']"
19,2023,공감의 배신,20,"['공감', '사람', '저자', '도움', '백인']"
20,2023,욕망의 진화,21,"['인간', '남녀', '욕망', '진화', '전략']"
21,2023,천문학자는 별을 보지 않는다,22,"['우주', '천문학자', '사람', '천문학', '일상']"
22,2023,행복의 기원,23,"['아픔', '그룹', '레노', '행복', '처방']"
23,2023,기분을 관리하면 인생이 관리된다,24,"['기분', '하루', '사람', '마음', '결정']"
24,2023,이적의 단어들,25,"['이야기', '벼락', '산문집', '언어', '생애']"
25,2023,"괜찮아, 그 길 끝에 행복이 기다릴 거야",26,"['산티아고', '손미나', '스페인', '순례', '작가']"
26,2023,계속 가보겠습니다,27,"['검찰', '검사', '조직', '저자', '임은정']"
27,2023,소크라테스 익스프레스,28,"['인생', '철학자', '순간', '유머', '여행']"
28,2023,불안,29,"['불안', '사랑', '커버', '표지', '현대인']"
29,2023,좋은 사람에게만 좋은 사람이면 돼,30,"['사람', '관계', '마음', '인간관계', '상위']"
30,2023,H마트에서 울다,31,"['엄마', '마트', '한국인', '베스트셀러', '뮤지']"
31,2023,니체의 삶,32,"['니체', '사람', '이야기', '이해', '철학자']"
32,2023,런던에서 온 평양 여자,33,"['북한', '김정은', '편지', '이야기', '사각지대']"
33,2023,인생의 역사,34,"['인생', '역사', '신형철', '시화', '평론가']"
34,2023,너무 잘하려고 애쓰지 마라,35,"['시인', '오늘', '시집', '마음', '내일']"
35,2023,마음의 법칙,36,"['심리학', '마음', '사람', '법칙', '문제']"
36,2023,심판,37,"['아나톨', '심판', '판사', '검사', '주인공']"
37,2023,당신이 옳다,38,"['공감', '치유', '존재', '마음', '사람']"
38,2023,당신이 플라시보다,39,"['플라시보', '변화', '생각', '창조', '마음']"
39,2023,원칙,40,"['원칙', '자신', '기업', '저자', '브리지워터']"
40,2023,상처 받지 않는 영혼,41,"['마음', '영혼', '내면', '시작', '일상']"
41,2023,잘될 수밖에 없는 너에게,42,"['인생', '독자', '필요', '서영', '저자']"
42,2023,열 번 잘해도 한 번 실수로 무너지는 게 관계다,43,"['관계', '사람', '기분', '마음', '관리']"
43,2023,형사 박미옥,44,"['형사', '사람', '박미옥', '사건', '최초']"
44,2023,나에게 고맙다(30만 부 기념 전면 개정판),46,"['전승화', '출간', '마음', '독자', '전면']"
45,2023,전태일평전,47,"['전태일', '개정판', '인간', '초판', '오늘']"
46,2023,스크루테이프의 편지,48,"['악마', '편지', '스크루', '요소', '테이프']"
47,2023,오은영의 화해,49,"['고통', '상처', '사람', '조언', '관계']"
48,2023,나는 나로 살기로 했다(골드 에디션),50,"['에세이', '사랑', '한국', '개정', '세계']"
