,Year,Title,Rank,Keywords
0,2023,미스터 프레지던트,1,"['대통령', '행사', '국가', '이야기', '의미']"
1,2023,나는 대한민국 검사였다,2,"['수사', '대통령', '진실', '노무현', '결과']"
2,2023,정세현의 통찰,3,"['국제', '시대', '관계', '질서', '외교']"
3,2023,공정하다는 착각,4,"['공정', '능력주의', '샌델', '마이클', '출간']"
4,2023,총 균 쇠,5,"['문명', '일본인', '인류', '사회', '세계']"
5,2023,지리의 힘,6,"['지리', '한국', '세계', '분쟁', '미국']"
6,2023,계속 가보겠습니다,7,"['검찰', '검사', '조직', '저자', '임은정']"
7,2023,당신이 모르는 민주주의,8,"['민주주의', '교수', '의문', '공정', '샌델']"
8,2023,이준석의 거부할 수 없는 미래,9,"['대한민국', '국민', '주식회사', '사람', '주주']"
9,2023,공자가 죽어야 나라가 산다,10,"['문화', '유교', '한국', '콤플렉스', '국내']"
10,2023,권력과 안보,11,"['안보', '정부', '기록', '대통령', '이슈']"
11,2023,침묵의 봄,12,"['환경', '문제', '살충제', '생물', '20세기']"
12,2023,붕괴하는 세계와 인구학,13,"['붕괴', '세계', '인구', '자이', '예측']"
13,2023,전태일평전,14,"['전태일', '개정판', '일기', '인간', '오늘']"
14,2023,지리의 힘 2,15,"['지리', '세계', '지정학', '저자', '세상']"
15,2023,나는 그해 겨울 저들이 한 짓을 알고 있다,16,"['태블릿', '조작', '저자', '계약서', '진실']"
16,2023,디케의 눈물,17,"['검찰', '저자', '정부', '조국', '정의']"
17,2023,왜 세계의 절반은 굶주리는가?,18,"['기아', '사람', '세계', '설명', '현실']"
18,2023,아무도 행복하지 않은 나라,19,"['나라', '대한민국', '국가', '걱정', '검사']"
19,2023,중국은 어떻게 실패하는가,20,"['중국', '미국', '전략', '안보', '시작']"
20,2023,선량한 차별주의자,21,"['차별', '혐오', '이론', '사례', '차별주의자']"
21,2023,이미 시작된 전쟁,22,"['전쟁', '북한', '미국', '한국', '중국']"
22,2023,총 균 쇠,5,"['문명', '인류', '세계', '대륙', '사회']"
23,2023,돈으로 살 수 없는 것들,24,"['시장', '논리', '철학', '지상주의', '샌델']"
24,2023,생각의 지도,25,"['차이', '사물', '동양', '서양', '고대']"
25,2023,뉴욕 정신과 의사의 사람 도서관,26,"['사람', '이야기', '정신', '도서관', '환자']"
