,Year,Title,Rank,Keywords
0,2023,코스모스,1,"['과학', '코스모스', '저자', '우주', '과정']"
1,2023,이토록 공부가 재미있어지는 순간(50만 부 기념 우리들 에디션),2,"['공부', '아이', '청소년', '분야', '순간']"
2,2023,생기부 필독서 100,3,"['기부', '독서', '활동', '교사', '학생']"
3,2023,세계를 건너 너에게 갈게,4,"['감동', '사람', '편지', '독자', '진심']"
4,2023,죽이고 싶은 아이,5,"['주연', '이야기', '작가', '독자', '아이']"
5,2023,체리새우: 비밀글입니다,6,"['청소년', '관계', '문학동네', '문학상', '수상작']"
6,2023,달러구트 꿈 백화점 2,7,"['페니', '달러', '민원', '백화점', '단골손님']"
7,2023,그대들 어떻게 살 것인가,8,"['외삼촌', '코페르', '일상', '학교', '가지']"
8,2023,문학을 열다 세트,9,"['작품', '소설', '문학', '한국', '현대']"
9,2023,기억 전달자,10,"['기억', '감정', '보유자', '직위', '모두']"
10,2023,순례 주택,11,"['순례', '주택', '수림', '어른', '사람']"
11,2023,오백 년째 열다섯(10만부 기념 교보문고 단독 리커버),12,"['탄생', '매력', '판타지', '옛이야기', '구슬']"
12,2023,당연하게도 나는 너를,13,"['마음', '작가', '이야기', '아이들', '사건']"
13,2023,전태일평전,14,"['전태일', '개정판', '사회', '오늘', '일기']"
14,2023,오백 년째 열다섯 2: 구슬의 무게(10만부 기념 교보문고 단독 리커버),15,"['가을', '야호', '구슬', '인간', '호랑']"
15,2023,중고생이 꼭 읽어야 할 한국단편소설 40,16,"['한국', '작품', '단편소설', '문학', '수록']"
16,2023,정재승의 과학 콘서트,17,"['과학', '정재승', '콘서트', '출간', '교양']"
17,2023,식탁 위의 세계사,18,"['이야기', '세계사', '소금', '먹을거리', '후추']"
18,2023,서울대생의 비밀과외,19,"['공부', '합격', '수험', '독하게', '자신']"
19,2023,시간을 파는 상점,20,"['시간', '의뢰', '친구', '온조', '사건']"
20,2023,곰브리치 세계사(예일대 특별판),21,"['역사', '세계사', '브리', '예일대', '사건']"
21,2023,들숨에 긍정 날숨에 용기,22,"['청소년', '교수', '마음', '지나', '정신']"
22,2023,훌훌,23,"['마음', '작가', '작품', '사이', '수상작']"
23,2023,모모,24,"['시간', '모모', '작가', '마음', '인간']"
24,2023,고요한 우연,25,"['청소년', '문학동네', '모습', '소설', '선의']"
25,2023,가짜 모범생,26,"['선휘', '엄마', '집착', '자신', '대신']"
26,2023,코스모스,1,"['과학', '세이건', '코스모스', '우주', '교양서']"
27,2023,파인만 씨 농담도 잘하시네 1,28,"['노벨상', '이야기', '일화', '업적', '익살']"
28,2023,나에게 나다움을 주기로 했다,29,"['생각', '고민', '필요', '관계', '정욱']"
29,2023,파우스트 2,30,"['작품', '사이', '도달', '인간', '괴테']"
30,2023,"알로하, 나의 엄마들",31,"['여성', '엄마', '이야기', '알로하', '시대']"
31,2023,위저드 베이커리,32,"['베이커리', '위저드', '소년', '마법', '빵집']"
32,2023,페인트(교보문고 단독 리커버 에디션),33,"['독자', '청소년', '부모', '문학', '페인트']"
33,2023,수학을 잘하고 싶어졌습니다,34,"['수학', '공부', '과목', '시절', '수능']"
34,2023,완득이,35,"['완득이', '킥복싱', '공부', '가난', '성장']"
35,2023,진짜 수학 공부법,36,"['수학', '공부', '학생', '방법', '중등']"
36,2023,환경과 생태 쫌 아는 10대,37,"['환경', '10대', '과학', '소비', '연결']"
37,2023,의대에 가고 싶어졌습니다,38,"['의대', '졸업', '의사', '사람', '자신']"
38,2023,국어 교과서 작품 읽기: 중1 소설,39,"['국어', '교과서', '작품', '읽기', '교육']"
39,2023,수학 잘하는 아이는 이렇게 공부합니다,40,"['수학', '아이', '공부', '입시', '과목']"
40,2023,개를 훔치는 완벽한 방법,41,"['가족', '소설', '소녀', '모습', '주인공']"
41,2023,구슬쥬의 시크릿 내신노트,42,"['공부', '내신', '구슬', '노트', '학생']"
42,2023,독고솜에게 반하면,43,"['독고', '인물', '군가', '용기', '소문']"
43,2023,행운이 너에게 다가오는 중,44,"['행운', '너에게', '청소년', '작가', '이야기']"
44,2023,중고생이 꼭 읽어야 할 한국고전소설 45,45,"['작품', '고전', '문학', '우리나라', '삽화']"
45,2023,구덩이(교보문고 단독 리커버 에디션),46,"['구덩이', '청소년', '문학', '도서', '사랑']"
46,2023,아름다운 아이,47,"['어거스트', '얼굴', '소년', '어린이', '학교']"
47,2023,어른이 되기 전에 꼭 한 번은 논어를 읽어라 2,48,"['논어', '청소년', '사람', '공부', '공자']"
48,2023,테스터,49,"['소년', '독자', '이희영', '바이러스', '페인트']"
49,2023,유진과 유진,50,"['유진', '청소년', '상처', '문학', '기억']"
50,2023,세상에서 가장 쉬운 재미있는 물리,51,"['물리', '이과', '세상', '선택', '지능']"
51,2023,어른이 되기 전에 꼭 한 번은 논어를 읽어라 1,52,"['논어', '청소년', '공자', '사람', '입문서']"
52,2023,갈매기에게 나는 법을 가르쳐준 고양이,53,"['갈매기', '존재', '고양이', '하늘', '애정']"
53,2023,철학의 숲,54,"['공부', '철학', '생각', '과목', '문제']"
54,2023,파인만 씨 농담도 잘하시네 2,55,"['이야기', '노벨상', '일화', '파이', '충격']"
55,2023,청소년을 위한 코스모스(Cosmos),56,"['천문학', '우주', '가지', '실험', '코스모스']"
56,2023,시장과 가격 쫌 아는 10대,57,"['경제', '가격', '지식', '시장', '사회']"
57,2023,기묘한 미술관,58,"['그림', '명화', '프랑스', '화가', '매혹']"
58,2023,재밌어서 밤새읽는 화학 이야기,59,"['화학', '이야기', '학문', '마련', '폭발']"
59,2023,수학이 막히면 깨봉 수학,60,"['수학', '개념', '문제', '공식', '이미지']"
60,2023,순례 주택(10만부 돌파 기념 스페셜 봄 에디션!),61,"['행복', '에디션', '순례', '출간', '스페셜']"
61,2023,우아한 거짓말,62,"['천지', '작가', '동생', '완득이', '자신']"
62,2023,심플한 공부법이 이긴다,63,"['공부', '심플', '시간', '혼자', '합격']"
63,2023,어쩌다 중학생 같은 걸 하고 있을까,64,"['중학생', '학년', '학교', '스미레', '친구']"
64,2023,곰브리치 세계사,65,"['세계사', '세계', '인류', '브리', '역사']"
65,2023,청소년을 위한 경제학 에세이,66,"['경제', '경제학', '청소년', '시장', '이해']"
66,2023,미적분으로 바라본 하루,67,"['하루', '시간', '물체', '각도', '이유']"
67,2023,수학비타민 플러스 UP,68,"['수학', '비타민', '플러스', 'up', '내용']"
68,2023,느티나무 수호대,69,"['추천', '아이들', '우리', '우정', '김영희']"
69,2023,공부가 가장 쉬웠어요,70,"['공부', '막노동', '장승수', '에디션', '수석']"
70,2023,"법칙, 원리, 공식을 쉽게 정리한 수학 사전",71,"['수학', '개념', '기본', '활약', '과정']"
71,2023,교과세특 탐구주제 바이블: 의약계열편,72,"['교과', '탐구', '주제', '학생', '수업']"
72,2023,똑같은 빨강은 없다,73,"['미술', '빨강', '저자', '교사', '성장']"
73,2023,중고생이 꼭 읽어야 할 한국고전소설 40,74,"['작품', '고전', '한국', '교과서', '소설']"
74,2023,과학특성화 중학교 3,75,"['과학', '성화중학교', '공부', '출간', '닥터']"
75,2023,구미호 식당 4: 구미호 카페,76,"['구미호', '시간', '카페', '사람', '이야기']"
76,2023,아홉살 인생,77,"['인생', '사람', '독자', '소설', '가난']"
77,2023,핵폭발 뒤 최후의 아이들(개정판),78,"['독일', '최후', '시작', '순간', '모습']"
78,2023,리버보이(리커버 특별판),79,"['죽음', '소녀', '만남', '인생', '이별']"
79,2023,어느 날 내가 죽었습니다,80,"['죽음', '일기', '의미', '선생님', '성장']"
80,2023,박씨전,81,"['여성', '전쟁', '활약', '부인', '영웅']"
81,2023,최준영의 교과서 밖 인물 연구소,82,"['인물', '이야기', '최준영', '연구소', '사람']"
82,2023,한 번에 끝내는 중학 세계사 세트,83,"['역사', '세계사', '교과', '청소년', '사건']"
83,2023,유튜브에 빠진 너에게,84,"['미디어', '유튜브', '청소년', '뉴스', '인문학']"
84,2023,시간을 파는 상점 2: 너를 위한 시간,85,"['시간', '의뢰', '상점', '아저씨', '해결']"
85,2023,십 대가 알아야 할 인공지능과 4차 산업혁명의 미래,86,"['미래', '산업', '혁명', '기술', '인공지능']"
86,2023,박철범의 하루 공부법,87,"['공부', '하루', '청소년', '충실', '합격']"
87,2023,한 권으로 끝내는 중학 영문법 마스터,88,"['영문법', '영어', '중학', '중학교', '공부']"
88,2023,엄마 심리 수업,89,"['엄마', '아이', '심리', '성향', '자녀']"
89,2023,역사를 바꾼 17가지 화학이야기 1,90,"['화학', '역사', '분자', '발견', '이야기']"
90,2023,종의 기원,91,"['진화', '기원', '종의', '이야기', '생물']"
91,2023,탈무드,92,"['탈무드', '교훈', '인간', '주제', '명언']"
92,2023,의대 합격 고득점의 비밀,93,"['공부', '의대', '학생', '관리', '생활']"
93,2023,이런 공부법은 처음이야,95,"['공부', '학생', '심리', '교수', '방법']"
94,2023,탐정이 된 과학자들,96,"['전염병', '코로나', '19', '인류', '학자']"
95,2023,청소년을 위한 경제의 역사,97,"['경제', '역사', '이야기', '활동', '현상']"
96,2023,슈퍼리치보다 해피리치를 꿈꿔라,98,"['행복', '부자', '인문학', '마인드', '요구']"
97,2023,교과세특 탐구주제 바이블: 공학계열편,99,"['교과', '탐구', '주제', '학생', '수업']"
98,2023,10대와 통하는 스포츠 이야기,100,"['스포츠', '올림픽', '이야기', '주인', '생각']"
99,2023,도덕을 위한 철학 통조림 1: 매콤한 맛,101,"['철학', '고전', '자연과학', '독자', '사상']"
100,2023,꿈의 해석,102,"['프로이트', '해석', '꿈의', '이해', '이론']"
101,2023,중고생이 꼭 읽어야 할 세계단편소설 40,103,"['작품', '세계', '수록', '교과서', '전문']"
102,2023,딥스,104,"['아이', '놀이', '과정', '치료', '마음']"
103,2023,"취미는 악플, 특기는 막말",105,"['10대', '가치', '무게', '사용', '고민']"
104,2023,10대를 위한 그릿,106,"['목표', '10대', '청소년', '끈기', '재능']"
105,2023,나는 초콜릿의 달콤함을 모릅니다,107,"['하디', '농장', '이두', '아마', '초콜릿']"
106,2023,2024 합격하는 특목고ㆍ자사고 자기소개서와 면접,108,"['특목고', '자사', '질문', '소개서', '사항']"
107,2023,과학특성화 중학교 1,109,"['과학', '시리즈', '닥터', '비밀', '소설']"
108,2023,중학수학 개념사전 93,110,"['수학', '개념', '공부', '문제', '아이']"
109,2023,"왜요, 기후가 어떤데요?",111,"['기후', '청소년', '변화', '문제', '핵심']"
110,2023,호랑이를 덫에 가두면,112,"['호랑이', '이야기', '릴리', '할머니', '한국']"
111,2023,구미호 식당,113,"['시간', '이야기', '작가', '소설', '마음']"
112,2023,국어 교과서 작품 읽기: 고등 소설(상),114,"['교과서', '국어', '작품', '과정', '문학']"
113,2023,"로봇 소년, 학교에 가다",115,"['로봇', '인공지능', '인간', '학교', '친구']"
114,2023,오즈의 의류 수거함,116,"['의류', '수거', '도로시', '친구', '일기장']"
115,2023,오이대왕,117,"['대왕', '오이', '청소년', '가족', '볼프강']"
116,2023,생각한다는 것,118,"['철학', '생각', '청소년', '주제', '활동']"
117,2023,한 번에 수시로 합격하는 생기부 만들기,119,"['기록부', '생활', '대학', '공개', '서울']"
118,2023,청소년을 위한 빅터 프랭클의 죽음의 수용소에서,120,"['사람', '빅터', '프랭크', '의사', '정신']"
119,2023,만화로 보는 3분 철학 1: 서양 고대 철학편,121,"['철학', '만화', '사상', '개념', '철학자']"
120,2023,교과서 수필 다보기 1,122,"['작품', '수필', '감상', '교과서', '수록']"
121,2023,공감 능력 UP 감정카드,123,"['감정', '학습지', '카드', '안전', '출석부']"
122,2023,수학특성화중학교 1,124,"['수학', '제로', '성화중학교', '비밀', '아이들']"
123,2023,줄무늬 파자마를 입은 소년,125,"['소년', '철조망', '독일', '유태인', '줄무늬']"
124,2023,중고생이 꼭 읽어야 할 한국단편소설 45(중고생이 꼭 읽어야 할),126,"['작품', '국어', '학습', '문제', '수록']"
125,2023,중고생이 꼭 읽어야 할 한국단편소설 50,127,"['작품', '교과서', '수록', '선정', '논술']"
126,2023,달력으로 배우는 지구환경 수업,128,"['환경', '기념일', '이야기', '지구', '달력']"
127,2023,너도 하늘말나리야,129,"['소희', '미르', '엄마', '하늘말나리야', '청소년']"
128,2023,완벽한 사과는 없다,130,"['소설', '지호', '지민', '청소년', '사과']"
129,2023,이상한 수학책,131,"['수학', '수학자', '이해', '작가', '사람']"
130,2023,"개념, 용어, 이론을 쉽게 정리한 기초 화학 사전",132,"['화학', '기초', '사전', '개념', '정리']"
131,2023,10대의 뇌,133,"['10대', '신경학', '인간', '프랜시스', '성인']"
132,2022,달러구트 꿈 백화점 2(레인보우 에디션),1,"['페니', '달러', '민원', '백화점', '단골손님']"
133,2022,이토록 공부가 재미있어지는 순간(30만부 기념 매직 에디션),2,"['공부', '아이', '청소년', '분야', '순간']"
134,2023,세계를 건너 너에게 갈게,4,"['감동', '사람', '편지', '독자', '진심']"
135,2023,코스모스,1,"['과학', '코스모스', '저자', '우주', '과정']"
136,2023,순례 주택,11,"['순례', '주택', '수림', '어른', '사람']"
137,2022,체리새우: 비밀글입니다(30만 부 리커버 특별판),6,"['청소년', '관계', '문학동네', '문학상', '수상작']"
138,2023,죽이고 싶은 아이,5,"['주연', '이야기', '작가', '독자', '아이']"
139,2023,기억 전달자,10,"['기억', '감정', '보유자', '직위', '모두']"
140,2023,시간을 파는 상점,20,"['시간', '의뢰', '친구', '온조', '사건']"
141,2023,정재승의 과학 콘서트,17,"['과학', '정재승', '콘서트', '출간', '교양']"
142,2023,훌훌,23,"['마음', '작가', '작품', '사이', '수상작']"
143,2022,식탁 위의 세계사(리커버:K 특별판),12,"['이야기', '세계사', '소금', '먹을거리', '후추']"
144,2022,오백 년째 열다섯,13,"['탄생', '매력', '판타지', '옛이야기', '구슬']"
145,2023,위저드 베이커리,32,"['베이커리', '위저드', '소년', '마법', '빵집']"
146,2023,문학을 열다 세트,9,"['작품', '소설', '문학', '한국', '현대']"
147,2023,중고생이 꼭 읽어야 할 한국단편소설 40,16,"['한국', '작품', '단편소설', '문학', '수록']"
148,2023,만화로 보는 3분 철학 1: 서양 고대 철학편,121,"['철학', '만화', '사상', '개념', '철학자']"
149,2023,독고솜에게 반하면,43,"['독고', '인물', '군가', '용기', '소문']"
150,2022,하루라도 공부만 할 수 있다면,19,"['공부', '학생', '자신', '순간', '합격']"
151,2022,한 컷 한국사,20,"['역사', '사진', '한국사', '교사', '사건']"
152,2023,모모,24,"['시간', '모모', '작가', '마음', '인간']"
153,2023,수학 잘하는 아이는 이렇게 공부합니다,40,"['수학', '아이', '공부', '입시', '과목']"
154,2023,기묘한 미술관,58,"['그림', '명화', '프랑스', '화가', '매혹']"
155,2023,환경과 생태 쫌 아는 10대,37,"['환경', '10대', '과학', '소비', '연결']"
156,2023,완득이,35,"['완득이', '킥복싱', '공부', '가난', '성장']"
157,2023,가짜 모범생,26,"['선휘', '엄마', '집착', '자신', '대신']"
158,2023,곰브리치 세계사(예일대 특별판),21,"['역사', '세계사', '브리', '예일대', '사건']"
159,2022,페인트,28,"['독자', '청소년', '부모', '문학', '페인트']"
160,2022,세상의 모든 지식이 내 것이 되는 1페이지 한국사 365,29,"['한국사', '사람', '페이지', '지식', '처음']"
161,2022,나는 왜 자꾸 미룰까?,30,"['중학생', '목표', '방법', '내용', '저자']"
162,2023,유진과 유진,50,"['유진', '청소년', '상처', '문학', '기억']"
163,2023,아름다운 아이,47,"['어거스트', '얼굴', '소년', '어린이', '학교']"
164,2023,행운이 너에게 다가오는 중,44,"['행운', '너에게', '청소년', '작가', '이야기']"
165,2022,구덩이,34,"['구덩이', '청소년', '문학', '도서', '사랑']"
166,2022,스스로 뒤집는  붕어빵,35,"['공부', '수능', '과정', '대비', '의대']"
167,2023,중고생이 꼭 읽어야 할 한국고전소설 40,74,"['작품', '고전', '한국', '교과서', '소설']"
168,2023,리버보이(리커버 특별판),79,"['죽음', '소녀', '만남', '인생', '이별']"
169,2023,구미호 식당,113,"['시간', '이야기', '작가', '소설', '마음']"
170,2023,어쩌다 중학생 같은 걸 하고 있을까,64,"['중학생', '학년', '학교', '스미레', '친구']"
