,Year,Title,Rank,Keywords
0,2023,세이노의 가르침,1,"['이노', '출간', '정식', '가르침', '수록']"
1,2023,만일 내가 인생을 다시 산다면,2,"['인생', '사람', '자신', '후회', '이상']"
2,2023,이미 늦었다고 생각하는 당신을 위한 김미경의 마흔 수업,3,"['김미경', '세대', '인생', '국민', '이후']"
3,2023,마흔에 읽는 쇼펜하우어,4,"['쇼펜하우어', '인생', '행복', '고통', '마음']"
4,2023,불편한 편의점(벚꽃 에디션),5,"['편의점', '작품', '불편', '여사', '이야기']"
5,2023,메리골드 마음 세탁소(30만 부 기념 한정 플라워 에디션),6,"['마음', '세탁소', '메리', '골드', '독자']"
6,2023,아버지의 해방일지,7,"['소설', '정지아', '문학', '독자', '아버지']"
7,2023,불편한 편의점 2(단풍 에디션),8,"['편의점', '불편', '이야기', '소설', '독자']"
8,2023,모든 삶은 흐른다(특별판 트레싱지 에디션),9,"['바다', '자연', '철학', '존재', '프랑스']"
9,2023,역행자(확장판)(유니버스 에디션),10,"['행자', '에디션', '출간', '독자', '돌파']"
10,2023,돈의 속성(300쇄 리커버에디션),11,"['속성', '경제', '기념', '발행', '회장']"
11,2023,원씽(The One Thing)(리커버 특별판),12,"['집중', '저자', '성공', '자신', '투자']"
12,2023,K 배터리 레볼루션,13,"['배터리', '미래', '혁명', '산업', '시장']"
13,2023,생에 감사해,14,"['배우', '김혜자', '작품', '연기', '감사']"
14,2023,건강과 다이어트를 동시에 잡는 7대 3의 법칙 채소·과일식,15,"['과일', '채소', '다이어트', '단식', '간헐']"
15,2023,"살 때, 팔 때, 벌 때",16,"['투자', '시장', '지표', '투자자', '주식']"
16,2023,사장학개론,17,"['사장', '직원', '저자', '모두', '문제']"
17,2023,미스터 프레지던트,18,"['대통령', '행사', '이야기', '국가', '의미']"
18,2023,내면소통,19,"['명상', '마음', '근력', '소통', '내면']"
19,2023,ETS 토익 정기시험 기출문제집 1000 Vol 3 READING(리딩),20,"['문제', '시험', '토익', '학습', '지원']"
20,2023,기분이 태도가 되지 말자,21,"['하루', '미래', '인생', '기분', '감정']"
21,2023,도둑맞은 집중력,22,"['집중력', '집중', '위기', '발견', '증가']"
22,2023,ETS 토익 정기시험 기출문제집 1000 Vol 3 LISTENING(리스닝),23,"['문제', '시험', '정기', '학습', '성우']"
23,2023,사이토 히토리의 1퍼센트 부자의 법칙,24,"['부자', '법칙', '사이토', '도서', '행복']"
24,2023,장하준의 경제학 레시피,25,"['경제', '자유', '가난', '발전', '복지']"
25,2023,"2023 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급)(상)",26,"['한국사', '최태성', '문제', '구성', '심화']"
26,2023,부자 아빠 가난한 아빠 1(20주년 특별 기념판),27,"['아빠', '부자', '20년', '투자', '가난']"
27,2023,타이탄의 도구들(블랙 에디션),28,"['저자', '타이탄', '세계', '자신', '성공']"
28,2023,키위엔 영어회화 하루 5분의 기적,29,"['문장', '영어', '이상', '가지', '구조']"
29,2023,"2023 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급)(하)",30,"['한국사', '문제', '최태성', '지도', '구성']"
30,2023,브라질에 비가 내리면 스타벅스 주식을 사라,31,"['투자', '경제', '매크로', '시장', '주식']"
31,2023,물고기는 존재하지 않는다,34,"['혼돈', '사랑', '밀러', '룰루', '존재']"
32,2023,부의 추월차선(10주년 스페셜 에디션),35,"['부자', '차선', '추월', '부의', '인생']"
33,2023,데일 카네기 인간관계론(무삭제 완역본),36,"['인간관계', '카네기', '데일', '사람', '친구']"
34,2023,그릿(50만부 판매 기념 리커버 골드에디션),37,"['성공', '사람', '재능', '성취', '연구']"
35,2023,당신도 느리게 나이 들 수 있습니다,38,"['건강', '노화', '가지', '속도', '사회']"
36,2023,유연함의 힘,39,"['성장', '기술', '실험', '자신', '예상']"
37,2023,하늘과 바람과 별과 인간,40,"['세상', '물리학자', '김상욱', '우주', '과학']"
38,2023,우리는 모두 죽는다는 것을 기억하라,41,"['자신', '죽음', '기억', '영성', '이야기']"
39,2023,부자의 그릇,42,"['부자', '그릇', '최고', '입문서', '교양']"
40,2023,트렌드 코리아 2024,43,"['인간', '인공지능', '영어', '결과물', '준비']"
41,2023,세상의 마지막 기차역(리커버 에디션),44,"['사람', '마지막', '소설', '세상', '기차역']"
42,2023,이기적 유전자,45,"['유전자', '실험', '이기적', '주장', '과학']"
43,2023,바다가 들리는 편의점,46,"['편의점', '작가', '출간', '오늘', '인기']"
44,2023,퓨처 셀프,47,"['미래', '모습', '생각', '파트', '연결']"
45,2023,안젤리크,48,"['기욤', '뮈소', '소설', '작가', '프랑스']"
46,2023,코스모스,49,"['과학', '과정', '생명', '코스모스', '우주']"
47,2023,삐뽀삐뽀 119 이유식(2023 최신개정판),50,"['이유식', '의학', '과학', '초보', '개정판']"
48,2023,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",52,"['히노', '도루', '소설', '고백', '선행']"
49,2023,당신은 결국 무엇이든 해내는 사람(10만 부 기념 특별 리커버 에디션),53,"['사람', '문장', '작가', '신작', '에디션']"
50,2023,주식 시세의 비밀,54,"['투자자', '주식', '투자', '시장', '비밀']"
51,2023,스즈메의 문단속,55,"['마코토', '신카이', '감독', '작품', '소설']"
52,2023,나의 돈 많은 고등학교 친구,56,"['광수', '영철', '대기업', '소설', '롯데월드']"
53,2023,진짜 쓰는 실무 엑셀,57,"['엑셀', '실무', '개선', '기능', '분석']"
54,2023,흔한남매 13,58,"['남매', '웃음', '일상', '어린이', '유튜브']"
55,2023,내가 틀릴 수도 있습니다,59,"['스웨덴', '17년', '성공', '수행', '불안']"
56,2023,마흔에 읽는 니체,60,"['니체', '인생', '사랑', '철학', '자신']"
57,2023,참을 수 없는 존재의 가벼움,61,"['토마', '역사', '체코', '사비', '사랑']"
58,2023,백년허리 2: 치료편,62,"['허리', '치료', '사용', '방법', '운동']"
59,2023,레버리지,63,"['자본주의', '레버리지', '동안', '출간', '사람']"
60,2023,트렌드 코리아 2023,64,"['친구', '평균', '시대', '소비', '소비자']"
61,2023,몰입,65,"['몰입', '사고', '생각', '천재', '방법']"
62,2023,나는 대한민국 검사였다,66,"['수사', '진실', '대통령', '노무현', '국민']"
63,2023,하얼빈,67,"['안중근', '김훈', '하얼빈', '인간', '작가']"
64,2023,"우리, 편하게 말해요",68,"['방송', '이금희', '이야기', '사람', '언니']"
65,2023,이은경쌤의 초등어휘일력 365,69,"['어휘', '초등', '아이', '일력', '문학']"
66,2023,주식투자 최적의 타이밍을 잡는 법,70,"['주식', '투자', '분석', '출간', '기술적']"
67,2023,지적 대화를 위한 넓고 얕은 지식 1,71,"['독자', '인문학', '출간', '개정', '대표']"
68,2023,돈의 심리학(30만 부 기념 스페셜 에디션),72,"['투자', '심리학', '모건', '스토리', '관련']"
69,2023,파친코 1,73,"['이야기', '작가', '파친코', '한국', '독자']"
70,2023,2023 해커스 토익 RC 리딩(Reading) 토익 기본서,74,"['토익', '문제', '경향', '학습', '시험']"
71,2023,이토록 공부가 재미있어지는 순간(50만 부 기념 우리들 에디션),75,"['공부', '아이', '청소년', '분야', '순간']"
72,2023,파친코 2,76,"['이야기', '작가', '파친코', '한국', '독자']"
73,2023,EBS 다큐프라임 자본주의,77,"['자본주의', '자신', '진실', '무의식', '위협']"
74,2023,마음의 지혜,78,"['행복', '마음', '김경일', '사람', '고민']"
75,2023,그대 늙어가는 것이 아니라 익어가는 것이다,79,"['인생', '문장', '행복', '사랑', '시간']"
76,2023,작별인사,80,"['작별', '인사', '작가', '원고', '인간']"
77,2023,전설로 떠나는 월가의 영웅,81,"['투자', '주식', '피터', '투자자', '린치']"
78,2023,거인의 노트,82,"['기록', '인생', '성장', '한계', '공부']"
79,2023,도파민네이션,83,"['도파민', '중독', '네이션', '법칙', '자극']"
80,2023,남에게 보여주려고 인생을 낭비하지 마라,84,"['쇼펜하우어', '추구', '지금', '진리', '톨스토이']"
81,2023,고통의 비밀,85,"['통증', '라이머', '박사', '몬티', '연구']"
82,2023,총 균 쇠,86,"['세계', '인류학', '출간', '에디션', '서문']"
83,2023,생각하라 그리고 부자가 되어라,87,"['성공', '레온', '부자', '출간', '정리']"
84,2023,백년운동,88,"['운동', '관절', '척추', '방법', '제시']"
85,2023,"딸아, 돈 공부 절대 미루지 마라",89,"['주식', '투자', '때문', '부자', '사람']"
86,2023,정세현의 통찰,90,"['국제', '시대', '질서', '관계', '외교']"
87,2023,초수익 성장주 투자,91,"['투자', '마크', '성장', '종목', '너비']"
88,2023,설민석의 한국사 대모험 24,92,"['한국사', '모험', '평강', '병자호란', '어린이']"
89,2023,조국의 법고전 산책,93,"['고전', '사회', '조국', '한국', '사유']"
90,2023,DO IT 두잇,94,"['메세지', '위기', '선교', '준비', '하나님']"
91,2023,유현준의 인문 건축 기행,95,"['건축물', '세상', '사람', '인간', '물질']"
92,2023,내가 가진 것을 세상이 원하게 하라,96,"['대표', '브랜드', '일터', '권오현', '삼성전자']"
93,2023,아주 작은 습관의 힘,97,"['습관', '저자', '법칙', '방법', '변화']"
94,2023,긴긴밤,98,"['마지막', '코뿔소', '노드', '남은', '코끼리']"
95,2023,아주 세속적인 지혜,99,"['인생', '고전', '현실', '쇼펜하우어', '시안']"
96,2023,풍수전쟁,100,"['은하수', '메시지', '대통령', '저주', '대한민국']"
97,2023,작별하지 않는다,101,"['한강', '인간', '작별', '수상작', '기억']"
98,2023,회복탄력성(15만부 기념 리커버),102,"['탄력성', '회복', '제시', '사람', '시련']"
99,2023,모순,103,"['어머니', '진진', '모순', '인생', '표지']"
100,2023,고래,104,"['소설', '복의', '성찬', '천명관', '인물']"
101,2023,2023 해커스 토익 LC 리스닝(Listening) 토익 기본서,105,"['제공', '경향', '토익', '학습', '최신']"
102,2023,마케팅 설계자,106,"['마케팅', '고객', '과정', '구매', '시스템']"
103,2023,백년허리 1: 진단편,108,"['허리', '관점', '치료', '통증', '제시']"
104,2023,오십에 읽는 논어(20만 부 기념 골드 리커버 에디션),109,"['논어', '인생', '방향', '지혜', '고전']"
105,2023,몰입 합본판,110,"['몰입', '교수', '사고', '출간', '성공']"
106,2023,전지적 푸바오 시점,111,"['바오', '판다', '사랑', '사진', '전지']"
107,2023,가짜 노동,112,"['노동', '가짜', '사회', '시간', '의미']"
108,2023,더 마인드,113,"['무의식', '생각', '성공', '마인드', '인생']"
109,2023,생각이 너무 많은 어른들을 위한 심리학(10만 부 기념 스페셜 에디션),114,"['생각', '인생', '부정', '고민', '때문']"
110,2023,해커스 일본어 첫걸음: 기초20일 독학 완성!,115,"['활용', '히라가나', '일본어', '학습', '가타카나']"
111,2023,사피엔스,116,"['출간', '인류', '사피엔스', '서문', '인간']"
112,2023,손실 없는 투자 원칙,117,"['주식', '투자', '투자자', '저자', '석관']"
113,2023,생기부 필독서 100,118,"['기부', '활동', '독서', '학생', '교사']"
114,2023,세계를 건너 너에게 갈게,119,"['감동', '편지', '독자', '사람', '문장']"
115,2023,영어책 한 권 외워봤니?,120,"['영어', '공부', '저자', '기초', '사람']"
116,2023,무조건 합격하는 암기의 기술,121,"['암기', '공부', '기억', '정보', '시험']"
117,2023,대한민국 산업지도(2023),122,"['산업', '투자', '기업', '투자자', '정리']"
118,2023,2023 해커스 토익 실전 1000제 1 RC Reading(리딩) 토익문제집,123,"['토익', '최신', '실전', '모의', '대비']"
119,2023,고양이 해결사 깜냥 5: 편의점을 환하게 밝혀라!,124,"['편의점', '고양이', '하품', '손님', '독자']"
