,Year,Title,Rank,Keywords
0,2023,디스 이즈 오사카(This is Osaka)(2023~2024),2,"['여행', '오사카', '정보', '가이드북', '개월']"
1,2023,프렌즈 후쿠오카(2023~2024),3,"['후쿠오카', '도쿄', '만큼', '프렌즈', '시간']"
2,2023,여행의 이유,4,"['여행', '이야기', '순간', '인생', '상처']"
3,2023,프렌즈 이탈리아(2023~2024),5,"['이탈리아', '문화', '여행', '도시', '세계']"
4,2023,나의 문화유산답사기 11: 서울편(3),6,"['서울', '오늘', '완간', '이번', '이야기']"
5,2023,디스 이즈 도쿄(2023~2024),7,"['도쿄', '여행', '정보', '정석', '요약']"
6,2023,프렌즈 방콕(2023~2024),8,"['방콕', '여행', '정보', '소개', '최신']"
7,2023,프렌즈 스페인 포르투갈(2022~2023),9,"['스페인', '도시', '포르투갈', '여행', '바르셀로나']"
8,2023,나의 문화유산답사기 12: 서울편(4),10,"['서울', '오늘', '완간', '이번', '이야기']"
9,2023,스위스 셀프트래블(2022-2023),11,"['스위스', '지역', '가이드북', '여행', '안전']"
10,2023,리얼 도쿄(2023~2024),12,"['도쿄', '여행', '일본', '안내', '리얼']"
11,2023,디스 이즈 스페인(This is Spain)(2023-2024),13,"['스페인', '여행', '정보', '여행자', '최신']"
12,2023,리얼 호주(2022~2023),14,"['호주', '매력', '소개', '리얼', '정보']"
13,2023,유럽 도시 기행 1,15,"['도시', '문명', '유럽', '이야기', '이스탄불']"
14,2023,에이든 국내여행 가이드북(2022-2023),16,"['여행', '여행지', '가이드북', '전체', '맛집']"
15,2023,제 마음대로 살아보겠습니다,17,"['여행', '원지', '스타트', '하루', '마음']"
16,2023,디스 이즈 홋카이도(This is Hokkaido)(2023),18,"['홋카이도', '여행', '현지', '찬사', '이즈']"
17,2023,프렌즈 싱가포르(2023~2024),19,"['싱가포르', '최신', '정보', '나라', '프렌즈']"
18,2023,디스 이즈 이탈리아(2023~2024),20,"['이탈리아', '가이드북', '유럽', '정보', '여행']"
19,2023,"지금 바로, 도쿄(2023)",21,"['도쿄', '코로나', '여행', '수록', '정보']"
20,2023,디스 이즈 오사카(This is Osaka)(2023),22,"['가이드북', '오사카', '디스', '여행', '코로나']"
21,2023,저스트고 유럽 5개국(2023-2024),23,"['여행', '유럽', '정보', '개국', '도시']"
22,2023,리얼 뉴질랜드(2022~2023년),24,"['뉴질랜드', '여행', '자연', '이후', '선사']"
23,2023,여행영어 100일의 기적,25,"['여행', '표현', '여행지', '영어', '필수']"
24,2023,여행의 시간,26,"['여행', '김진애', '시간', '도시', '코로나']"
25,2023,동유럽 셀프트래블(2022-2023),27,"['여행', '동유럽', '가이드', '두브로브니크', '코로나']"
26,2023,파리 셀프트래블(2023~2024),28,"['파리', '여행', '정보', '고성', '사람']"
27,2023,리얼 싱가포르(2022~2023),29,"['싱가포르', '여행', '여행자', '매력', '자극']"
28,2023,리얼 다낭: 호이안 후에(2023~2024),30,"['다낭', '여행', '매력', '도시', '여행자']"
29,2023,프렌즈 캐나다(2022~2023),31,"['캐나다', '여행', '프렌즈', '정보', '가이드북']"
30,2023,리얼 타이베이(2023~2024),32,"['타이베이', '여행', '여행자', '정리', '정보']"
31,2023,나의 문화유산답사기 9: 서울편(1),33,"['서울', '역사', '창덕궁', '답사기', '예술']"
32,2023,전국김밥일주,34,"['김밥', '정보', '맛집', '큐레이터', '소개']"
33,2023,여기 가려고 주말을 기다렸어,35,"['여행', '뉴스레터', '주말', '국내', '이번']"
34,2023,셀프트래블 북유럽(2022-2023),36,"['여행', '포함', '코로나', '정보', '북유럽']"
35,2023,프렌즈 독일(2023~2024),37,"['독일', '도시', '여행', '최신', '프렌즈']"
36,2023,디스 이즈 파리(2023-2024),38,"['파리', '정보', '여행', '최신', '교통']"
37,2023,팔로우 스페인 포르투갈(2023-2024),39,"['여행', '팔로우', '정보', '가이드북', '시리즈']"
38,2023,도쿄 여행백서(2023~2024),40,"['도쿄', '여행', '지역', '정보', '지도']"
39,2023,"지금, 발리",41,"['발리', '여행', '사랑', '신혼여행', '지금']"
40,2023,미국 서부 셀프트래블(2022-2023),42,"['여행', '미국', '지역', '정보', '서부']"
41,2023,프렌즈 미국 서부(2023~2024),43,"['미국', '서부', '여행', '랜드', '캐니언']"
42,2023,이탈리아 자동차 여행(2022~2023),44,"['여행', '자동차', '이탈리아', '사람', '최신']"
43,2023,만약 우리의 언어가 위스키라고 한다면,45,"['위스키', '하루키', '아일랜드', '스코틀랜드', '여행']"
44,2023,프렌즈 하와이(2022~2023),46,"['하와이', '여행', '수록', '최신', '이자']"
45,2023,버번 위스키의 모든 것,47,"['버번', '위스키', '속담', '켄터키', '커스']"
46,2023,나의 문화유산답사기 1,48,"['답사', '이야기', '일화', '시즌', '사진']"
47,2023,무작정 따라하기 하와이(2023-2024),49,"['여행', '코스', '테마', '작정', '시리즈']"
48,2023,리얼 교토: 고베 나라(2022~2023),50,"['교토', '도시', '문화', '사찰', '최신']"
49,2023,프렌즈 미국 동부(2022~2023),51,"['여행', '미국', '동부', '도시', '프렌즈']"
50,2023,무작정 따라하기 괌(2023-2024),52,"['여행', '코스', '작정', '시리즈', '정보']"
51,2023,무작정 따라하기 도쿄(2023-2024),53,"['여행', '코스', '작정', '시리즈', '테마']"
52,2023,뉴욕 셀프트래블(2023-2024),54,"['뉴욕', '여행', '정보', '코로나', '19']"
53,2023,일본 현지 빵 대백과,55,"['일본', '빵집', '베이커리', '카스텔라', '지역']"
54,2023,프렌즈 베트남('23~'24),56,"['베트남', '여행', '여행지', '소개', '최신']"
55,2023,에이든 우리나라 전국 여행지도(2022-2023),57,"['여행', '여행지', '전국', '지도', '맛집']"
56,2023,프렌즈 런던(2022~2023),58,"['런던', '여행', '작품', '최신', '프렌즈']"
57,2023,식객 허영만의 백반기행 베스트500,59,"['식객', '허영만', '기행', '식당', '백반']"
58,2023,일본 기차 여행(2023~2024),60,"['여행', '기차', '일본', '정보', '도시']"
59,2023,도쿄 셀프트래블(2023-2024),61,"['도쿄', '지역', '최신', '정보', '가마쿠라']"
60,2023,나의 문화유산답사기: 제주편(감귤 에디션),62,"['제주', '나의', '사랑', '문화유산답사기', '안내서']"
61,2023,나의 문화유산답사기 10: 서울편(2),63,"['서울', '역사', '시작', '답사기', '예술']"
62,2023,베스트 프렌즈 도쿄('23~'24),64,"['도쿄', '여행', '프렌즈', '가이드북', '베스트']"
63,2023,전국일주 가이드북(2022-2023),65,"['코스', '대한민국', '수록', '안내', '가이드북']"
64,2023,나의 문화유산답사기: 산사 순례,66,"['산사', '사찰', '남한', '문화유산', '세계유산']"
65,2023,남프랑스 홀리데이(2022-2023),67,"['프랑스', '정보', '여행', '가이드북', '이자']"
66,2023,리얼 제주(2022~2023년),68,"['제주', '여행', '리얼', '정보', '최신']"
67,2023,오래 준비해온 대답,69,"['작가', '시칠리아', '여행', '준비', '김영하']"
