,Year,Title,Rank,Keywords
0,2023,불편한 편의점(벚꽃 에디션),1,"['편의점', '작품', '불편', '이야기', '작가']"
1,2023,메리골드 마음 세탁소(30만 부 기념 한정 플라워 에디션),2,"['마음', '세탁소', '골드', '메리', '독자']"
2,2023,아버지의 해방일지,3,"['정지아', '소설', '독자', '문학', '아버지']"
3,2023,불편한 편의점 2(단풍 에디션),4,"['편의점', '이야기', '불편', '시간', '소설']"
4,2023,세상의 마지막 기차역(리커버 에디션),5,"['사람', '마지막', '소설', '기차역', '세상']"
5,2023,바다가 들리는 편의점,6,"['편의점', '출간', '오늘', '작가', '손님']"
6,2023,안젤리크,7,"['기욤', '뮈소', '소설', '작가', '프랑스']"
7,2023,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",8,"['히노', '도루', '고백', '소설', '기억상실']"
8,2023,스즈메의 문단속,9,"['감독', '신카이', '마코토', '소설', '이름']"
9,2023,참을 수 없는 존재의 가벼움,10,"['토마', '체코', '역사', '사랑', '사비']"
10,2023,하얼빈,11,"['안중근', '하얼빈', '김훈', '작가', '인간']"
11,2023,파친코 1,12,"['이야기', '한국', '작가', '파친코', '한국인']"
12,2023,파친코 2,13,"['이야기', '한국', '작가', '파친코', '한국인']"
13,2023,작별인사,14,"['작별', '인사', '작가', '원고', '발표']"
14,2023,고래,16,"['소설', '오랜만', '이야기', '천명관', '설화']"
15,2023,풍수전쟁,17,"['은하수', '메시지', '대한민국', '저주', '대통령']"
16,2023,작별하지 않는다,18,"['한강', '작별', '인간', '작가', '수상작']"
17,2023,모순,19,"['어머니', '인생', '진진', '모순', '이모']"
18,2023,세계를 건너 너에게 갈게,20,"['감동', '독자', '사람', '편지', '이야기']"
19,2023,도시와 그 불확실한 벽,21,"['작품', '하루키', '도시', '완성', '발표']"
20,2023,데미안,22,"['세계', '헤세', '헤르만', '작품', '이야기']"
21,2023,"어서 오세요, 휴남동 서점입니다",23,"['서점', '사람', '남동', '공간', '독자']"
22,2023,죽이고 싶은 아이,24,"['주연', '이야기', '아이', '작가', '독자']"
23,2023,아침 그리고 저녁,25,"['문학상', '노르웨이', '수상', '작품', '포세']"
