,Year,Rank,Title,Author,INTRO,TB
0,2023,1,불편한 편의점(벚꽃 에디션),김호연,"['최고', '재미', '감동', '선사', '힐링', '소설', '원조', '서점', '종합', '베스트셀러', '위', '국립중앙도서관', '올해', '책', '전국', '개', '도시', '올해', '책', '해외', '개국', '판권', '수출', '연극', '불편', '편의점', '절차', '상연', '중원', '플러스 원', '기쁨', '삼각김밥', '모양', '슬픔', '원', '번', '폭소', '곳', '힘', '시대', '편의점', '이야기', '2013년', '세계문학상', '우수', '수상작', '망원동', '브라더스', '데뷔', '후', '일상', '현실', '위트', '작품', '인간', '내밀', '욕망', '상상력', '스릴러', '장르', '독자', '작품', '세계', '작가', '김호연', '번', '장편소설', '불편', '편의점', '출간', '불편', '편의점', '청파동', '골목', '모퉁이', '자리', '편의점', '무대', '시대', '이웃', '삶', '속내', '희로애락', '작품', '망원동', '브라더스', '망원동', '공간', '체험', '지리지', '활용', '재미', '공감', '이번', '서울', '동네', '청파동', '공감각', '포착', '동네', '이야기', '탄생', '서울역', '노숙', '생활', '독고', '남자', '날', '대', '여성', '지갑', '인연', '운영', '편의점', '야간', '알바', '이야기', '시작', '덩치', '곰', '사내', '알코올', '치매', '과거', '기억', '데', '말', '행동', '손님', '상대', '수', '의구심', '걸', '일', '뿐', '주변', '사람', '편의점', '밤', '일꾼', '현실감', '캐릭터', '간', '상호작용', '점입가경', '형상화', '데', '일가견', '작가', '작품', '소설', '개성', '사연', '인물', '차례', '등장', '관계', '형성', '고등학교', '역사', '정년', '퇴임', '매사', '교사', '본능', '발동', '편의점', '사장', '염', '여사', '필두', '20대', '알바', '시현', '대', '생계', '알바', '오', '여사', '밤', '야외', '테이블', '참', '참', '참', '참깨', '라면', '참치', '김밥', '참이슬', '세트', '혼', '술', '하루', '스트레스', '회사원', '경', '마지막', '각오', '청파동', '글', '30대', '희곡', '작가', '인', '호시', '탐탐', '편의점', '기회', '염', '여사', '아들', '민', '식', '민', '식', '의뢰', '독고', '뒤', '사설탐정', '곽', '지', '인생', '무게', '현실', '문제', '안고', '각자', '시선', '독고', '관찰', '과정', '발생', '오해', '대립', '충돌', '반전', '이해', '공감', '폭소', '순간', '눈시울', '골목길', '편의점', '불편', '짝', '곳', '삶', '위로', '웃음', '공간']","['해진', '미', '오브', '용도', '원', '플러스 원', '불편', '편의점', '캔', '원', '폐기', '상품', '괜찮아', '감사', '글']"
1,2023,2,메리골드 마음 세탁소(30만 부 기념 한정 플라워 에디션),윤정은,"['마음', '얼룩', '마법', '한국', '형', '힐링', '판타지', '역대', '급', '입', '소문', '베스트셀러', '메리', '골드', '마음', '세탁소', '부', '돌파', '기념', '플라워', '에디션', '출간', '플라워', '에디션', '매장', '구매', '바로', '드림', '매시', '해당', '매장', '에디션', '재고', '확인', '윤정은', '작가', '소설', '메리', '골드', '마음', '세탁소', '독자', '사랑', '몽환', '표지', '출간', '직후', '베스트셀러', '메리', '골드', '마음', '세탁소', '년', '채', '영미', '권', '프랑스', '이탈리아', '유럽', '권', '중국', '대만', '인도네시아', '등지', '아시아', '해외', '판권', '수출', '한국', '소설', '최초', '펭귄', '랜덤하우스', '최고', '수출', '계약', '체결', '세계', '러브콜', '입증', '국내', '물론', '세계', '사랑', '한국', '소설', '포문', '책', '독자', '명실상부', '공감', '한국', '형', '힐링', '소설', '자리매김', '이번', '메리', '골드', '마음', '세탁소', '플라워', '에디션', '그간', '독자', '사랑', '보답', '감사', '마음', '부', '이상', '판매', '컬러', '링', '북', '세계', '기업', '컬', '래', '버', '레이', '션', '송', '지혜', '작가', '판본', '업그레이드', '한', '컬러', '일러스트', '빛', '표지', '벨벳', '코팅', '정성', '독자', '연말연시', '출발', '응원', '마음', '제작', '선물', '제격', '우리', '시간', '과거', '후회', '일', '일', '게', '현명', '선택', '기억', '때', '지금', '수', '기억', '앞', '행복', '수', '메리', '골드', '마음', '세탁소', '한밤', '중', '언덕', '위', '신비', '세탁소', '일', '힐링', '판타지 소설', '얼굴', '젓가락', '몸', '불', '머리', '미스', '테리', '한', '여자', '세탁소', '누', '군가', '차', '차', '말', '비밀', '이야기', '날', '기억', '얼룩', '부탁', '사람', '세탁소', '행복', '수', '대로', '괜찮아', '독자', '사랑', '에', '세', '이스트', '윤정은', '작가', '문학상', '수상', '이후', '년', '만', '장편소설', '메리', '골드', '마음', '세탁소', '독자', '마을', '마법', '등장', '세탁소', '사람', '갖가지', '사연', '속', '대화', '세탁소', '주인', '지은', '내면', '변화', '시선', '가난', '꿈', '포기', '시절', '사랑', '연인', '배신', '부', '명예', '삶', '학교 폭력', '상처', '방황', '자식', '몸', '청춘', '등', '각자', '삶', '이야기', '마음', '상처', '인정', '마음', '용기', '이웃', '아픔', '공감', '상처', '위로', '마음', '작품', '전반', '이', '책', '메리', '골드', '마음', '세탁소', '벼랑', '끝', '것', '날', '마음', '건', '생각', '날', '상처', '수', '은신처', '것']","['메리', '골드', '마음', '세탁소', '에필로그']"
2,2023,3,아버지의 해방일지,정지아(鄭智我),"['경탄', '압도', '몰입', '감', '가슴', '감동', '정지아', '손끝', '시대', '온기', '미스터리', '남자', '역사', '격랑', '안', '발견', '인생', '김유정문학상', '심훈', '문학', '대상', '이효석문학상', '등', '문학', '입증', '리얼리스트', '정지아', '년', '만', '장편소설', '발표', '작품', '삶', '현존', '묘사', '독자', '평단', '찬사', '작가', '이번', '역사', '상흔', '가족', '사랑', '대작', '서사', '독자', '모금', '청량음료', '해갈', '선사', '언어', '세공', '한국', '소설', '화법', '제시', '문학', '평론가', '정', '홍수', '정지아', '시대', '풍미', '빨치산', '딸', '이래', '초심', '아버지', '이야기', '소설', '전직', '빨치산', '아버지', '죽음', '이후', '일', '간의', '시간', '현재', '배경', '장례식', '장', '이야기', '해방', '이후', '년', '현대사', '질곡', '스케일', '손', '수', '몰입', '감', '동시', '것', '정지아', '만', '서사', '역량', '소설', '묘미', '아버지', '시작', '독자', '감', '책', '진중', '한', '주제', '의식', '소설', '남도', '입', '일화', '울분', '사람', '이제', '한마디', '가슴', '추천사', '김미월']","['아버지', '해방', '일지', '작가', '말']"
3,2023,4,불편한 편의점 2(단풍 에디션),김호연,"['독자', '재미', '감동', '불편', '편의점', '한', '이야기', '궁금증', '캐릭터', '고난', '시간', '통과', '사람', '편의점', '출가', '후', '년', '독자', '사랑', '베스트셀러', '상위', '소설', '김호연', '작가', '불편', '편의점', '번', '이야기', '서울역', '노숙', '독고', '씨', '편의점', '야간', '알바로', '일', '시작', '편', '이야기', '예측', '불허', '웃음', '온기', '감동', '선사', '불편', '편의점', '전편', '위트', '속', '시선', '이야기', '독자', '소설', '편', '시간', '년', '반', '여름날', '편의점', '스케치', '시작', '그동안', '세상', '청파동', '편의점', '이모저모', '숨', '턱', '턱', '더위', '마스크', '도', '입부', '묘사', '소설', '속', '현실', '코로나', '짐작', '게', '아들', '불화', '선', '숙', '점장', '편의점', '염', '여사', '말썽', '아들', '민', '식', '사장', '말', '사장', '민', '식', '경영', '관심', '수익', '운운', '주휴수당', '비용', '열', '진짜', '불편', '해진', '편의점', '수', '중', '독고', '후임', '밤', '시간', '곽', '씨', '야간', '알바', '편의점', '번', '변화', '알바', '덩치', '부담', '행동', '누', '군가', '연상', '대', '사내', '인간', '알바몬', '알바', '경력', '자랑', '정작', '편의점', '일', '수다', '오지랖', '지경', '점장', '선', '숙', '핀잔', '일', '황', '근', '배', '이름', '대신', '홍금보', '별명', '명찰', '가슴', '손님', '편의점', '밤']","['점장', '오', '선', '숙', '소울', '스낵', '꼰대', '오브', '꼰대', '투', '플러스 원', '밤', '편의점', '오너', '알바', '불편', '편의점', '감사', '글']"
4,2023,5,세상의 마지막 기차역(리커버 에디션),무라세 다케시(村? 健)/김지연 역,"['리', '커버', '에디션', '매장', '구매', '바로', '드림', '매시', '일반', '판', '제공', '수', '2022년', '서점', '종합', '베스트셀러', '외국', '소설', '분야', '위', '우리', '화제', '소설', '세상', '마지막', '기차역', '부', '기념', '리', '커버', '에디션', '전격', '출간', '2022년', '출간', '후', '외국', '소설', '분야', '위', '종합', '베스트셀러', '독자', '마음', '세상', '마지막', '기차역', '눈물', '주인공', '이입', '사람', '가슴', '곁', '사랑', '사람', '책', '등', '독자', '사이에서', '입', '소문', '책', '년', '부', '이상', '현재', '인기', '이번', '출간', '세상', '마지막', '기차역', '리', '커버', '에디션', '부', '판매', '돌파', '기념', '것', '일', '러스트', '레이', '터', '반지', '수', '작가', '콜', '라보', '레이', '션', '봄날', '배경', '재탄생', '기차', '사고', '줄', '꿈', '채', '때', '평화', '날', '소설', '내용', '슬픔', '동시', '사랑', '사람', '한순간', '후회', '절망', '속', '잿빛', '하루하루', '사람', '유령', '기차', '존재', '사고', '가족', '연인', '마지막', '번', '수', '기회', '희망', '과정', '표지', '분위기', '사람', '가슴', '아침', '인사', '마지막', '텐', '데', '사람', '사람', '모두', '세상', '마지막', '기차역', '진정', '슬픔', '치유', '가슴', '휴먼', '판타지 소설']","['연인', '아버지', '남편']"
5,2023,6,바다가 들리는 편의점,마치다 소노코/황국영 역,"['테', '오늘', '불', '손님', '각자', '행복', '해지', '이야기', '서점', '대상', '수상', '작가', '최고', '인기', '시리즈', '영상', '요청', '쇄도', '일본', '판매', '부', '돌파', '기타큐슈', '지', '항이', '항구', '자리', '텐', '더', '니스', '편의점', '오늘', '꽃', '미남', '점장', '몸짓', '말', '한마디', '표정', '하나에', '팬', '자처', '여성', '환호성', '때문', '때', '고개', '아르바이트', '옆', '파트타임', '직원', '미', '쓰리', '눈', '미소', '수염', '수', '룩', '남자', '편의점', '제집', '활보', '빨간색', '멜빵', '바지', '할아버지', '고함', '편의점', '수', '광경', '대체', '일', '현재', '집필', '활동', '주목', '노', '코', '작가', '연작', '소설', '바다', '편의점', '시간', '불', '일상', '장소', '편의점', '무대', '나이', '성별', '취향', '사연', '편의점', '목적', '제각각', '손님', '미스터리', '한', '직원', '이야기', '일본', '현지', '출간', '당시', '가상', '편의점', '수', '당장', '영화', '드라마', '보고 싶다', '독자', '호평', '작품', '인기', '권', '출간', '권', '출간', '예정', '개성', '등장인물', '감동', '에피소드', '작가', '바', '이웃', '정서', '유대감', '타인', '고민', '해결', '노력', '연대감', '행복', '기분', '바다', '편의점', '오늘', '불', '방문']","['프롤로그', '편의점', '희망', '편의점', '커피', '멜랑콜리', '딸기', '파르페', '꼰대', '할아버지', '달걀', '죽', '사랑', '연애', '어', '드', '벤트', '캘린더', '쿠키', '크리스마스', '광상곡', '에필로그']"
6,2023,7,안젤리크,기욤 뮈소/양영란 역,"['전직', '에', '투', '알', '무용수', '죽음', '뒤', '진실', '퍼즐', '순간', '광기', '욕망', '실체', '서스펜스', '마스터', '기욤 뮈소', '년', '신작', '프랑스', '베스트셀러', '위', '안제', '리크', '한국', '번', '출간', '기욤 뮈소', '장편소설', '년', '발표', '그 후', '이후', '기욤 뮈소', '소설', '모두', '프랑스', '베스트셀러', '위', '기염', '번', '소설', '아마존', '프랑스', '주', '연속', '베스트셀러', '위', '기록', '국내', '서점', '주', '이상', '베스트셀러', '등재', '르 피가로', '지', '프랑스', '서점', '연합회', '조사', '베스트셀러', '작가', '순위', '년', '연속', '위', '기록', '년', '당신, 거기 있어줄래요', '한국', '영화로', '화제', '년', '작', '아가씨', '밤', '년', '방송', '부작', '드라마', '제작', '인기리', '방영', '외', '다수', '소설', '영화', '드라마', '제작', '소설', '세계', '개국', '출간', '독자', '공감', '지지', '프랑스', '언론', '기욤 뮈소', '현상', '페이지터너', '말', '작가', '상상', '한계', '반전', '독자', '작가', '수식어', '찬사', '뉴욕 타임스', '기욤 뮈소', '서스펜스', '마스터', '수식어', '스페인', '엘 문도', '기욤 뮈소', '현상', '계속', '말', '년', '프랑스', '언론', '수식어', '오마주', '기욤 뮈소', '년', '작가', '활동', '동안', '권', '소설', '프랑스', '뿐', '세계', '각국', '베스트셀러', '초기', '로맨스', '판타지', '결합', '작품', '주', '근래', '스릴러', '비중', '편', '기욤 뮈소', '년', '인기', '비결', '변신', '노력', '때문', '최근', '년', '동안', '기욤 뮈소', '아가씨', '밤', '작가', '비밀', '삶', '인생', '소설', '이다', '작가', '등장인물', '관계', '주제', '내밀', '이야기', '작가', '주인공', '현실', '픽션', '사이', '긴장', '관계', '집중', '조명', '편의', '소설', '기욤 뮈소', '자신', '작가', '부작', '프랑스', '편의', '소설', '출판', '안제', '리크', '기욤 뮈소', '작가', '주목', '소설', '반전', '서스펜스', '능', '수', '구사', '이야기', '작품', '자신', '세상', '공정', '대우', '자리', '수', '생각', '간호사', '안제', '리크', '지하철', '불량배', '칼', '온몸', '여성', '승객', '안전', '최선', '추격', '과정', '총', '발사', '범인', '반신', '불', '수', '바람', '여론', '비난', '직면', '감찰', '강력반', '반장', '마티아스', '생모', '새엄마', '유일한', '엄마', '엄마', '죽음', '진실', '규명', '의대', '루이즈', '콜', '주', '각고', '노력', '끝', '영광', '파리', '오페라', '발레단', '에', '투', '알', '무용수', '자리', '스포트라이트', '명성', '시간', '무대', '뒤', '아픔', '스텔라', '이야기', '안제', '리크', '등장', '인물', '예외', '비밀', '쯤', '것', '마찬가지', '치유', '상처', '안고', '상처', '누', '군가', '봉합', '약', '성장', '밑거름', '누', '군가', '건강', '성장', '방해', '장애', '요소', '안제', '리크', '경우', '후자', '해당', '수', '젤리', '생각', '세상', '자리', '자리', '타인', '차지', '수단', '방법', '수', '식', '가치관', '인물', '기욤 뮈소', '안제', '리크', '인물', '등장', '특정', '잣대', '평가', '규정', '길', '때', '결과', '기록', '목격자', '역할', '충실', '인물', '입체', '관찰', '성장기', '상처', '상처', '상처', '때', '물리', '화학', '반응', '뿐', '적극', '게', '식', '훈수', '두지', '기욤 뮈소', '세상', '이곳저곳', '돋보기', '부분', '시대', '자화상', '안제', '리크', '개성', '인물', '파리', '베네치아', '반전', '소설', '처음', '끝', '긴장', '끈', '수']","['루이즈', '콜', '주', '첼로', '소녀', '스텔라', '추락', '수사', '상식', '시간', 'II', '안제', '리크', '바리케이드', '정신', '여자', '자리', '차지', '선', '집안', '딸', '마티아스', '흔적', '은둔', '외', '톨', '리', '에', '투', '알', '광장', '질서', '질서', '마음', '증후군', '외투', '사나이', '암흑', '속', '영혼', '레나', '칼릴', '집', '안', '명', '살인자', 'IV', '단상', '베네치아', '강타', '역대', '급', '밀물', '폭풍', '난', '뒤', '명예', '법정', '기자', '죽음', '목시', '리알', '리스', '베커', '레바논', '봄', '몽', '파', '르', '나스', '묘지', '이', '말']"
7,2023,8,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 미사키/권영주 역,"['회', '전격', '소설', '대상', '미디어워크스', '문', '고상', '수상작', '총', '편', '응모', '작품', '중', '최고', '걸작', '심사', '위원', '눈물', '압도', '작품', '밤', '기억', '리셋', '선행', '기억상실', '증', '소녀', '히노', '마오', '리', '무미건조', '인생', '고등학생', '가미', '도루', '사랑', '이야기', '오늘', '밤', '세계', '사랑', '해도', '선행', '기억상실', '증', '소재', '수준', '청춘 소설', '탄생', '극찬', '회', '전격', '소설', '대상', '미디어워크스', '문', '고상', '작품', '청춘', '로맨스', '예측', '수', '국면', '심사', '위원', '모두', '눈물', '흥미', '뒷이야기', '소설', '무미건조', '인생', '고등학교', '학년', '가미', '도루', '괴롭힘', '당', '친구', '의도', '일', '반', '히노', '마오', '리', '고백', '이상', '수', '거짓', '고백', '거절', '히노', '가지', '조건', '고백', '학교', '때', '말', '말', '것', '연락', '것', '날', '말', '것', '시작', '가짜', '연애', '시간', '히노', '마음', '도루', '번', '조건', '고백', '충격', '사실', '병', '선행', '기억상실', '증', '밤', '그날', '일', '전부', '날', '기억', '히노', '사랑', '날', '도루', '히노', '내일', '수', '관계', '그늘', '정체']","['남자', '애', '여자', '애', '걸음', '사람', '여름', '번', '하야', '공백', '여자', '애', '남자', '애', '마음']"
8,2023,9,스즈메의 문단속,신카이 마코토/민경욱 역,"['이름', '은', '날씨', '아이', '신카이 마코토', '감독', '신작', '원작', '소설', '규슈', '마을', '이모', '살', '소녀', '날', '청년', '문', '있다', '뒤', '산속', '폐허', '발견', '것', '붕괴', '듯', '문', '언가', '문', '손', '과거', '현재', '미래', '문단속', '이야기', '시작', '년', '3월 8일', '개봉', '예정', '극장판', '애니메이션', '문단속', '원작', '소설', '신카이 마코토', '감독', '집필', '영화', '소개', '캐릭터', '감정', '정밀', '세계관', '묘사', '이름', '은', '이후', '작품', '관람', '팬', '정도', '짐작', '신카이 마코토', '감독', '마음', '활자', '셈', '작가', '후기', '신카이 마코토', '감독', '팬', '창작', '확인', '계기', '것', '앞', '신카이 마코토', '감독', '작품', '기대', '것']","['일', '꿈', '수', '곳', '풍경', '사람', '우리', '것', '자', '시작', '모두', '고양이', '지금', '방향', '은', '당신 때문에', '마법사', '일', '해협', '건너', '다', '추억', '이서', '수', '문', '곳', '밤', '파티', '고독', '꿈', '일', '관여', '수', '풍경', '정원', '방', '하늘', '마개', '번', '일', '당신', '유일한', '문', '은', '출발', '게', '사다', '이진', '등장', '일', '고향', '저세상', '마을', '것', '시간', '일', '후일담', '그날', '이야기', '작가', '후기']"
9,2023,10,참을 수 없는 존재의 가벼움,밀란 쿤데라/이재룡 역,"['동시', '수', '사랑', '이야기', '신화', '작가', '밀란 쿤데라', '대표작', '참을 수 없는 존재의 가벼움', '밀란 쿤데라', '일러스트', '바탕', '디자인', '표지', '장정', '수', '역사', '역사', '인간', '실존', '자체', '작품', '1960년대', '체코', '1970년대', '유럽', '역사', '상처', '개인', '트라우마', '어깨', '남녀', '생', '사랑', '모습', '고향', '술집', '일', '테', '레', '자', '출장', '도시', '외과', '의사', '토마', '시와', '전처', '이혼', '이후', '사랑', '부담', '토마', '시', '강물', '아기', '테', '레', '자', '매력', '고아', '시작', '스스로', '우정', '이름', '삶', '토마', '시', '여자', '여자', '전전', '토마', '시', '테', '레', '자', '질투', '체념', '괴로움', '소련', '침공', '체코', '자유', '후', '사람', '스위스', '체코', '토마', '시의', '연인들', '수', '테', '레', '자', '토마', '시의', '외도', '믿음', '후', '국경', '프라하', '질투', '미움', '사람', '삶', '무게', '한편', '토마', '시의', '연인', '이자', '화가', '사비', '자신', '조국', '역사', '무게', '자유', '사비', '체코', '수', '사비', '사랑', '학자', '가정', '가장', '안정', '일상', '프란츠', '사비', '매료']","['부', '부', '영혼', '육체', '부', '이해', '말', '부', '영혼', '육체', '부', '부', '장정', '부', '카', '레닌', '미소']"
