,keyword,tfidf_score
6035,편의점,27.91811190999026
2700,사랑,15.165401441851245
4548,인간,14.016132414777594
5975,파친코,12.914694757675065
4483,이야기,12.3562372484446
2695,사람,12.026075216250565
3847,역사,11.958642695957687
5864,토마,11.052060282984266
1022,남자,10.88688127194927
1929,모모,10.346412583566789
6270,한국,9.384342595016683
1421,독자,9.29819130146275
3070,소설,9.226932589596817
4729,작가,9.154300948704353
2677,사건,9.008946554937687
2327,번역,8.927713275666108
6274,한국인,8.852918103886864
5569,출간,8.406831473649198
1753,마음,8.291104951579966
5254,지배,8.170751644637267
4731,작별,8.047591151259038
2583,불편,7.837298655914911
3304,시간,7.836999051686568
3026,세탁소,7.756515135833473
3051,소년,7.7426079955499745
837,기욤,7.632721938696234
2073,뮈소,7.632721938696234
1387,도시,7.590040971583077
6428,헤세,7.4614315596187515
6349,해리,7.390085813219058
2776,사회,7.361600548881507
2049,문학,7.352942310990928
6663,히노,7.288807316575943
3620,안중근,7.135684016113371
2799,살인,7.058223600300954
4564,인류,6.977366085964525
970,나오코,6.938884273837974
4447,이민진,6.915505646887307
3773,에디션,6.753018615144894
346,게이,6.655406408339975
3543,아버지,6.651951496890709
3073,소설집,6.637836835135905
2719,사비,6.6263709727833815
3519,아들,6.576392908105795
1761,마지막,6.500689525484489
6221,하루키,6.402890354799332
4568,인사,6.380692007638247
3829,여자,6.303377728585981
5458,청소년,6.280482675715042
1764,마코토,6.256740471223167
3633,알바,6.164969860094933
5001,정지아,6.131186681938493
3431,신카이,6.118702706814853
6236,하얼빈,6.044052156328825
6424,헤르만,6.027190385873915
170,가슴,6.003669486868535
4209,원미동,5.914508726747357
3730,어머니,5.712049028940467
2076,미국,5.639546926798322
3950,영혼,5.541965886912027
1858,메리,5.5195706968539335
1451,동물,5.515069404996231
3013,세상,5.509715861979253
3291,슬픔,5.442370688554627
828,기억,5.440642814223288
5479,체코,5.425327181747285
4704,자신,5.405067420445324
3474,심사,5.383516319489626
853,기차역,5.37042294028722
2092,미래,5.368221427364741
230,감독,5.354616805462648
4215,원작,5.344691227503207
1290,대상,5.214947805261725
4614,일본,5.208615217847077
3560,아이,5.197774170836869
1372,도루,5.161117116550506
3170,수상작,5.101255718448911
5196,중국,5.095360293689335
5463,청춘,5.072706787136527
3619,안제,4.975836751913253
5068,조르바,4.950690274729942
6123,프랑스,4.930084540694836
1696,리크,4.927669811561757
3000,세계,4.917215664641782
963,나무,4.913752308627297
6391,행복,4.892070883794407
2353,베르,4.790873001212905
4364,은영,4.788285674461029
5684,커버,4.772483415717181
5547,추리,4.771488503338991
464,고백,4.744977330182136
4244,웰즈,4.713853789294941
493,고전,4.706005933087363
1752,마을,4.676791286695606
5054,제제,4.676670173524405
920,김훈,4.658457776450026
5184,죽음,4.646722001482851
4817,재일,4.610337097924872
1909,모국,4.5794416971384475
1085,노래,4.5737815983784875
1410,독고,4.541868371289473
5074,조선인,4.492238009899933
6036,편지,4.491926149732825
896,김영하,4.491356415738043
2035,문명,4.46507486841497
506,골드,4.459467167732133
4713,자유,4.43904215138137
4395,의미,4.4151100598019095
479,고양이,4.410938769350875
3317,시대,4.385593720439631
4348,육체,4.378392582933849
4327,유진,4.374645377608695
2842,상징,4.3718302317644016
442,고구려,4.364493709442559
3050,소녀,4.3561662375710135
6251,하퍼,4.330245391623146
5044,제인,4.226591580611234
1043,내면,4.218039381661664
3008,세대,4.209362046457299
2492,부모,4.178770884286564
5748,쿤데라,4.1749486682507255
2139,밀란,4.1749486682507255
2053,문학상,4.131827994165952
562,과거,4.1012424024195475
1814,망원동,4.083282820345647
5230,지구,3.9893534509336472
1029,남편,3.9835468158861396
2843,상처,3.9122489260233824
5763,크리스티,3.9034303304388795
3139,쇼코,3.9006381286864364
4685,자리,3.8833487530303663
5659,카잔차키스,3.87111549523614
186,가족,3.8688413169324627
1104,노인,3.849621111258778
2362,베스트셀러,3.846075018570745
195,가치,3.841134834987288
6568,환자,3.789266433425664
4177,우화,3.7798513227367847
3996,오마,3.770810391514346
6324,할아버지,3.7706523781686325
5672,칼의,3.7613055749850344
4741,작품,3.7609197684826245
6068,포터,3.728883563118824
4583,인질,3.710093911402045
998,난장,3.675504874466959
4058,와타나베,3.673662119107197
4076,왕자,3.670183533481993
5616,친구,3.6637788192889444
4202,원고,3.6564021010072976
4788,장제,3.6499452419427465
844,기적,3.6494346668188604
2946,선행,3.6444036582879713
6443,현대,3.6387500680035885
830,기억상실,3.6373046837855236
4562,인디언,3.6322645950363404
448,고독,3.619545822055386
163,가브리엘,3.6088020894630755
4570,인생,3.586974553983001
2101,미스터리,3.5769803109034166
1089,노르웨이의,3.5371483827742263
3325,시리즈,3.5361311085753084
4015,오웰,3.4743841430874225
5963,파수꾼,3.4689853940835986
3717,어거스트,3.436473854318392
3348,시의,3.4332083585487903
2152,바다,3.425086395830936
3725,어린,3.3979219386257213
6322,할머니,3.3431737157568313
2803,살인자의,3.342056510865689
829,기억법,3.342056510865689
3862,연금술사,3.339855161435099
2912,서점,3.308688221230847
396,경민,3.3080266637359603
2043,문장,3.301392595386664
1484,동호,3.297098093346281
2886,서로,3.2866283913185024
3744,언니,3.2849568420530986
6021,페스트,3.2578221377287218
3816,여성,3.257171417092332
5629,침묵,3.251786825688308
2164,바스테트,3.2490145172595453
3753,엄마,3.2426957419170277
500,고통,3.2352313672853263
153,가리,3.2280029967632897
489,고의,3.2220269946757027
1485,동화,3.2139759124160077
4787,장정,3.213899245579404
4914,전체주의,3.201184386383653
2085,미도리,3.1971213527480673
6493,호밀밭의,3.1745216752787844
1316,대표작,3.148690248815883
615,교수,3.13753302734116
2679,사고,3.136381398824122
4697,자살,3.12311095426442
3839,여행,3.120160460805292
3311,시기,3.112540190685226
412,경찰,3.1037923438523665
3240,스릴러,3.1006330516868537
5123,종합,3.0953607380005783
4991,정유정,3.0875068874281197
6032,편견,3.0863690723273383
1154,뉴욕,3.07711085388252
4839,저자,3.075648348135855
2098,미소,3.0696649941701977
2668,빨치산,3.0398738913492886
5998,판화,3.031602691705613
1589,레이,3.028488536189127
1718,마도,3.0210241189798857
1236,단편,3.013599965278847
1343,데미안,3.010593418227147
2337,범인,3.0018332765213263
3570,아자르,2.992848110683246
5309,진실,2.9842655020562154
4334,유키,2.9818608396748583
6472,형사,2.9795281040329455
6012,팬데믹,2.9287493183683786
1037,낭만,2.9206439301905434
1418,독일,2.9169165826414214
6353,해방,2.9151090606747783
72,20세기,2.908475085796251
2895,서사,2.8991194399146005
6565,환상,2.898721121431871
4560,인기,2.8916212681070563
4592,인형,2.8866311191435856
4755,잡화,2.8749829857106644
964,나미,2.8749829857106644
1943,모음,2.86757910619222
2590,브라더스,2.8386716894135073
3923,영국,2.8294867860615414
3216,순수,2.8219977047391027
852,기차,2.8139180102143415
2574,불안,2.798530432975651
2396,별장,2.776561269868804
2454,복수,2.7753170689972393
6587,황제,2.7751402558115625
4165,우주,2.7745839087118163
571,과학,2.750404522923443
3164,수사,2.7481596105166073
1998,무라카미,2.7469063334930777
1972,몰입,2.733835844612451
733,그럼에도,2.7145239617580392
2559,불구하고,2.7145239617580392
5487,초대,2.7099815745341864
4716,자음,2.7090804524616283
799,기념,2.7055683853326213
251,강도,2.7038424374620815
2939,선의,2.697883409181088
4748,잠재,2.697883409181088
5399,채식주의자,2.688588036971482
157,가미,2.662726150568232
2514,부제,2.6622649879267524
4063,완벽,2.6549214462338524
2008,무선,2.6522265056193204
3724,어른,2.6430277129757096
3441,실격,2.635260497276328
5282,직소,2.635260497276328
4181,운명,2.611702024108703
5327,질투,2.610050306252224
2793,산티아고,2.6008774681671842
3494,싱클레어,2.5906621807572767
3349,시인,2.5799765446678444
1093,노벨,2.576759091554444
3828,여인,2.5717183208810566
2759,사진,2.570416115523968
3945,영주,2.5644262934777298
2585,불행,2.557383850608838
2615,비극,2.5436006866163012
1126,농장,2.540986516474158
3399,신부,2.5394333304108976
5647,카뮈,2.533620164142774
3815,여사,2.49866627936005
5464,청파동,2.49866627936005
6450,현실,2.495891502288025
2018,무인도,2.491662457438215
3891,연인,2.4912319366874107
3686,야스,2.490146163356947
2405,병원,2.475890377720387
1023,남자들,2.4712472288950744
4982,정신,2.470775056223471
573,과학자,2.4671890221545363
4943,점장,2.465714130208685
6027,페인트,2.461509661066773
467,고상,2.45719357653903
2004,무미건조,2.45719357653903
