,Year,Title,Rank,Keywords
0,2023,만일 내가 인생을 다시 산다면,1,"['인생', '사람', '후회', '자신', '이유']"
1,2023,생에 감사해,2,"['배우', '김혜자', '연기', '작품', '감사']"
2,2023,기분이 태도가 되지 말자,3,"['미래', '하루', '기분', '인생', '감정']"
3,2023,우리는 모두 죽는다는 것을 기억하라,4,"['자신', '이야기', '저자', '영성', '죽음']"
4,2023,당신은 결국 무엇이든 해내는 사람(10만 부 기념 특별 리커버 에디션),5,"['사람', '문장', '작가', '응원', '이름']"
5,2023,내가 틀릴 수도 있습니다,6,"['스웨덴', '성공', '불안', '17년', '수행']"
6,2023,그대 늙어가는 것이 아니라 익어가는 것이다,7,"['인생', '문장', '행복', '시간', '이다']"
7,2023,전지적 푸바오 시점,8,"['바오', '사랑', '판다', '사진', '사육사']"
8,2023,모든 것은 기본에서 시작한다,9,"['축구', '선수', '철학', '손흥민', '손웅정']"
9,2023,빅터 프랭클의 죽음의 수용소에서,10,"['분석', '실존', '무의식', '박사', '로고테라피']"
10,2023,미움받을 용기(200만 부 기념 스페셜 에디션),11,"['용기', '아들러', '행복', '미움', '문제']"
11,2023,생각이 너무 많은 어른들을 위한 심리학(10만 부 기념 스페셜 에디션),12,"['생각', '인생', '부정', '고민', '때문']"
12,2023,이지성의 1만 킬로미터,13,"['북한', '중국', '북인', '공안', '구출']"
13,2023,한 번뿐인 인생은 어떻게 살아야 하는가,14,"['독자', '인생', '울림', '이해', '독려']"
14,2023,김경일의 지혜로운 인간생활,15,"['인간관계', '관계', '김경일', '적정', '생활']"
15,2023,고맙소,16,"['인생', '순간', '말씀', '아이', '어머니']"
16,2023,꽃을 보듯 너를 본다,17,"['풀꽃', '사랑', '국민', '시집', '나태주']"
17,2023,프레임,18,"['프레임', '세상', '과정', '편견', '개념']"
18,2023,아기 판다 푸바오,19,"['판다', '아기', '행복', '이름', '사랑']"
19,2023,공감의 배신,20,"['공감', '사람', '저자', '고통', '도덕']"
20,2023,욕망의 진화,21,"['남녀', '인간', '욕망', '진화', '배우자']"
21,2023,천문학자는 별을 보지 않는다,22,"['우주', '천문학자', '사람', '천문학', '일상']"
22,2023,행복의 기원,23,"['그룹', '아픔', '타이', '마음', '시간']"
23,2023,기분을 관리하면 인생이 관리된다,24,"['기분', '하루', '사람', '마음', '결정']"
24,2023,이적의 단어들,25,"['이야기', '벼락', '산문집', '자신', '정신']"
25,2023,"괜찮아, 그 길 끝에 행복이 기다릴 거야",26,"['산티아고', '손미나', '스페인', '순례', '인생']"
26,2023,계속 가보겠습니다,27,"['검찰', '검사', '저자', '임은정', '조직']"
27,2023,소크라테스 익스프레스,28,"['인생', '철학자', '개선', '와이', '역사']"
28,2023,불안,29,"['불안', '사랑', '커버', '알랭', '재경']"
29,2023,좋은 사람에게만 좋은 사람이면 돼,30,"['사람', '관계', '마음', '해답', '베스트셀러']"
30,2023,니체의 삶,31,"['니체', '사람', '이야기', '이해', '철학자']"
31,2023,런던에서 온 평양 여자,32,"['북한', '김정은', '추상화', '시민', '세상']"
32,2023,H마트에서 울다,33,"['엄마', '마트', '자신', '한국인', '뮤지']"
33,2023,인생의 역사,34,"['인생', '역사', '신형철', '시화', '평론가']"
34,2023,심판,35,"['아나톨', '검사', '심판', '주인공', '판사']"
35,2023,너무 잘하려고 애쓰지 마라,36,"['시인', '오늘', '시집', '마음', '시간']"
36,2023,마음의 법칙,37,"['심리학', '마음', '문제', '법칙', '사람']"
37,2023,당신이 플라시보다,38,"['플라시보', '변화', '창조', '생각', '활용법']"
38,2023,당신이 옳다,39,"['공감', '치유', '마음', '사람', '존재']"
39,2023,잘될 수밖에 없는 너에게,40,"['인생', '독자', '필요', '응원', '저자']"
40,2023,열 번 잘해도 한 번 실수로 무너지는 게 관계다,41,"['관계', '사람', '기분', '시작', '마음']"
41,2023,형사 박미옥,42,"['형사', '사람', '박미옥', '사건', '최초']"
42,2023,원칙,43,"['원칙', '자신', '브리지워터', '저자', '기업']"
43,2023,상처 받지 않는 영혼,44,"['마음', '영혼', '내면', '일상', '상처']"
44,2023,전태일평전,45,"['전태일', '개정판', '인간', '일기', '오늘']"
45,2023,스크루테이프의 편지,46,"['스크루', '요소', '인간', '테이프', '악마']"
46,2023,나에게 고맙다(30만 부 기념 전면 개정판),47,"['전승화', '출간', '독자', '마음', '개정판']"
47,2023,오은영의 화해,48,"['상처', '사람', '고통', '조언', '시절']"
48,2023,나는 나로 살기로 했다(골드 에디션),49,"['에세이', '사랑', '한국', '출간', '세계']"
49,2023,사이코패스 뇌과학자,50,"['사이코패스', '사진', '과학자', '가족', '세계']"
50,2023,자존감 수업,51,"['자존', '사랑', '사람', '만족도', '방법']"
51,2023,여행의 이유,52,"['여행', '이야기', '상처', '추방', '자신']"
52,2023,월든(완결판),53,"['저자', '월든', '독자', '사람', '로우']"
53,2023,나는 왜 사랑할수록 불안해질까,54,"['연애', '상처', '관계', '애착', '치유']"
54,2023,사랑의 기술,55,"['사랑', '기술', '프롬', '출간', '독자']"
55,2023,우울한 마음도 습관입니다,56,"['감정', '부정', '습관', '우울', '생각']"
56,2023,줬으면 그만이지(반양장),57,"['선생', '사람', '장하', '취재', '표현']"
57,2023,빅터 프랭클의 죽음의 수용소에서,10,"['이야기', '로고테라피', '강제', '인간', '경험']"
58,2023,너의 하루가 따숩길 바라,59,"['공개', '마음', '만화', '작가', '위로']"
59,2023,너의 안부,60,"['아이', '엄마', '병원', '현실', '기록']"
60,2023,너의 하늘을 보아,61,"['자신', '하늘', '박노해', '시집', '시인']"
61,2023,인생이 지옥처럼 느껴질 때,62,"['인생', '지옥', '기술', '고통', '자신']"
62,2023,매우 예민한 사람들을 위한 책,63,"['상담', '자신', '방법', '제시', '사례']"
63,2023,달리기를 말할 때 내가 하고 싶은 이야기,64,"['하루키', '달리기', '작가', '무라카미', '세계']"
64,2023,미움받을 용기 2(200만 부 기념 스페셜 에디션),65,"['용기', '미움', '아들러', '청년', '철학자']"
65,2023,축구를 하며 생각한 것들,66,"['손흥민', '축구', '생각', '에피소드', '과정']"
66,2023,작은 별이지만 빛나고 있어(20만 부 기념 한정판 에디션),67,"['작은', '에디션', '존재', '작가', '독자']"
67,2023,시간이 있었으면 좋겠다,68,"['시간', '작가', '용기', '자신', '일상']"
68,2023,소년과 두더지와 여우와 말,69,"['그림', '친구', '미국', '치료', '용기']"
69,2023,순간을 믿어요,70,"['이야기', '이석원', '산문집', '작품', '궁금증']"
70,2023,슈독(Shoe Dog),71,"['나이키', '운동화', '나이트', '선수', '배낭여행']"
71,2023,숨결이 바람 될 때,72,"['죽음', '폐암', '판정', '환자', '마지막']"
72,2023,인생은 순간이다,73,"['인생', '나이', '김성근', '야구', '순간']"
73,2023,사랑할 기회,74,"['사랑', '순간', '위로', '사람', '마음']"
74,2023,그냥 밥 먹자는 말이 아니었을지도 몰라,75,"['인생', '저자', '양희경', '이야기', '배우']"
75,2023,삶으로 다시 떠오르기,76,"['번역', '자신', '인간', '불행', '내용']"
76,2023,타인의 마음,77,"['사람', '심리', '타인', '행동', '관계']"
77,2023,벌거벗은 한국사: 인물편,78,"['한국사', '역사', '인물', '이야기', '스토리텔링']"
78,2023,모래알만 한 진실이라도,79,"['에세이', '에디션', '박완서', '윤슬', '진실']"
79,2023,법륜 스님의 행복(특별 에디션),80,"['행복', '법륜', '스님', '사랑', '에디션']"
80,2023,우울할 땐 뇌 과학,81,"['우울증', '과학', '연구', '발병', '마음']"
81,2023,누구에게도 상처받을 필요는 없다(스페셜 리커버 에디션),82,"['독자', '상처', '필요', '출간', '사랑']"
82,2023,당신도 초자연적이 될 수 있다,83,"['물질', '과학', '도움', '기존', '치유']"
83,2023,오둥이입니다만!(겨울 에디션),84,"['긍정', '세상', '이모티콘', '독자', '에세이']"
84,2023,나는 오늘의 내가 좋아,85,"['응원', '사랑', '마음', '오늘', '토끼']"
85,2023,잘했고 잘하고 있고 잘 될 것이다(스페셜 리미티드 에디션),86,"['마음', '이야기', '응원', '오늘', '기록']"
86,2023,좋은지 나쁜지 누가 아는가,87,"['사람', '말라', '자신', '마음', '선물']"
87,2023,망그러진 만화,88,"['이모티콘', '일상', '캐릭터', '친구', '카카오']"
88,2023,기억의 뇌과학,89,"['기억', '저자', '인간', '과학자', '완전']"
89,2023,5가지 사랑의 언어,90,"['사랑', '언어', '부부', '이야기', '가지']"
90,2023,삶으로 다시 떠오르기,76,"['번역', '자신', '인간', '불행', '내용']"
91,2023,타인의 마음,77,"['사람', '심리', '타인', '행동', '관계']"
92,2023,벌거벗은 한국사: 인물편,78,"['한국사', '역사', '인물', '이야기', '스토리텔링']"
93,2023,모래알만 한 진실이라도,79,"['에세이', '에디션', '박완서', '윤슬', '진실']"
94,2023,법륜 스님의 행복(특별 에디션),80,"['행복', '법륜', '스님', '사랑', '에디션']"
95,2023,우울할 땐 뇌 과학,81,"['우울증', '과학', '연구', '발병', '마음']"
