,keyword,tfidf_score
2780,사람,62.20970744744643
2784,사랑,53.55843369358303
1773,마음,35.17797086703849
4684,인생,31.345704794978584
3464,시인,24.922071720876534
6473,행복,19.504734111257623
4540,이다,14.057475044715307
608,관계,13.822653136254901
2327,방법,12.840420455109374
3895,엄마,12.815410330400093
3984,여행,12.580653783839324
5323,죽음,12.207670690706493
3471,시집,11.573230052288025
2665,불안,11.438635709425936
290,감정,10.581024405393642
2361,배우,10.49124240777903
2974,생각,10.196497475779404
2946,상처,10.139521538926072
4869,작가,9.949862289723624
5709,축구,9.457341619175049
5918,타인,8.928287787459585
2076,문장,8.927719724795276
4570,이별,8.866162053324308
772,그림,8.852269057984827
4605,이야기,8.838809333250417
3333,순간,8.795859483121134
3912,에디션,8.61464360954156
4622,이유,8.371515664700313
5114,정신,8.161317135802074
1158,너에게,8.036945762005697
6651,환자,7.4787131423343105
4660,인간,7.460537329911253
3888,언어,7.455477155321224
4829,자신,7.430822565862563
1745,마라,7.399997547768999
4661,인간관계,7.338948293525184
4360,위로,7.338793548678397
4133,오늘,7.337956693666765
230,가지,7.32528782851378
3368,스님,7.276976106531877
4852,자존,7.123074602825656
3974,여자,6.8724974623477735
1351,당신,6.702601716269717
3572,심리학,6.627776248493213
3308,수용소,6.590671986327312
3851,어른,6.57222286718992
3571,심리,6.550811804128179
2637,분석,6.498508283408108
151,chapter,6.452592266230486
2203,바오,6.4122813282528375
856,기억,6.246669797210636
4265,용기,6.232074920589936
4490,응원,6.185748168454127
6326,하루,6.167316990284678
5768,친구,6.154071488043453
2879,산문집,6.129320983050462
259,간호사,6.100468365272389
4031,연애,6.096683011332935
3630,아들러,6.0094799406201656
1110,남자,5.843533341365721
2787,사랑은,5.643185075719424
4883,작품,5.606467897192491
493,고민,5.544306350866407
5433,지혜,5.535316073361068
5250,존재,5.519879140396506
844,기분,5.489538477550072
6138,편지,5.41887188945294
1417,대화,5.342542105623366
2606,부정,5.32893302970791
1483,독자,5.3241187670256895
2080,문제,5.294895759858862
5606,철학,5.282519685215344
1667,로고테라피,5.27253758906185
6339,하상욱,5.189252372609317
4989,저자,5.174793096714894
648,교수,5.170987128538901
6215,풀꽃,5.162820029031822
5830,커버,5.127492933487664
5933,탈무드,5.090986682985095
3657,아빠,5.090660206695799
635,괜찮아,5.082331281793246
366,걱정,4.964536384139784
900,김경일,4.866393963362706
553,공감,4.865833192502372
533,고통,4.774116583029004
2525,보통,4.7513645783899054
1042,나무,4.734436909843837
309,강제,4.69160547957504
6078,파킨슨병,4.67705693507239
6084,판다,4.675338847526522
6300,필요,4.643383431923161
821,기념,4.555642211111139
977,김혜자,4.531369952911263
3426,시간,4.504182528583087
1573,드라마,4.468565909755673
2627,북한,4.4095758760921235
4874,작사가,4.397470676745582
4503,의사,4.380759256819595
3134,세상,4.379399756111971
2116,미래,4.334052906463463
1178,노래,4.331416349669446
3404,스페셜,4.327480383663633
6504,허지웅,4.31470754956648
2878,산문,4.303114170101743
3058,선수,4.302496620980701
1970,모습,4.299307533565332
833,기록,4.287890296854376
6595,혼자,4.284706923564929
5021,전문의,4.267865658616801
4585,이석원,4.194766566726296
1989,목사,4.180179720038821
3324,수행,4.064926389515436
1998,목차,4.029798393584689
2993,생활,4.013275061593546
4291,우울,4.008947147218494
1400,대처,3.9990205136401697
6331,하루키,3.990249671295716
2588,부모,3.9497509157932544
3254,손흥민,3.8767160250350496
3377,스웨덴,3.8559182425176886
3120,세계,3.8498474606213406
4233,외상,3.848040981983398
4713,일기,3.8094950500726026
4185,온도,3.7970953321202745
781,그해,3.788338183663458
5719,출간,3.7834473478389286
4553,이름,3.762296595577689
3007,서로,3.7552821281528255
5340,중국,3.752125717516705
6706,후회,3.682466365023287
1115,남편,3.653592676323167
3665,아이,3.6357763908484233
401,겨울,3.612644759828778
917,김상현,3.608946690376664
508,고양이,3.5751650196962244
4925,장례식,3.5554789357805046
3452,시선,3.532562656348985
1067,나태주,3.521472836923281
417,결정,3.5014561761903806
4349,월든,3.4832725694154765
5070,절망,3.4805854470201947
3274,수녀,3.450247427129267
421,결혼,3.4484846570409937
2763,사건,3.4468296785288723
5607,철학자,3.4305413000784926
2373,백석,3.410156907336119
2200,바보,3.4061976015179036
5763,치유,3.4041526376923996
2625,북인,3.397055601869981
1096,남녀,3.3918644784226
827,기도,3.3622258737272115
550,곰돌이,3.3608167558150637
4693,인연,3.3567520031447255
1824,말라,3.355741416890579
4206,완벽,3.3551838397125486
5364,즐거운,3.3542632068377083
6041,특징,3.352649755866052
2852,사진,3.3409537402186507
2937,상실,3.3390370740050495
388,검찰,3.3347414015485644
1113,남지,3.3079230503047206
775,그림책,3.290207030102033
1056,나이,3.2887803887195806
4103,영혼,3.2854164969243547
3526,신작,3.2806894221358736
364,거짓말,3.2793210846686
3647,아무것,3.2753539412127113
461,계절,3.265986580260649
2084,문학,3.2649519383335575
1787,마지막,3.2431910409873086
3465,시작,3.232188589074517
